"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,3,"control"
2,150,-1,0,0,0,0,0,0,0,3,"control"
3,150,-1,0,0,0,0,0,0,0,3,"control"
4,150,-1,0,0,0,0,0,0,0,3,"control"
5,150,-1,0,0,0,0,0,0,0,3,"control"
6,150,-1,0,0,0,0,0,0,0,3,"control"
7,150,-1,0,0,0,0,0,0,0,3,"control"
8,150,-1,0,0,0,0,0,0,0,3,"control"
9,150,-1,0,0,0,0,0,0,0,3,"control"
10,150,-1,0,0,0,0,0,0,0,3,"control"
11,150,-1,0,0,0,0,0,0,0,3,"control"
12,150,-1,0,0,0,0,0,0,0,3,"control"
13,150,-1,0,0,0,0,0,0,0,3,"control"
14,150,-1,0,0,0,0,0,0,0,3,"control"
15,150,-1,0,0,0,0,0,0,0,3,"control"
16,150,-1,0,0,0,0,0,0,0,3,"control"
17,150,-1,0,0,0,0,0,0,0,3,"control"
18,150,-1,0,0,0,0,0,0,0,3,"control"
19,150,-1,0,0,0,0,0,0,0,3,"control"
20,150,-1,0,0,0,0,0,0,0,3,"control"
1,73,0,129.945205479452,130,126,133,121.6,138.8,5.37972121065897,3,"control"
2,67,0,139.029850746269,139,135,143,130,150,5.90318391043478,3,"control"
3,65,0,146.138461538462,145,140,151,136.2,157,7.5723116580179,3,"control"
4,81,0,146.592592592593,148,143,150,137,156,6.25455389651768,3,"control"
5,74,0,126.945945945946,127,125,128.75,121,133.35,3.572696659625,3,"control"
6,71,0,131.154929577465,132,129,134,124,137,3.87905690793134,3,"control"
7,62,0,122.064516129032,122,120,124,116.05,126.95,3.15641926063632,3,"control"
8,60,0,148.083333333333,147.5,145.75,150.25,143,153.1,3.71114522352016,3,"control"
9,59,0,141.067796610169,141,139,144,135.9,146.1,3.76400560106064,3,"control"
10,72,0,144.902777777778,146,142,149,134.55,153,5.64977806424942,3,"control"
11,67,0,113.298507462687,113,112,116,105.3,119.7,3.76593553660343,3,"control"
12,59,0,106.389830508475,107,103,109,97.6,113.1,5.27524128930919,3,"control"
13,68,0,101.75,102,99.75,104,94.35,109,4.82337282128744,3,"control"
14,81,0,108.555555555556,109,106,113,98,118,6.81358936244326,3,"control"
15,73,0,87.7260273972603,88,85,91,76,97.4,6.45338041040982,3,"control"
16,59,0,110.372881355932,110,108,112.5,105,116.1,3.99956163582765,3,"control"
17,75,0,149.973333333333,148,146,153,144,159.3,5.54093692275792,3,"control"
18,72,0,130,129,128,132,125.55,135.45,3.4722237871671,3,"control"
19,60,0,115.933333333333,117,113,120,105,122.15,5.71606913251437,3,"control"
20,74,0,108.621621621622,109,104,113,95.65,120,7.09563381609626,3,"control"
1,98,1,128.418367346939,128,125.25,132,119.85,136,5.38023007477185,3,"control"
2,26,1,140.192307692308,140.5,138,144,131.5,146,5.09917036992671,3,"control"
3,101,1,144.405940594059,144,139,147,134,157,7.49957094482315,3,"control"
4,132,1,147.037878787879,148,143,151.25,135,157,7.91597602207978,3,"control"
5,6,1,124.333333333333,124.5,124,125.75,121.75,126,1.86189867250253,3,"control"
7,1,1,125,125,125,125,125,125,NA,3,"control"
8,55,1,147.418181818182,148,144,150.5,141,153.3,4.3745514440569,3,"control"
9,12,1,141,140,140,143.25,137.55,144.45,2.48632624203224,3,"control"
10,12,1,142.833333333333,144,139.75,145.25,134.75,150.45,5.3907890016774,3,"control"
11,104,1,112.519230769231,113,111,115,105.3,117,3.63366345196564,3,"control"
12,132,1,107.333333333333,107.5,104,111,100,114,4.74006259285929,3,"control"
13,151,1,101.754966887417,102,99,105,93,109,4.46014482188971,3,"control"
14,38,1,108.473684210526,108,105,113,99.7,119,5.88050761784455,3,"control"
15,73,1,88.4657534246575,88,86,92,78.8,96,5.20971899375693,3,"control"
