"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,18,"control"
2,150,-1,0,0,0,0,0,0,0,18,"control"
3,150,-1,0,0,0,0,0,0,0,18,"control"
4,150,-1,0,0,0,0,0,0,0,18,"control"
5,150,-1,0,0,0,0,0,0,0,18,"control"
6,150,-1,0,0,0,0,0,0,0,18,"control"
7,150,-1,0,0,0,0,0,0,0,18,"control"
8,150,-1,0,0,0,0,0,0,0,18,"control"
9,150,-1,0,0,0,0,0,0,0,18,"control"
10,150,-1,0,0,0,0,0,0,0,18,"control"
11,150,-1,0,0,0,0,0,0,0,18,"control"
12,150,-1,0,0,0,0,0,0,0,18,"control"
13,150,-1,0,0,0,0,0,0,0,18,"control"
14,150,-1,0,0,0,0,0,0,0,18,"control"
15,150,-1,0,0,0,0,0,0,0,18,"control"
16,150,-1,0,0,0,0,0,0,0,18,"control"
17,150,-1,0,0,0,0,0,0,0,18,"control"
18,150,-1,0,0,0,0,0,0,0,18,"control"
19,150,-1,0,0,0,0,0,0,0,18,"control"
20,150,-1,0,0,0,0,0,0,0,18,"control"
21,150,-1,0,0,0,0,0,0,0,18,"control"
22,150,-1,0,0,0,0,0,0,0,18,"control"
23,150,-1,0,0,0,0,0,0,0,18,"control"
24,150,-1,0,0,0,0,0,0,0,18,"control"
25,150,-1,0,0,0,0,0,0,0,18,"control"
26,150,-1,0,0,0,0,0,0,0,18,"control"
27,150,-1,0,0,0,0,0,0,0,18,"control"
28,150,-1,0,0,0,0,0,0,0,18,"control"
29,150,-1,0,0,0,0,0,0,0,18,"control"
30,150,-1,0,0,0,0,0,0,0,18,"control"
31,150,-1,0,0,0,0,0,0,0,18,"control"
32,150,-1,0,0,0,0,0,0,0,18,"control"
33,150,-1,0,0,0,0,0,0,0,18,"control"
34,150,-1,0,0,0,0,0,0,0,18,"control"
35,150,-1,0,0,0,0,0,0,0,18,"control"
36,150,-1,0,0,0,0,0,0,0,18,"control"
37,150,-1,0,0,0,0,0,0,0,18,"control"
38,150,-1,0,0,0,0,0,0,0,18,"control"
39,150,-1,0,0,0,0,0,0,0,18,"control"
40,150,-1,0,0,0,0,0,0,0,18,"control"
1,150,0,109.38,109,105,113.75,100.45,119.55,6.5010788985858,18,"control"
2,150,0,111.38,111,109.25,113,106,118,3.75181387898578,18,"control"
3,150,0,94.2133333333333,94,92,97,87,101,4.27194164972006,18,"control"
4,150,0,117.96,118,116,120,111,124,3.94573935535568,18,"control"
5,150,0,96.5066666666667,97,94,100,86.45,103.55,5.19517931771144,18,"control"
6,150,0,115.386666666667,116,113,119,106.45,123,5.10531591180057,18,"control"
7,150,0,138,137.5,133.25,141.75,130,148,6.21969161280439,18,"control"
8,150,0,130.073333333333,129,127,132,125,137,3.8322136289016,18,"control"
9,150,0,96.1733333333333,96,93.25,99,89,105,4.72853208299946,18,"control"
10,150,0,137.053333333333,137,134,139,132,143,3.61537853739827,18,"control"
11,150,0,133.5,134,131,136,126,140.55,4.15916550742103,18,"control"
12,150,0,96.32,96,94,99,90,103,3.80977196379355,18,"control"
13,150,0,139.533333333333,140,136,142,131,147,5.18731890333742,18,"control"
