"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run","type"
1,0,0,0,0,0,0,0,2,102.05404703971,0.504629300837405,1.79095323919319,5.76271977968538,0.00700078370864503,-0.00595499030547217,0,35,0.0166988298809156,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,9,"skew"
2,0,0,0,0,0,0,0,3,139.373192698695,-0.455897313449532,1.70749373594299,1.08659723086746,0.0020464733382687,0.0210887306230143,0,41,0.093070829405915,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,9,"skew"
3,0,0,0,0,0,0,0,2,130.707940659486,0.430792233534157,1.07215241948143,-6.61756071630917,0.0075034033798147,-0.00906532178865746,0,41,0.0771739259245805,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,9,"skew"
4,0,0,0,0,0,0,0,2,104.643039037473,0.426216870406643,1.94120407244191,-6.5497347018991,0.00728874303167686,0.0350808097375557,0,41,0.0129956670058891,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,9,"skew"
5,0,0,0,0,0,0,0,1,145.974104683846,-0.379828474251553,1.21849077404477,-4.16829031681145,0.00939249124610797,0.0392099566967227,0,33,0.0304353632614948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,9,"skew"
6,0,0,0,0,0,0,0,10,149.780442989431,-0.340441934019327,1.59857879416086,-11.3754198886911,-0.00457211279077455,0.0266182896774262,1,37,0.0763073221920058,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,-1,9,"skew"
7,0,0,0,0,0,0,0,10,122.178265079856,-0.384538979222998,1.05830576270819,7.67735869712784,0.00801550004980527,0.00661518376786262,1,34,0.0868732812348753,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,-1,9,"skew"
8,0,0,0,0,0,0,0,3,125.282831084915,0.478518836642616,1.02485688612796,-7.82895442415423,-0.00327416983898729,-0.00887223035329953,0,36,0.0756361195654608,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,9,"skew"
9,0,0,0,0,0,0,0,5,143.818473424762,-0.465413483697921,1.32887205970474,-3.389939095812,-0.00184623203822412,-0.00114049749914557,0,37,0.023600102190394,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,9,"skew"
10,0,0,0,0,0,0,0,2,104.393102140166,0.494532157550566,1.20924025285058,-4.20484451984727,-0.00043173213955015,0.0320934952911921,0,39,0.0637516220053658,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,9,"skew"
11,0,0,0,0,0,0,0,1,144.674317510799,-0.410731604578905,1.41268270090222,11.3826583778389,0.00537638292647898,0.0352065114863217,0,29,0.0405470303189941,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9,"skew"
12,0,0,0,0,0,0,0,14,129.704326735809,0.596142453420907,1.30900061875582,-4.03116448432189,0.00574619495659135,0.0166273311106488,1,32,0.0253799550305121,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,-1,9,"skew"
