"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,10,"skew"
2,150,-1,0,0,0,0,0,0,0,10,"skew"
3,150,-1,0,0,0,0,0,0,0,10,"skew"
4,150,-1,0,0,0,0,0,0,0,10,"skew"
5,150,-1,0,0,0,0,0,0,0,10,"skew"
6,150,-1,0,0,0,0,0,0,0,10,"skew"
7,150,-1,0,0,0,0,0,0,0,10,"skew"
8,150,-1,0,0,0,0,0,0,0,10,"skew"
9,150,-1,0,0,0,0,0,0,0,10,"skew"
10,150,-1,0,0,0,0,0,0,0,10,"skew"
11,150,-1,0,0,0,0,0,0,0,10,"skew"
12,150,-1,0,0,0,0,0,0,0,10,"skew"
13,150,-1,0,0,0,0,0,0,0,10,"skew"
14,150,-1,0,0,0,0,0,0,0,10,"skew"
15,150,-1,0,0,0,0,0,0,0,10,"skew"
16,150,-1,0,0,0,0,0,0,0,10,"skew"
17,150,-1,0,0,0,0,0,0,0,10,"skew"
18,150,-1,0,0,0,0,0,0,0,10,"skew"
19,150,-1,0,0,0,0,0,0,0,10,"skew"
20,150,-1,0,0,0,0,0,0,0,10,"skew"
21,150,-1,0,0,0,0,0,0,0,10,"skew"
22,150,-1,0,0,0,0,0,0,0,10,"skew"
23,150,-1,0,0,0,0,0,0,0,10,"skew"
24,150,-1,0,0,0,0,0,0,0,10,"skew"
25,150,-1,0,0,0,0,0,0,0,10,"skew"
26,150,-1,0,0,0,0,0,0,0,10,"skew"
27,150,-1,0,0,0,0,0,0,0,10,"skew"
28,150,-1,0,0,0,0,0,0,0,10,"skew"
29,150,-1,0,0,0,0,0,0,0,10,"skew"
30,150,-1,0,0,0,0,0,0,0,10,"skew"
1,150,0,109.406666666667,109,107,112,103,116,4.23804543189122,10,"skew"
2,150,0,147.093333333333,147,145,149,141,153,3.56784044747141,10,"skew"
3,150,0,103.986666666667,104,101,107,96.45,111,4.8824939532558,10,"skew"
4,150,0,121.373333333333,121,118,124,115,131.1,4.94200821429473,10,"skew"
5,150,0,101.346666666667,101,99,103,95.45,108,3.65268434281932,10,"skew"
6,150,0,122.966666666667,123,121,126,115.45,128.55,4.52793961272291,10,"skew"
7,150,0,115.613333333333,115,112,119,107,124,5.33795660909925,10,"skew"
8,150,0,116.04,116,113.25,119,108,123,4.70880939368332,10,"skew"
9,150,0,114.346666666667,114,112,117,108,121.55,4.18688695469136,10,"skew"
10,150,0,118.44,119,116,121.75,111,125.55,4.70396091843328,10,"skew"
11,150,0,95.6266666666667,95,91,100,86.45,108.55,6.85178335348123,10,"skew"
12,150,0,96.9,97,93,100,89,105.55,5.70617233218238,10,"skew"
13,150,0,118.02,118,115,121,110,126,4.80557562077425,10,"skew"
14,150,0,114.373333333333,114,111,117,108.45,122,4.03599021334754,10,"skew"
15,150,0,140.626666666667,140,137,144,132.45,151,5.59307657670098,10,"skew"
16,150,0,136.753333333333,137,134,139,128,145.55,5.52108425625377,10,"skew"
17,150,0,124.553333333333,124,122,126,119.45,131,3.57571350493174,10,"skew"
18,150,0,118.46,118,114.25,121,110,129,5.70720726495023,10,"skew"
19,150,0,97.46,97,95,99,90,104,4.53269998207655,10,"skew"
20,150,0,103.546666666667,104,102,106,99,108,3.29650346929023,10,"skew"
21,150,0,96.06,96,94,98,91,103,3.99366948722029,10,"skew"
22,150,0,124.773333333333,124,121,128,114.45,138,7.28531359540859,10,"skew"
23,150,0,126.94,127,125,129.75,121,132.55,3.92929113951364,10,"skew"
24,150,0,123.84,123,120.25,127,115,133,5.68889180182625,10,"skew"
25,150,0,89.2333333333333,90,86,93,78,98,6.10469801117191,10,"skew"
26,150,0,123.826666666667,124,121,126.75,116,132,4.96801402080972,10,"skew"
27,150,0,110.633333333333,110.5,108,114,103,117,4.57512484395864,10,"skew"
28,150,0,144.94,146,143,148,136.45,151,5.00097976977693,10,"skew"
29,150,0,103.046666666667,104,100,107,91.45,113,6.77771384182751,10,"skew"
