"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,5,"control"
2,150,-1,0,0,0,0,0,0,0,5,"control"
3,150,-1,0,0,0,0,0,0,0,5,"control"
4,150,-1,0,0,0,0,0,0,0,5,"control"
5,150,-1,0,0,0,0,0,0,0,5,"control"
6,150,-1,0,0,0,0,0,0,0,5,"control"
7,150,-1,0,0,0,0,0,0,0,5,"control"
8,150,-1,0,0,0,0,0,0,0,5,"control"
9,150,-1,0,0,0,0,0,0,0,5,"control"
10,150,-1,0,0,0,0,0,0,0,5,"control"
11,150,-1,0,0,0,0,0,0,0,5,"control"
12,150,-1,0,0,0,0,0,0,0,5,"control"
13,150,-1,0,0,0,0,0,0,0,5,"control"
14,150,-1,0,0,0,0,0,0,0,5,"control"
15,150,-1,0,0,0,0,0,0,0,5,"control"
16,150,-1,0,0,0,0,0,0,0,5,"control"
17,150,-1,0,0,0,0,0,0,0,5,"control"
18,150,-1,0,0,0,0,0,0,0,5,"control"
19,150,-1,0,0,0,0,0,0,0,5,"control"
20,150,-1,0,0,0,0,0,0,0,5,"control"
21,150,-1,0,0,0,0,0,0,0,5,"control"
22,150,-1,0,0,0,0,0,0,0,5,"control"
23,150,-1,0,0,0,0,0,0,0,5,"control"
24,150,-1,0,0,0,0,0,0,0,5,"control"
25,150,-1,0,0,0,0,0,0,0,5,"control"
26,150,-1,0,0,0,0,0,0,0,5,"control"
27,150,-1,0,0,0,0,0,0,0,5,"control"
28,150,-1,0,0,0,0,0,0,0,5,"control"
29,150,-1,0,0,0,0,0,0,0,5,"control"
30,150,-1,0,0,0,0,0,0,0,5,"control"
1,150,0,107.78,107,104,111,96.45,120.55,7.87389706775222,5,"control"
2,150,0,99.6,100,97,103,91.45,106,4.52138839518728,5,"control"
3,150,0,100.993333333333,101,97,105,91,110.55,6.41359364515637,5,"control"
4,150,0,129.133333333333,129,125,132,120,140,6.00633520874593,5,"control"
5,150,0,98.8866666666667,100,97,101,92.45,104,3.57195764697278,5,"control"
6,150,0,144,144,141,147,137,151,4.57891285711141,5,"control"
7,150,0,149.06,149,147,151,143,155,3.46454719239357,5,"control"
8,150,0,150.44,150,148,153,142,160,5.19483481208327,5,"control"
9,150,0,146.36,146,142,151,135,158,7.13181735548144,5,"control"
10,150,0,142.113333333333,143,139,145,135,148,4.41403598156295,5,"control"
11,150,0,100.7,100.5,98,102,96,107,3.49256160678394,5,"control"
12,150,0,144.36,145,141,148,134.45,153.55,6.06815872695915,5,"control"
13,150,0,142.173333333333,142,138,146,133,151,6.12372070372831,5,"control"
14,150,0,137.306666666667,138,134,141,128,145,5.29650596067812,5,"control"
15,150,0,132.42,133,129,136,123,141,5.6737592145033,5,"control"
16,150,0,99.2066666666667,99,96,102.75,89,109.55,5.71386711474127,5,"control"
17,150,0,142.42,142,140,145,135,149.55,4.87600617735568,5,"control"
18,150,0,89.1066666666667,89,87,92,79.45,97,5.69132940753353,5,"control"
19,150,0,148.226666666667,148,143,152,138.45,160,7.50672778037675,5,"control"
20,150,0,94.52,95,90,98,82.8,107.1,7.66296769049063,5,"control"
21,150,0,131.733333333333,132,129,134,124.45,138.55,4.17995643448391,5,"control"
22,150,0,118.306666666667,118,115,122,110,126.55,5.5851512950693,5,"control"
23,150,0,105.666666666667,106,104,109,95.45,113.55,5.15357003603629,5,"control"
24,150,0,148.16,148,146,150,142,156.55,4.39658195487199,5,"control"
25,150,0,135.98,136.5,133,141,124.45,144,6.56252325019851,5,"control"
26,150,0,105.773333333333,105,102,109,96,116.55,6.491240010045,5,"control"
27,150,0,95.2533333333333,95.5,94,97,90.45,99,2.91302713158515,5,"control"
28,150,0,119.62,119,117,122,113.45,127,4.64970230698957,5,"control"
29,150,0,90.2533333333333,90,88,93,82.45,97,4.96184998335003,5,"control"
30,150,0,146.533333333333,147,144,150,136.45,153,5.30501430099682,5,"control"
1,94,1,108.191489361702,108,104,111,97,119,7.32982799273703,5,"control"
3,300,1,100.966666666667,100,97,105,91,114,6.67788910499049,5,"control"
4,300,1,129.45,129,125.75,133,119,142,6.63936018596143,5,"control"
5,172,1,98.3779069767442,99,96,101,91,104,4.20278106651423,5,"control"
6,300,1,144.103333333333,144,141,147,137,152,4.46157757642485,5,"control"
7,270,1,149.255555555556,149,147,151,143.45,154,3.32354821516671,5,"control"
8,52,1,149.673076923077,150,146,153,143,156.45,4.88583849486333,5,"control"
9,278,1,146.863309352518,147,142,151,135.85,160,7.37955164698058,5,"control"
10,288,1,141.986111111111,142,140,145,136,148,4.26310009904884,5,"control"
11,132,1,100.598484848485,100,98.75,102,95,107,3.99017849279313,5,"control"
12,70,1,144.214285714286,144,141,147,136.9,152.1,4.55527360301702,5,"control"
13,300,1,143.083333333333,143,139,146,134,156,6.49901373188113,5,"control"
14,300,1,137.21,138,134,141,126,146,6.43978281276514,5,"control"
15,52,1,130.173076923077,131,127,134,122,137.45,5.38232821496187,5,"control"
16,14,1,96.9285714285714,96.5,94,98.75,91,106.1,5.13606083288748,5,"control"
17,52,1,142.076923076923,142,139.75,144,136,150,4.36045578588219,5,"control"
18,300,1,88.2866666666667,89,85,92,77.95,97,5.91900365233401,5,"control"
19,48,1,150.416666666667,148.5,145,155,142,165.95,7.63205260400861,5,"control"
20,134,1,94.634328358209,94,91,98,83.3,107,7.30592616061116,5,"control"
21,18,1,132.5,133,129.25,135,125.85,140,4.25993648116136,5,"control"
22,208,1,119.456730769231,119,115,123,110,130,6.15798863616251,5,"control"
23,42,1,105.547619047619,105,103,109,97,114,5.8941988054911,5,"control"
24,42,1,146.547619047619,147,144,150,139.05,153,4.50583567925072,5,"control"
25,272,1,135.705882352941,136,133,139,124.55,145,6.46262904136772,5,"control"
26,286,1,105.538461538462,105,101,109,97,116,6.25848951090953,5,"control"
27,90,1,95.7555555555556,96,93,98,90,101,3.53890451884593,5,"control"
28,122,1,119.049180327869,119,117,121,113.05,126.95,4.34247227259858,5,"control"
29,210,1,90.4809523809524,91,88,93,80.45,98,5.16633554969822,5,"control"
30,292,1,146.801369863014,147.5,144,150,138,154,4.90125148898359,5,"control"
1,72,2,108.791666666667,109.5,105,113,97,120.9,7.37704376074097,5,"control"
3,600,2,101.573333333333,101,97,105,92,115,7.27343065855425,5,"control"
4,584,2,130.169520547945,130,126,133,121,141,6.2402194437589,5,"control"
5,212,2,98.5283018867924,99,97,101,92.55,104,3.67186703589407,5,"control"
6,596,2,144.226510067114,144,141,147,138,151,4.33520300687556,5,"control"
7,486,2,149.098765432099,149,147,151,144,154.75,3.34949119362996,5,"control"
8,14,2,149.357142857143,149.5,146.25,152,139.3,157,5.86524499923907,5,"control"
9,512,2,146.3671875,146,142,150,136,159,7.31737453985757,5,"control"
10,542,2,141.608856088561,142,139,144,134,148,4.42874944082022,5,"control"
11,80,2,100.3375,101,98,102.25,94.95,106.05,3.54695001802672,5,"control"
12,32,2,144.9375,145.5,141.75,148,137.1,153.45,5.26055007549345,5,"control"
13,600,2,142.338333333333,142,139,145,133,153,6.23125815432689,5,"control"
14,600,2,137.443333333333,138,134,141,127,145.05,5.82637966971329,5,"control"
15,14,2,131.928571428571,132.5,129.25,135,125.3,137.05,4.17804307733225,5,"control"
16,4,2,99,100.5,98.5,101,94.9,101,3.36650164612069,5,"control"
17,12,2,140.916666666667,141,139.75,142.25,138.1,143.45,1.97522534195852,5,"control"
18,600,2,88.66,89,86,92,79,97,5.54728347240389,5,"control"
19,36,2,148.583333333333,148,144.75,150.25,138.75,161.25,6.66494025265257,5,"control"
20,84,2,94.1666666666667,94.5,90,98,84.15,103.85,5.99162735770294,5,"control"
21,2,2,127.5,127.5,126.75,128.25,126.15,128.85,2.12132034355964,5,"control"
22,276,2,119.764492753623,119,116,123,112,130,5.92427733344614,5,"control"
23,4,2,107,107,105.75,108.25,105.15,108.85,1.82574185835055,5,"control"
24,16,2,148.6875,148,145.75,150.25,142.5,156,5.98574695979263,5,"control"
25,490,2,135.859183673469,136,132,140,123,146,6.7492760610756,5,"control"
26,526,2,105.899239543726,105,102,109,98,116.75,5.98946053629564,5,"control"
27,68,2,95.6176470588235,96,93,98,92,100.65,3.20461147091866,5,"control"
28,76,2,119.118421052632,119,116,121,113,126,4.05287422376814,5,"control"
29,326,2,90.5337423312883,91,88,94,82.25,98,4.78302409468378,5,"control"
30,560,2,146.880357142857,147,144,150,139,154,4.49507461091923,5,"control"
1,68,3,107.897058823529,107,105,112,98.7,117.95,5.79536537908398,5,"control"
3,1200,3,100.795833333333,100,97,105,91,113,6.68940251895534,5,"control"
4,1040,3,129.335576923077,129,125,133,120,141,6.46482178755138,5,"control"
5,232,3,98.5301724137931,99,96,101,92,104,3.72762519314032,5,"control"
6,1132,3,144.202296819788,144,141,147,138,152,4.57211341376379,5,"control"
7,748,3,149.227272727273,149,147,151,144,154,3.23206898568048,5,"control"
