"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,9,"mid"
2,150,-1,0,0,0,0,0,0,0,9,"mid"
3,150,-1,0,0,0,0,0,0,0,9,"mid"
4,150,-1,0,0,0,0,0,0,0,9,"mid"
5,150,-1,0,0,0,0,0,0,0,9,"mid"
6,150,-1,0,0,0,0,0,0,0,9,"mid"
7,150,-1,0,0,0,0,0,0,0,9,"mid"
8,150,-1,0,0,0,0,0,0,0,9,"mid"
9,150,-1,0,0,0,0,0,0,0,9,"mid"
10,150,-1,0,0,0,0,0,0,0,9,"mid"
11,150,-1,0,0,0,0,0,0,0,9,"mid"
12,150,-1,0,0,0,0,0,0,0,9,"mid"
13,150,-1,0,0,0,0,0,0,0,9,"mid"
14,150,-1,0,0,0,0,0,0,0,9,"mid"
15,150,-1,0,0,0,0,0,0,0,9,"mid"
16,150,-1,0,0,0,0,0,0,0,9,"mid"
17,150,-1,0,0,0,0,0,0,0,9,"mid"
18,150,-1,0,0,0,0,0,0,0,9,"mid"
19,150,-1,0,0,0,0,0,0,0,9,"mid"
20,150,-1,0,0,0,0,0,0,0,9,"mid"
21,150,-1,0,0,0,0,0,0,0,9,"mid"
22,150,-1,0,0,0,0,0,0,0,9,"mid"
23,150,-1,0,0,0,0,0,0,0,9,"mid"
24,150,-1,0,0,0,0,0,0,0,9,"mid"
25,150,-1,0,0,0,0,0,0,0,9,"mid"
26,150,-1,0,0,0,0,0,0,0,9,"mid"
27,150,-1,0,0,0,0,0,0,0,9,"mid"
28,150,-1,0,0,0,0,0,0,0,9,"mid"
29,150,-1,0,0,0,0,0,0,0,9,"mid"
30,150,-1,0,0,0,0,0,0,0,9,"mid"
1,150,0,99.8333333333333,101,97,102,91,106,4.37414101506648,9,"mid"
2,150,0,142.053333333333,141,138.25,144.75,134.45,152.55,5.50019727122322,9,"mid"
3,150,0,130.06,130,128,133,123.45,135.55,3.82543588778372,9,"mid"
4,150,0,100.58,102,97,105,88.8,109,6.80235845401525,9,"mid"
5,150,0,147.106666666667,147,144,150,139,156,5.18923339008122,9,"mid"
6,150,0,153.006666666667,153,149,157,143,162.55,6.21806921700555,9,"mid"
7,150,0,122.246666666667,122,119,125,114,130,4.77118963774069,9,"mid"
8,150,0,125.74,126,123,128,120,133,4.00742599273503,9,"mid"
9,150,0,144.806666666667,145,142.25,147,139,151,3.8455005812453,9,"mid"
10,150,0,103.94,104,102,106,96,110,4.15509713662209,9,"mid"
