"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run","type"
1,0,0,0,0,0,0,0,11,101.624872460961,-0.365260356268845,1.59749193047173,-5.55640373146679,0.00904823029180989,-0.00602452066028491,1,26,0.0441074504097924,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,-1,13,"midpoint"
2,0,0,0,0,0,0,0,4,115.572882159613,0.499948822357692,1.08940546377562,7.6622051071136,0.00594063516124152,-0.00243396886158735,0,39,0.0751966247824021,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-1,13,"midpoint"
3,0,0,0,0,0,0,0,11,110.815594014712,-0.328678765590303,1.00501014757901,9.16258888105071,7.03697151038796e-05,0.0377517721243203,1,32,0.0316706163599156,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,-1,13,"midpoint"
4,0,0,0,0,0,0,0,5,144.449648936279,-0.586831686110236,1.48784930771217,-12.1061478449203,0.0025974736653734,0.0176977289118804,0,33,0.0892430703784339,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-1,13,"midpoint"
5,0,0,0,0,0,0,0,5,103.724047439173,-0.521231872122735,1.50171621562913,-8.31211019158837,0.00253505946486257,-0.00531420663697645,0,31,0.0191839128779247,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,-1,13,"midpoint"
6,0,0,0,0,0,0,0,1,130.509186289273,-0.317038820707239,1.90673886914738,-13.5975831308275,0.00653846833156422,-0.00973921946948394,0,36,0.0678254192695022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,13,"midpoint"
7,0,0,0,0,0,0,0,4,91.8198111047968,0.428928403090686,1.99051099503413,-6.44188162537204,0.004730199505575,-0.000931778820231557,0,30,0.0584264554013498,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1,13,"midpoint"
8,0,0,0,0,0,0,0,3,118.007232053205,0.408163377083838,1.13277251343243,-2.94931889548028,0.008404848218197,0.0153525517648086,0,36,0.0586965587735176,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,13,"midpoint"
9,0,0,0,0,0,0,0,17,110.769713586196,0.300082102837041,1.52548972982913,-2.63544165315757,-1.59753253683829e-07,-0.00825875273672864,1,36,0.0394833849952556,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,13,"midpoint"
10,0,0,0,0,0,0,0,18,118.292182115838,-0.313407670659944,1.59543652320281,0.930927204745242,-0.00152161067235284,-0.00494238561019301,1,41,0.0764313763077371,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,13,"midpoint"
