"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,4,"control"
2,150,-1,0,0,0,0,0,0,0,4,"control"
3,150,-1,0,0,0,0,0,0,0,4,"control"
4,150,-1,0,0,0,0,0,0,0,4,"control"
5,150,-1,0,0,0,0,0,0,0,4,"control"
6,150,-1,0,0,0,0,0,0,0,4,"control"
7,150,-1,0,0,0,0,0,0,0,4,"control"
8,150,-1,0,0,0,0,0,0,0,4,"control"
9,150,-1,0,0,0,0,0,0,0,4,"control"
10,150,-1,0,0,0,0,0,0,0,4,"control"
11,150,-1,0,0,0,0,0,0,0,4,"control"
12,150,-1,0,0,0,0,0,0,0,4,"control"
13,150,-1,0,0,0,0,0,0,0,4,"control"
14,150,-1,0,0,0,0,0,0,0,4,"control"
15,150,-1,0,0,0,0,0,0,0,4,"control"
16,150,-1,0,0,0,0,0,0,0,4,"control"
17,150,-1,0,0,0,0,0,0,0,4,"control"
18,150,-1,0,0,0,0,0,0,0,4,"control"
19,150,-1,0,0,0,0,0,0,0,4,"control"
20,150,-1,0,0,0,0,0,0,0,4,"control"
1,71,0,91.1830985915493,91,88,95,82.5,98.5,4.99516869200325,4,"control"
2,59,0,93.4915254237288,94,89.5,97,85,103,5.96071299066656,4,"control"
3,66,0,136.515151515152,136,133,141,129,145.5,5.47790646209473,4,"control"
4,70,0,143.557142857143,142,141,146,136.45,152,5.45239134954301,4,"control"
5,66,0,145.606060606061,145,143,148,140,152,4.13569373914011,4,"control"
6,71,0,144.971830985915,145,141,148.5,134.5,155,6.3941308601514,4,"control"
7,67,0,124.194029850746,125,122,127.5,115,131,5.15586987038148,4,"control"
8,76,0,136.065789473684,136,133,139,130,144,4.40101662896439,4,"control"
9,68,0,126.073529411765,126,122.75,129,116.7,136,6.38401963971886,4,"control"
10,78,0,145.076923076923,146,143,147,138.85,150,4.17403610700452,4,"control"
11,70,0,90.6285714285714,91,87.25,93.75,82,98.55,5.01641198806024,4,"control"
12,73,0,128.41095890411,128,127,130,123.6,133,2.8423172101804,4,"control"
13,64,0,98.546875,99,95,103,87,109.85,6.72103943090249,4,"control"
14,71,0,110.549295774648,110,108,113,105,117.5,3.99209480417904,4,"control"
15,69,0,114.898550724638,113,110,119,104.4,128.2,8.27495322100912,4,"control"
16,74,0,108.418918918919,110,103,115,94.3,121,9.19500572713813,4,"control"
17,54,0,98.3703703703704,98,96,100.75,93.65,102.35,4.32324256494265,4,"control"
18,62,0,114.91935483871,115,112,119,102.05,124.95,7.28415839417085,4,"control"
19,66,0,123.166666666667,122,120,124,118.25,131,4.27725049475382,4,"control"
20,67,0,123.44776119403,123,121,125,118.3,130,3.72657768944121,4,"control"
1,205,1,91.2878048780488,92,88,95,81.2,101,5.94006812869225,4,"control"
2,56,1,91.9464285714286,91,88,95.25,82.75,103,5.82602201056025,4,"control"
3,5,1,134.4,133,132,138,130.4,138.8,3.91152144312159,4,"control"
4,16,1,142.5,143,138.75,146,134.5,149.75,5.65685424949238,4,"control"
5,140,1,146.857142857143,146,144,149,140.95,155.05,4.40825162910288,4,"control"
6,159,1,146.207547169811,145,141.5,150.5,135.7,158.2,7.94528398588948,4,"control"
7,66,1,125.287878787879,125,123,128,118,131.5,4.19437407639971,4,"control"
9,61,1,126.426229508197,126,123,131,117,137,6.46647512532509,4,"control"
10,62,1,144.91935483871,145.5,143,148,138.05,149.95,3.70333649784727,4,"control"
11,20,1,88.1,87,84.75,92,81,95,4.39976075904612,4,"control"
12,99,1,128.070707070707,128,126,130,122,134,3.72321050086145,4,"control"
13,68,1,98.75,99,95.75,101.25,87.35,109,6.42610116006611,4,"control"
15,59,1,115.949152542373,114,110.5,121,106.9,128,7.21450581100461,4,"control"
16,110,1,108.209090909091,109,105,112,96.45,117.55,6.41828731126991,4,"control"
17,117,1,98.7264957264957,98,96,100,94,106,4.23170286834152,4,"control"
18,14,1,116.857142857143,116.5,112.25,121.75,106.8,126.7,7.7841766805107,4,"control"
19,50,1,123.4,123.5,121,125,118.45,131.55,4.05069910821652,4,"control"
20,4,1,122.5,121.5,120.5,123.5,119.3,127.1,3.87298334620742,4,"control"
1,433,2,90.7598152424942,91,87,95,79,100,6.91164824388996,4,"control"
2,34,2,92.6176470588235,92,90,96,86,99.4,4.51270735027583,4,"control"
4,4,2,140.5,140.5,139.5,141.5,138.3,142.7,2.08166599946613,4,"control"
5,228,2,146.214912280702,146,144,148,141,152,3.71949815325875,4,"control"
6,205,2,146.258536585366,145,142,150,137,158.8,6.90172526064388,4,"control"
7,62,2,125.161290322581,126,122,128,116.1,132.95,5.10606694230002,4,"control"
9,43,2,124.813953488372,126,122,129,117.1,131.9,5.31061746008023,4,"control"
10,53,2,145.452830188679,146,143,147,140,152,3.58718894516331,4,"control"
11,4,2,87,88,84.25,90.75,77.65,94.95,8.28653526310404,4,"control"
12,69,2,127.202898550725,127,125,129,121.4,132.6,3.49192223375829,4,"control"
13,20,2,99.4,99,97,102,93.8,107.05,4.41766787724974,4,"control"
15,6,2,115,117,111.25,119.75,103.25,123.75,8.50881895447306,4,"control"
16,133,2,108.947368421053,109,105,114,94.6,122.4,8.98341551894183,4,"control"
17,173,2,99.0231213872832,99,96,101,93,106,4.0719599263937,4,"control"
18,4,2,109.25,108.5,100.5,117.25,99.3,120.25,10.9048918686371,4,"control"
19,21,2,122.714285714286,123,120,125,118,127,3.18029648213586,4,"control"
1,615,3,91.3626016260163,92,88,95,80,101,6.57506639559723,4,"control"
2,21,3,92,92,91,93,86,99,3.25576411921994,4,"control"
5,315,3,145.885714285714,146,144,148,141,152,3.48147312800735,4,"control"
6,162,3,145.58024691358,145,140,149,133.1,159.95,7.83663034051846,4,"control"
7,72,3,125.680555555556,126,123,129,117.1,132.45,5.26435365503884,4,"control"
9,27,3,125.666666666667,125,123.5,127.5,118.9,132.7,5.25503421638571,4,"control"
10,40,3,144.15,144.5,140.75,148,135.9,151,5.11683997033826,4,"control"
12,23,3,127,128,125.5,129,120.2,130.9,3.34392257413628,4,"control"
13,3,3,96,93,92.5,98,92.1,102,6.08276253029822,4,"control"
15,1,3,124,124,124,124,124,124,NA,4,"control"
16,97,3,108.525773195876,109,103,114,96.8,120,8.35425637961617,4,"control"
17,201,3,98.4029850746269,98,96,101,92,106,4.04744253137412,4,"control"
18,1,3,112,112,112,112,112,112,NA,4,"control"
19,2,3,133,133,128.5,137.5,124.9,141.1,12.7279220613579,4,"control"
1,707,4,91.011315417256,92,87,95,79,101,6.94330638154617,4,"control"
2,19,4,91.4210526315789,91,86.5,96,79.9,105.1,7.5226752737875,4,"control"
5,357,4,146.064425770308,146,144,148,140,152,3.75496607776645,4,"control"
6,115,4,145.973913043478,145,142,149,137.7,158,5.91972745574211,4,"control"
