"speciesid","population","season","mean.emergence","q1","q3","first","last","run"
1,150,-1,0,0,0,NA,NA,8
2,150,-1,0,0,0,NA,NA,8
3,150,-1,0,0,0,NA,NA,8
4,150,-1,0,0,0,NA,NA,8
5,150,-1,0,0,0,NA,NA,8
6,150,-1,0,0,0,NA,NA,8
7,150,-1,0,0,0,NA,NA,8
8,150,-1,0,0,0,NA,NA,8
9,150,-1,0,0,0,NA,NA,8
10,150,-1,0,0,0,NA,NA,8
11,150,-1,0,0,0,NA,NA,8
12,150,-1,0,0,0,NA,NA,8
13,150,-1,0,0,0,NA,NA,8
14,150,-1,0,0,0,NA,NA,8
15,150,-1,0,0,0,NA,NA,8
16,150,-1,0,0,0,NA,NA,8
17,150,-1,0,0,0,NA,NA,8
18,150,-1,0,0,0,NA,NA,8
19,150,-1,0,0,0,NA,NA,8
20,150,-1,0,0,0,NA,NA,8
1,89,0,143.101123595506,141,146,136.4,148,8
2,87,0,142.816091954023,140,146,136,148,8
3,87,0,99.1609195402299,95,104,86.3,109,8
4,90,0,109.9,107,113,102.45,116.55,8
5,89,0,97.1910112359551,94,100,91,103,8
6,84,0,146.583333333333,143,149,140,157.85,8
7,93,0,139.559139784946,137,142,133.6,145,8
8,86,0,94.4302325581395,92,97,88,101.75,8
9,84,0,102.345238095238,100,104.25,97,109,8
10,79,0,134.822784810127,132,137,127,146.4,8
11,93,0,111.860215053763,108,115,104,120.8,8
12,93,0,135.645161290323,133,138,122.8,149.4,8
13,86,0,120.651162790698,117,123,115,129,8
14,86,0,143.348837209302,140.25,146,135.25,151.75,8
15,85,0,125.117647058824,122,128,115.2,132.8,8
16,91,0,115.065934065934,112.5,117,108.5,122,8
17,84,0,121.738095238095,120,124,115.15,128,8
18,91,0,138.153846153846,134.5,141.5,129,148,8
19,84,0,122.52380952381,120,126.25,114.15,129,8
20,90,0,110.222222222222,107,112,104,118.55,8
1,67,1,143.522388059701,141,146,136.6,149,8
2,120,1,142.433333333333,140,146,133,149.05,8
3,177,1,98.2881355932203,95,102,88,109,8
4,139,1,110.165467625899,107.5,113,103,117.1,8
5,75,1,96.6,93,100,90,105,8
6,40,1,144.45,141,146.25,139,153.05,8
7,95,1,138.852631578947,137,141,132.7,144.3,8
8,28,1,94.5,93.5,96,89.7,98,8
9,211,1,102.379146919431,100,104.5,96.5,108,8
10,201,1,134.800995024876,131,138,127,143,8
11,39,1,112.948717948718,109.5,116,106.8,120.3,8
12,136,1,136.632352941176,132,141,124,153,8
13,57,1,120.578947368421,119,122,114.8,127.2,8
14,170,1,143.1,141,146,136,149.55,8
15,25,1,126.4,122,129,117.4,135,8
16,213,1,115.619718309859,112,119,107.6,124,8
17,32,1,121.5625,119,124,116.55,127.45,8
18,71,1,137.887323943662,134,142,128,148,8
19,68,1,122.602941176471,120,125,116.35,128,8
20,139,1,108.669064748201,105,112,101.9,116,8
1,58,2,142.793103448276,140.25,146,136.85,148,8
2,152,2,142.223684210526,140,145,132.55,148.45,8
3,313,2,98.0511182108626,95,102,85.6,108,8
4,167,2,109.59880239521,107,112,102,117,8
5,23,2,95.7391304347826,94,98,89.2,99,8
6,11,2,144.181818181818,143,146,138,150,8
7,82,2,138.975609756098,137,141,134.05,143.95,8
9,357,2,102.347338935574,100,105,96,109,8
10,338,2,135.029585798817,132,138,126.85,143,8
11,9,2,112.555555555556,111,118,105.4,119.2,8
12,145,2,135.165517241379,130,140,126,146.8,8
13,4,2,121.75,120,122.25,120,125.25,8
14,275,2,143.770909090909,141,146,137,150.3,8
15,4,2,122.5,120.5,123,119.3,127.8,8
16,255,2,115.062745098039,112,118,107,123,8
18,46,2,137.434782608696,134,141.75,125,146.75,8
19,38,2,123.052631578947,121,126,117.85,130,8
20,133,2,109.233082706767,107,112,102,115,8
1,36,3,142.583333333333,141,145,135.75,147.25,8
2,154,3,142.525974025974,140,145,134.65,149,8
3,377,3,98.3023872679045,94,103,85,109,8
4,152,3,109.710526315789,107,113,101,117,8
5,2,3,96.5,96.25,96.75,96.05,96.95,8
6,2,3,146.5,145.25,147.75,144.25,148.75,8
7,98,3,138.928571428571,137,141,134,144,8
9,378,3,102.87037037037,100,105,97,109,8
10,388,3,135.074742268041,132,138,127.35,144,8
11,1,3,122,122,122,122,122,8
12,149,3,135.953020134228,132,140,125,146.6,8
14,302,3,143.794701986755,142,146,137,149,8
15,4,3,123.25,122.25,124.5,120.45,125.7,8
16,262,3,115.740458015267,112,119,107.05,125,8
18,21,3,139.904761904762,136,145,129,146,8
19,26,3,123.653846153846,120.25,126.75,117,130.75,8
20,134,3,109.186567164179,106,112,101,117,8
1,29,4,143.965517241379,142,147,137.8,149.6,8
2,129,4,142.511627906977,140,145,137,147.6,8
3,404,4,98.509900990099,95,102,88,107,8
4,153,4,109.83660130719,107,113,102,118.4,8
6,2,4,145.5,145.25,145.75,145.05,145.95,8
7,86,4,138.976744186047,137,142,134,145,8
9,385,4,102.711688311688,100,105,96,110,8
10,415,4,134.706024096386,132,138,127,144,8
12,126,4,134.650793650794,132,138,126,145,8
14,322,4,143.565217391304,141,146,137,150,8
16,274,4,115.259124087591,112,118,107,124,8
18,14,4,138.571428571429,136.25,143,126.65,146.35,8
19,20,4,123.3,120.75,126,117.9,129.15,8
20,134,4,108.5,106,111,102,115.35,8
1,31,5,143.709677419355,142,146,140,148.5,8
2,124,5,141.951612903226,140,145,131,148.85,8
3,413,5,97.5690072639225,94,102,83.2,108,8
4,148,5,110.216216216216,108,113,105,116.65,8
7,80,5,139.575,137,141,133.95,146.05,8
9,374,5,102.283422459893,100,104.75,97,109,8
10,421,5,134.997624703088,132,138,126,144,8
12,127,5,136.708661417323,131,140.5,125.3,154.7,8
14,306,5,143.352941176471,141,146,137,149,8
16,287,5,115.449477351916,112,118.5,108,125,8
18,14,5,134.714285714286,130.25,139.25,123.95,144.45,8
19,21,5,124.333333333333,121,127,117,129,8
20,148,5,108.986486486486,106.75,111,101,115.65,8
1,41,6,143.90243902439,141,147,137,151,8
2,114,6,143,141,146,135.65,149.35,8
3,407,6,98.3341523341523,95,103,87.3,107.7,8
4,138,6,109.920289855072,107,112.75,103.85,117,8
7,88,6,139.25,136,141,134,145,8
9,366,6,102.767759562842,100,105,97,110,8
10,454,6,134.911894273128,131,138,127,145,8
12,118,6,135.889830508475,131.25,140,124,149,8
14,311,6,143.498392282958,141,146,135,151,8
16,288,6,115.190972222222,112,118,106.35,125,8
18,13,6,136.153846153846,134,140,129,140.8,8
19,18,6,124.611111111111,121.25,128.25,119.85,130.15,8
20,138,6,108.673913043478,106,111,102,115.15,8
1,50,7,143.1,141.25,145.75,134.9,149,8
2,115,7,142.75652173913,141,146,133.7,150,8
3,405,7,98.0543209876543,95,102,85,108,8
4,145,7,110.055172413793,107,112,103.2,117,8
7,96,7,138.65625,137,141,133,143.25,8
9,377,7,102.594164456233,100,105,96.8,109,8
10,467,7,135.458244111349,132,138,128,144.7,8
12,110,7,135.245454545455,131,139,122.45,149.1,8
14,297,7,143.447811447811,141,146,137,149,8
16,277,7,116.021660649819,113,119,107.8,125,8
18,14,7,134.285714285714,132.25,136.5,125.85,144.1,8
19,15,7,124.466666666667,122.5,126,118.8,131.6,8
20,124,7,108.088709677419,105.75,111,100.15,114.85,8
1,54,8,143.685185185185,142,146,138.65,149.35,8
2,113,8,141.769911504425,140,145,133,149,8
3,399,8,98.5488721804511,95,103,87,109,8
4,139,8,109.640287769784,107,113,102,116,8
7,94,8,138.893617021277,137,141,134.65,143,8
9,390,8,102.625641025641,100,105,97,109,8
10,463,8,134.790496760259,131,138,127,143.9,8
12,109,8,135.651376146789,131,140,124.4,148.6,8
14,281,8,142.996441281139,141,145,136,150,8
