"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,15,"control"
2,150,-1,0,0,0,0,0,0,0,15,"control"
3,150,-1,0,0,0,0,0,0,0,15,"control"
4,150,-1,0,0,0,0,0,0,0,15,"control"
5,150,-1,0,0,0,0,0,0,0,15,"control"
6,150,-1,0,0,0,0,0,0,0,15,"control"
7,150,-1,0,0,0,0,0,0,0,15,"control"
8,150,-1,0,0,0,0,0,0,0,15,"control"
9,150,-1,0,0,0,0,0,0,0,15,"control"
10,150,-1,0,0,0,0,0,0,0,15,"control"
11,150,-1,0,0,0,0,0,0,0,15,"control"
12,150,-1,0,0,0,0,0,0,0,15,"control"
13,150,-1,0,0,0,0,0,0,0,15,"control"
14,150,-1,0,0,0,0,0,0,0,15,"control"
15,150,-1,0,0,0,0,0,0,0,15,"control"
16,150,-1,0,0,0,0,0,0,0,15,"control"
17,150,-1,0,0,0,0,0,0,0,15,"control"
18,150,-1,0,0,0,0,0,0,0,15,"control"
19,150,-1,0,0,0,0,0,0,0,15,"control"
20,150,-1,0,0,0,0,0,0,0,15,"control"
1,56,0,130.714285714286,131.5,128,133.25,123,136,4.2967822451618,15,"control"
2,55,0,96.4181818181818,96,92,100,88,106.9,5.82043306614216,15,"control"
3,70,0,94.8285714285714,96,92,97.75,87,101,4.57140269143813,15,"control"
4,71,0,106.87323943662,107,104,110.5,98.5,113,5.23157877690798,15,"control"
5,69,0,94.9420289855072,94,92,99,88.4,101.6,4.53056306710654,15,"control"
6,65,0,118.723076923077,118,116,123,110,127.8,5.00783040693426,15,"control"
7,70,0,109.885714285714,109,107,113,102,119.55,5.24070704695148,15,"control"
8,73,0,130.945205479452,131,127,134,123,139,4.93538924210448,15,"control"
9,62,0,105.177419354839,105,103,107,99,112.95,4.03071890243402,15,"control"
10,68,0,89.6176470588235,90,86.75,92.25,82,98,4.77565159034652,15,"control"
11,69,0,125.710144927536,127,122,130,110.8,135.2,7.22760526868088,15,"control"
12,70,0,117.8,117,114,120.75,110,128.55,6.09965549039036,15,"control"
13,70,0,118.585714285714,118,116,120,113.45,125.55,3.89534414450646,15,"control"
14,73,0,130.342465753425,130,127,133,126,136.4,3.79773023617101,15,"control"
15,62,0,136.806451612903,137,133,140,130,144.95,5.18458847878418,15,"control"
16,58,0,125.413793103448,125,124,126.75,120.7,131,3.33526864568643,15,"control"
17,72,0,142.569444444444,143,140,145,136,148.45,4.04839174776219,15,"control"
18,76,0,105.342105263158,105,101.75,108.25,95.75,116.75,6.12438324857602,15,"control"
19,78,0,116.75641025641,118,115,120,107.85,123,4.91535071593805,15,"control"
20,63,0,96.7619047619048,96,94,98.5,92,102.9,3.78756150046645,15,"control"
1,32,1,132.21875,132.5,130.75,134,127.1,136.9,3.74798332870599,15,"control"
2,89,1,96.0561797752809,96,93,99,88.4,103.6,4.89749367850025,15,"control"
3,46,1,95.0434782608696,95,92,98,88.25,104,4.26331390008149,15,"control"
4,126,1,106.539682539683,107,104,110,98,111,4.1466146069309,15,"control"
5,72,1,96.1944444444444,97,92,100,88,104,5.19381780090357,15,"control"
6,27,1,117.555555555556,117,114,121.5,108.3,124,5.43728816268759,15,"control"
7,129,1,109.418604651163,109,106,113,101,118,5.59952240488336,15,"control"
8,98,1,131.234693877551,131,128,134,124.85,139,4.73373726161729,15,"control"
9,123,1,105.585365853659,105,103,108,99,112,4.36627693238758,15,"control"
10,12,1,89.75,90,86.75,91.75,83,96.35,4.57513040052611,15,"control"
11,40,1,128.175,128.5,125,132,118.95,134.1,4.94527746752083,15,"control"
12,47,1,117.234042553191,116,111.5,123,103,130.4,8.3228673099491,15,"control"
13,111,1,118.540540540541,118,117,120,113.5,124,3.4818589177825,15,"control"
14,93,1,129.204301075269,129,127,131,124.6,135,3.44383235649948,15,"control"
15,79,1,136.417721518987,136,132,139,126.9,145,6.64407890422417,15,"control"
