"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,21,"midskew"
2,150,-1,0,0,0,0,0,0,0,21,"midskew"
3,150,-1,0,0,0,0,0,0,0,21,"midskew"
4,150,-1,0,0,0,0,0,0,0,21,"midskew"
5,150,-1,0,0,0,0,0,0,0,21,"midskew"
6,150,-1,0,0,0,0,0,0,0,21,"midskew"
7,150,-1,0,0,0,0,0,0,0,21,"midskew"
8,150,-1,0,0,0,0,0,0,0,21,"midskew"
9,150,-1,0,0,0,0,0,0,0,21,"midskew"
10,150,-1,0,0,0,0,0,0,0,21,"midskew"
11,150,-1,0,0,0,0,0,0,0,21,"midskew"
12,150,-1,0,0,0,0,0,0,0,21,"midskew"
13,150,-1,0,0,0,0,0,0,0,21,"midskew"
14,150,-1,0,0,0,0,0,0,0,21,"midskew"
15,150,-1,0,0,0,0,0,0,0,21,"midskew"
16,150,-1,0,0,0,0,0,0,0,21,"midskew"
17,150,-1,0,0,0,0,0,0,0,21,"midskew"
18,150,-1,0,0,0,0,0,0,0,21,"midskew"
19,150,-1,0,0,0,0,0,0,0,21,"midskew"
20,150,-1,0,0,0,0,0,0,0,21,"midskew"
1,66,0,138.409090909091,138.5,135,141,130,149,5.73243745372238,21,"midskew"
2,67,0,119.626865671642,120,117,121.5,115,125.7,3.39266508673836,21,"midskew"
3,68,0,120.735294117647,120.5,117,124,114.35,128,4.56991344200605,21,"midskew"
4,59,0,107,107,105,111.5,91.6,117.2,7.52696302726359,21,"midskew"
5,78,0,92.1153846153846,94,88,96.75,79.7,102.15,7.77939464347844,21,"midskew"
6,66,0,116.424242424242,117,113.25,119,109.25,122.75,4.82002427718306,21,"midskew"
7,68,0,118.029411764706,118,115,120,111.35,126.65,4.56453096521393,21,"midskew"
8,64,0,115.703125,116,115,117.25,109,121,3.45345324070188,21,"midskew"
9,74,0,131.756756756757,132,129.25,135.75,122.65,141,6.05638078735081,21,"midskew"
10,71,0,92.4929577464789,92,90,94.5,87,100,4.38136716900304,21,"midskew"
11,71,0,96.9154929577465,96,94,99,92,103,3.81255999062212,21,"midskew"
12,57,0,90.6842105263158,90,88,94,84.8,97,4.01407298823617,21,"midskew"
13,66,0,103.439393939394,104,101,105.75,97.25,109.75,3.67582031819498,21,"midskew"
14,60,0,144.15,144,143,146,138.95,149.05,3.12900590700972,21,"midskew"
15,69,0,118.376811594203,118,117,121,112.4,124,3.75774278803647,21,"midskew"
16,71,0,97.0140845070423,97,95,99,91.5,101.5,3.26668446045606,21,"midskew"
17,64,0,127.28125,127,124.75,130,120,135.7,4.44175265707881,21,"midskew"
18,72,0,140.236111111111,140,138,143,133.55,145.45,3.54247091117126,21,"midskew"
19,61,0,98.7049180327869,99,95,103,87,111,7.80244462181583,21,"midskew"
20,68,0,95.0294117647059,96,90.75,99,86,104,5.94243677902385,21,"midskew"
1,10,1,134.8,135,133,136.75,130.35,139.1,3.19026296373477,21,"midskew"
2,127,1,120.031496062992,120,118,122.5,115,125,3.38516138246049,21,"midskew"
3,102,1,120.892156862745,121,118,123,116,127.95,3.90710665718201,21,"midskew"
4,53,1,105.622641509434,106,101,109,95.2,117.4,7.39341290790021,21,"midskew"
5,25,1,91.64,92,90,95,84,101.6,6.46065012208524,21,"midskew"
6,80,1,116.6625,117,114,119,111,123.05,3.60710883911412,21,"midskew"
7,90,1,118.322222222222,118,115,121,111,127,4.88940100597746,21,"midskew"
8,120,1,116.416666666667,116,114,119,110.95,123,3.990710501668,21,"midskew"
9,108,1,131.583333333333,132,127,136,120.7,140.65,6.02196136583329,21,"midskew"
10,149,1,91.9530201342282,92,90,94,87,97,3.24731816682919,21,"midskew"
11,75,1,96.9333333333333,97,95,99.5,90.7,104,4.06479058778217,21,"midskew"
12,52,1,91.7115384615385,91.5,90,94,86,98.45,3.91245641941042,21,"midskew"
13,116,1,103.818965517241,104,102,106.25,95.75,111.25,4.42836536321304,21,"midskew"
14,6,1,143.166666666667,143,140.75,146,138.5,147.75,3.86867763798777,21,"midskew"
15,89,1,117.595505617978,118,115,120,110,124.6,5.15601833060514,21,"midskew"
