"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,1,"control"
2,150,-1,0,0,0,0,0,0,0,1,"control"
3,150,-1,0,0,0,0,0,0,0,1,"control"
4,150,-1,0,0,0,0,0,0,0,1,"control"
5,150,-1,0,0,0,0,0,0,0,1,"control"
6,150,-1,0,0,0,0,0,0,0,1,"control"
7,150,-1,0,0,0,0,0,0,0,1,"control"
8,150,-1,0,0,0,0,0,0,0,1,"control"
9,150,-1,0,0,0,0,0,0,0,1,"control"
10,150,-1,0,0,0,0,0,0,0,1,"control"
11,150,-1,0,0,0,0,0,0,0,1,"control"
12,150,-1,0,0,0,0,0,0,0,1,"control"
13,150,-1,0,0,0,0,0,0,0,1,"control"
14,150,-1,0,0,0,0,0,0,0,1,"control"
15,150,-1,0,0,0,0,0,0,0,1,"control"
16,150,-1,0,0,0,0,0,0,0,1,"control"
17,150,-1,0,0,0,0,0,0,0,1,"control"
18,150,-1,0,0,0,0,0,0,0,1,"control"
19,150,-1,0,0,0,0,0,0,0,1,"control"
20,150,-1,0,0,0,0,0,0,0,1,"control"
21,150,-1,0,0,0,0,0,0,0,1,"control"
22,150,-1,0,0,0,0,0,0,0,1,"control"
23,150,-1,0,0,0,0,0,0,0,1,"control"
24,150,-1,0,0,0,0,0,0,0,1,"control"
25,150,-1,0,0,0,0,0,0,0,1,"control"
26,150,-1,0,0,0,0,0,0,0,1,"control"
27,150,-1,0,0,0,0,0,0,0,1,"control"
28,150,-1,0,0,0,0,0,0,0,1,"control"
29,150,-1,0,0,0,0,0,0,0,1,"control"
30,150,-1,0,0,0,0,0,0,0,1,"control"
31,150,-1,0,0,0,0,0,0,0,1,"control"
32,150,-1,0,0,0,0,0,0,0,1,"control"
33,150,-1,0,0,0,0,0,0,0,1,"control"
34,150,-1,0,0,0,0,0,0,0,1,"control"
35,150,-1,0,0,0,0,0,0,0,1,"control"
36,150,-1,0,0,0,0,0,0,0,1,"control"
37,150,-1,0,0,0,0,0,0,0,1,"control"
38,150,-1,0,0,0,0,0,0,0,1,"control"
39,150,-1,0,0,0,0,0,0,0,1,"control"
40,150,-1,0,0,0,0,0,0,0,1,"control"
1,150,0,123.58,123,120,128,112,135.55,7.14497054065625,1,"control"
2,150,0,111.6,112,109,115,103.45,120,4.91948597740447,1,"control"
3,150,0,144.44,145,142,147,138,149.55,3.86948134845489,1,"control"
4,150,0,122.913333333333,123,121,125,117,129,3.38955495220969,1,"control"
5,150,0,111.346666666667,111,107,114,102.45,124,6.54051561568472,1,"control"
6,150,0,108.006666666667,108,105,111,99,116,4.80840520613625,1,"control"
7,150,0,140.986666666667,140.5,137.25,145,133,150,5.69114072695881,1,"control"
8,150,0,132.853333333333,133,130,135,127,139,3.80283657228729,1,"control"
9,150,0,101.146666666667,101,98,104,93.45,109,5.28691771086252,1,"control"
10,150,0,91.02,92,89,95,77.9,99,6.2632088608715,1,"control"
11,150,0,131.96,133,129,137,118.45,141.55,7.35657492525377,1,"control"
12,150,0,126.76,127,124,130.75,118,135.55,5.40901559106919,1,"control"
13,150,0,97.56,98,95,101,88.45,104,5.02541193343104,1,"control"
14,150,0,93.9266666666667,94,91,96,87,101,4.57465540077001,1,"control"
15,150,0,97.8933333333333,98,94,101,88,110,6.80223676858785,1,"control"
16,150,0,115.893333333333,116,112,119,109,125,5.03697292000543,1,"control"
17,150,0,101.88,102,99,105,93.45,110.55,5.25832034835327,1,"control"
18,150,0,108.393333333333,109,106,110,103,114,3.3914552451845,1,"control"
19,150,0,102.86,103,99,106,95.45,111.55,5.15664684765298,1,"control"
20,150,0,106.853333333333,107,105,109,100,113.55,3.92443159081184,1,"control"
21,150,0,101.326666666667,101,98,105,92,110,5.76322135250259,1,"control"
22,150,0,119.48,119,117,121,114,126,4.07434270237247,1,"control"
23,150,0,135.233333333333,135,133,138,128.9,141,3.7441975989463,1,"control"
24,150,0,94.3066666666667,94,90,97,84,106.55,6.68861264761895,1,"control"
25,150,0,121.646666666667,121.5,119,124,116,128.55,4.20791307401647,1,"control"
26,150,0,141.04,142,139,144,133.45,146.55,4.6108713090031,1,"control"
27,150,0,115.44,115,112,118,105.45,127,6.79763085456244,1,"control"
28,150,0,95.3933333333333,95,92,98,89.45,105.55,4.98709296051999,1,"control"
29,150,0,96.4133333333333,97,94.25,99,86.45,103.55,4.76872735920164,1,"control"
30,150,0,107.966666666667,108,104,111.75,98,118,6.39254669469437,1,"control"
31,150,0,97.1666666666667,98,95,100,87.9,104,4.97566786406733,1,"control"
32,150,0,98.3733333333333,98,96,100.75,93,104,3.39076255339596,1,"control"
33,150,0,106.126666666667,106,102,109.75,97,115.55,5.66076413210126,1,"control"
34,150,0,106.84,106,103,109,100,116.55,5.95066969329148,1,"control"
35,150,0,96.8666666666667,97.5,95,99,88.45,102,4.12012032577708,1,"control"
36,150,0,147.4,148,145,150,140.45,153.55,3.95613532521442,1,"control"
37,150,0,106.406666666667,107,103,111,95.45,117,6.66060910476906,1,"control"
38,150,0,123.366666666667,123,120,126,113,135,6.81334721144561,1,"control"
39,150,0,128.32,128,126,132,118.45,136,5.88060171326601,1,"control"
40,150,0,94.68,95,91.25,98,87,102,5.07833931530203,1,"control"
1,6,1,119.666666666667,119.5,118.25,120,117.25,123,2.42212028327799,1,"control"
2,292,1,112.188356164384,112.5,110,115,105,119,4.38469707306436,1,"control"
3,300,1,145.1,145,143,147,139,150,3.70618212628269,1,"control"
4,18,1,122.944444444444,122.5,121,124,118,128.35,4.06523600678358,1,"control"
5,258,1,111.608527131783,111,107,115,102.85,123.15,6.23890805331386,1,"control"
6,50,1,108.06,108.5,106,111,98,115,5.53803177296477,1,"control"
7,16,1,140.625,141,137,143.5,132.75,147.5,4.86997604374669,1,"control"
8,114,1,132.894736842105,133,130,135,127,139.35,4.08833527592407,1,"control"
11,6,1,128.5,128.5,127,133,118.75,136.25,7.28697468089467,1,"control"
12,266,1,126.87969924812,127,124,129.75,119,134,4.59948741030007,1,"control"
13,156,1,98.2115384615385,98,96,100.25,90.75,104.25,4.25480315360541,1,"control"
14,110,1,94.7181818181818,95,92,97,87.9,101,3.96575205029727,1,"control"
15,2,1,90,90,86.5,93.5,83.7,96.3,9.89949493661167,1,"control"
