"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,11,"control"
2,150,-1,0,0,0,0,0,0,0,11,"control"
3,150,-1,0,0,0,0,0,0,0,11,"control"
4,150,-1,0,0,0,0,0,0,0,11,"control"
5,150,-1,0,0,0,0,0,0,0,11,"control"
6,150,-1,0,0,0,0,0,0,0,11,"control"
7,150,-1,0,0,0,0,0,0,0,11,"control"
8,150,-1,0,0,0,0,0,0,0,11,"control"
9,150,-1,0,0,0,0,0,0,0,11,"control"
10,150,-1,0,0,0,0,0,0,0,11,"control"
11,150,-1,0,0,0,0,0,0,0,11,"control"
12,150,-1,0,0,0,0,0,0,0,11,"control"
13,150,-1,0,0,0,0,0,0,0,11,"control"
14,150,-1,0,0,0,0,0,0,0,11,"control"
15,150,-1,0,0,0,0,0,0,0,11,"control"
16,150,-1,0,0,0,0,0,0,0,11,"control"
17,150,-1,0,0,0,0,0,0,0,11,"control"
18,150,-1,0,0,0,0,0,0,0,11,"control"
19,150,-1,0,0,0,0,0,0,0,11,"control"
20,150,-1,0,0,0,0,0,0,0,11,"control"
21,150,-1,0,0,0,0,0,0,0,11,"control"
22,150,-1,0,0,0,0,0,0,0,11,"control"
23,150,-1,0,0,0,0,0,0,0,11,"control"
24,150,-1,0,0,0,0,0,0,0,11,"control"
25,150,-1,0,0,0,0,0,0,0,11,"control"
1,150,0,123.22,123,121,126,117,129.55,3.68539653918092,11,"control"
2,150,0,128.08,128,124,131,118,139,6.28358893729419,11,"control"
3,150,0,121.473333333333,122,119,125,113,128.55,5.41895339788152,11,"control"
4,150,0,119.02,119,116,122,113,125.55,4.25601824187441,11,"control"
5,150,0,141.666666666667,141,139,144,134.45,151.55,4.88617645587445,11,"control"
6,150,0,121.186666666667,121,118,124,112.45,130.55,5.36254305427458,11,"control"
7,150,0,95.4,96,93,98,85,102,5.22384825622135,11,"control"
8,150,0,150.2,150,148,152,144,159,4.35196476495803,11,"control"
9,150,0,121.813333333333,121.5,119,125,114.45,129.55,4.64351560097146,11,"control"
10,150,0,106.166666666667,106,104,108,101,112.55,3.74061091566222,11,"control"
11,150,0,150.506666666667,150,146.25,154,141,161,5.85822048096343,11,"control"
12,150,0,141.16,141.5,139,143.75,135,146.55,3.92561712328873,11,"control"
13,150,0,127.64,128,125,130,121,135.55,4.63178397799292,11,"control"
14,150,0,136.573333333333,136,134,138.75,131,143.55,4.0967275640175,11,"control"
15,150,0,142.446666666667,142,140,145,133.45,150,5.19749122065774,11,"control"
16,150,0,112.453333333333,113,110,115,104,119,4.88056915300569,11,"control"
17,150,0,98.14,97,94.25,101,89.45,108.55,5.95962928444829,11,"control"
18,150,0,146.806666666667,147,143,151,135.45,155,5.94007735771681,11,"control"
19,150,0,105.133333333333,105.5,102,108,96.45,113,4.93945445275364,11,"control"
20,150,0,143.093333333333,143,141,145,134.45,149.55,4.28098130045607,11,"control"
21,150,0,100.44,100.5,98,103,94,106,3.79062779238515,11,"control"
22,150,0,134.006666666667,134,131,136,128,141,4.11984339747117,11,"control"
23,150,0,119.246666666667,120,116,122.75,110.45,127,5.19025502298099,11,"control"
24,150,0,144.546666666667,145,143,147,138,151,3.69942253187592,11,"control"
25,150,0,93.76,94,91,97,87,101,4.54608024979585,11,"control"
1,276,1,123.210144927536,123,121,125,117,129.25,3.86678705914068,11,"control"
2,298,1,129.708053691275,129,126,133,120,141,6.34889122352488,11,"control"
3,86,1,120.639534883721,122,117.25,124,110.5,128,6.22879988572565,11,"control"
4,206,1,119.378640776699,119.5,117,122,112,126,4.40203169247436,11,"control"
5,278,1,142.068345323741,141,139,144,135,150.15,5.18596461818968,11,"control"
