"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,14,"midskew"
2,150,-1,0,0,0,0,0,0,0,14,"midskew"
3,150,-1,0,0,0,0,0,0,0,14,"midskew"
4,150,-1,0,0,0,0,0,0,0,14,"midskew"
5,150,-1,0,0,0,0,0,0,0,14,"midskew"
6,150,-1,0,0,0,0,0,0,0,14,"midskew"
7,150,-1,0,0,0,0,0,0,0,14,"midskew"
8,150,-1,0,0,0,0,0,0,0,14,"midskew"
9,150,-1,0,0,0,0,0,0,0,14,"midskew"
10,150,-1,0,0,0,0,0,0,0,14,"midskew"
11,150,-1,0,0,0,0,0,0,0,14,"midskew"
12,150,-1,0,0,0,0,0,0,0,14,"midskew"
13,150,-1,0,0,0,0,0,0,0,14,"midskew"
14,150,-1,0,0,0,0,0,0,0,14,"midskew"
15,150,-1,0,0,0,0,0,0,0,14,"midskew"
16,150,-1,0,0,0,0,0,0,0,14,"midskew"
17,150,-1,0,0,0,0,0,0,0,14,"midskew"
18,150,-1,0,0,0,0,0,0,0,14,"midskew"
19,150,-1,0,0,0,0,0,0,0,14,"midskew"
20,150,-1,0,0,0,0,0,0,0,14,"midskew"
21,150,-1,0,0,0,0,0,0,0,14,"midskew"
22,150,-1,0,0,0,0,0,0,0,14,"midskew"
23,150,-1,0,0,0,0,0,0,0,14,"midskew"
24,150,-1,0,0,0,0,0,0,0,14,"midskew"
25,150,-1,0,0,0,0,0,0,0,14,"midskew"
1,150,0,125.813333333333,126,123,129,118,133,4.96212049642379,14,"midskew"
2,150,0,106.646666666667,107,104,109,99,114.55,4.53196946189837,14,"midskew"
3,150,0,138.066666666667,138,136.25,140,132,145,3.63920978712692,14,"midskew"
4,150,0,110.833333333333,110.5,107,114,102.45,121,5.84637404597573,14,"midskew"
5,150,0,123.186666666667,123,121,126,116.45,129,4.16986096796644,14,"midskew"
6,150,0,96.3533333333333,96,93,99,86,106,6.3712195440706,14,"midskew"
7,150,0,132.126666666667,132,129,135,125,139.55,4.69084023421266,14,"midskew"
8,150,0,116.14,116,114,119,109,122.55,3.92894951549419,14,"midskew"
9,150,0,145.706666666667,146,143,148,140,151.55,3.87479666782687,14,"midskew"
10,150,0,146.786666666667,147,143,151,136.45,157,6.10708320922392,14,"midskew"
11,150,0,108.42,108,106,110,103.45,115,4.15839088652097,14,"midskew"
12,150,0,97,98,94.25,100,88,103,4.6674655755912,14,"midskew"
13,150,0,141.513333333333,141,138,144.75,135,149.55,4.79616270926881,14,"midskew"
14,150,0,110.553333333333,111,108.25,113,105,116,3.76050950900776,14,"midskew"
15,150,0,118.16,118.5,114,122,108.45,128.55,6.03688883827072,14,"midskew"
16,150,0,136.186666666667,136,133,139,130,143,4.20033023097197,14,"midskew"
17,150,0,104.213333333333,104,99,109,92.45,117,7.17619729426832,14,"midskew"
18,150,0,111.406666666667,112,109,114,102.45,119,5.11491655500393,14,"midskew"
19,150,0,106.553333333333,108,102,111,92.45,117,7.29395876406644,14,"midskew"
20,150,0,140.706666666667,140,137,144.75,133,149,5.51817821638088,14,"midskew"
21,150,0,91.5466666666667,92,89,94,83.45,99.55,5.25023063305068,14,"midskew"
22,150,0,124.466666666667,125.5,121,130,108.45,136,8.89586787921138,14,"midskew"
23,150,0,117.486666666667,117.5,115,120,111.45,123,3.83508470836798,14,"midskew"
24,150,0,94.3,94,91,97,86.45,104,6.54745198659589,14,"midskew"
25,150,0,135.966666666667,135,133,139,129,143.55,4.52349076268422,14,"midskew"
1,176,1,125.039772727273,125,122,128,115,136,5.57377614544041,14,"midskew"
2,264,1,106.515151515152,107,104,109,97.15,113,4.70172664422677,14,"midskew"
3,296,1,138.097972972973,138,136,140,133,144,3.54446753610769,14,"midskew"
4,58,1,111.01724137931,110.5,107,115,103.85,119,5.6366326245572,14,"midskew"
5,10,1,124.9,124.5,122.25,126.75,119,132.4,4.95423500093046,14,"midskew"
6,196,1,96.3367346938775,96,93,100,86,109,6.43618596654248,14,"midskew"
7,300,1,132.516666666667,133,130,135,126,139,4.26501544483775,14,"midskew"
8,280,1,115.653571428571,116,113,119,106.95,122,4.55291329340295,14,"midskew"
9,206,1,145.402912621359,145,143,148,139,153,4.17048763156188,14,"midskew"
10,62,1,145.435483870968,145,143,148.75,138.05,154.95,4.93771357368987,14,"midskew"
11,296,1,108.439189189189,108,106,110,103,115,3.82361325494723,14,"midskew"
12,134,1,98.1567164179104,98,96,101,92,105,4.03342142419336,14,"midskew"
13,300,1,140.136666666667,140,137,143,133,149,4.77290172310482,14,"midskew"
14,18,1,112.666666666667,113,110.25,114.75,104.7,119.05,4.89897948556636,14,"midskew"
15,300,1,118.643333333333,118,114,122.25,109,131,7.05658843611732,14,"midskew"
16,290,1,136.393103448276,136,133,139,131,143,3.94652236509421,14,"midskew"
17,260,1,104.530769230769,104,100.75,109,94,116.05,6.87526871251734,14,"midskew"
18,264,1,110.965909090909,111,108,113.25,104,117,4.17702077951075,14,"midskew"
19,108,1,106.888888888889,107.5,104,111,94.35,116.65,7.2050518794572,14,"midskew"
20,240,1,141.45,141,137,144,132,153,6.30646875177819,14,"midskew"
21,292,1,91.7945205479452,92,89,95,84,99,4.72824053239917,14,"midskew"
22,226,1,124.933628318584,126,122,130,112,134.75,7.4278767490459,14,"midskew"
23,280,1,117.928571428571,118,116,120,111,123,3.76770440960768,14,"midskew"
24,270,1,94.4037037037037,94,91,97.75,86.45,104.55,5.38378271692951,14,"midskew"
25,300,1,135.576666666667,136,133,138,129,142,4.09226232361839,14,"midskew"
1,176,2,124.920454545455,125,122,128,116.75,132.25,5.27250895204083,14,"midskew"
2,516,2,106.443798449612,107,104,109,99.75,113,4.13307054690654,14,"midskew"
3,588,2,137.904761904762,138,136,140,133,143,3.22592423444549,14,"midskew"
4,38,2,113.026315789474,112,109,117,104.4,128.6,7.430713625128,14,"midskew"
6,334,2,95.7874251497006,95,92,99,88,105,5.82835236135688,14,"midskew"
7,600,2,132.348333333333,132,130,135,125,140,4.35376342744901,14,"midskew"
8,530,2,116.133962264151,117,114,119,108,123,4.50110019721188,14,"midskew"
9,302,2,145.576158940397,145,143,148,139,153.95,4.38956340936318,14,"midskew"
10,24,2,147.5,148,146,149.5,141.15,152.85,4.0432445000218,14,"midskew"
11,590,2,108.11186440678,108,105,110,102,115,4.06371515960351,14,"midskew"
12,218,2,97.5366972477064,98,95,101,89,105,5.06283395531305,14,"midskew"
13,598,2,140.204013377926,140,137,143,133,149,4.69311309249875,14,"midskew"
15,586,2,117.870307167235,117,114,121,108,129,6.26701353986935,14,"midskew"
16,424,2,135.747641509434,135,133,138,129.15,143,4.25321395414557,14,"midskew"
17,468,2,105.651709401709,105,101,110,95.35,118,7.04683454874186,14,"midskew"
18,450,2,111.117777777778,111,108.25,114,104,118,4.32704186073332,14,"midskew"
19,68,2,105.897058823529,107,101.5,111,94,115,8.06344192624841,14,"midskew"
20,168,2,141.35119047619,141,137,145,134,150,5.08860401189254,14,"midskew"
21,574,2,92.1794425087108,92,89,95,85,99,4.48976291883765,14,"midskew"
22,356,2,124.27808988764,125,121,129,112,135,6.7334500503553,14,"midskew"
23,532,2,117.543233082707,117,115,120,111,124,4.07371012688976,14,"midskew"
24,524,2,94.543893129771,94,91,97,86.15,105,5.86201931711391,14,"midskew"
25,596,2,136.14932885906,136,133,138.25,130,144,4.53551989580945,14,"midskew"
1,76,3,125.289473684211,125,123,128,118,133,4.30136657191234,14,"midskew"
2,836,3,106.58014354067,107,104,109,100,113,3.9999446676974,14,"midskew"
3,902,3,138.10310421286,138,136,140,133,144,3.31568955639858,14,"midskew"
4,18,3,111.888888888889,111,108.25,113.75,102.7,124,6.29555294855858,14,"midskew"
6,546,3,96.1373626373626,96,92,99.75,86,108,6.2452474117036,14,"midskew"
7,1034,3,132.327852998066,132,130,135,125,140,4.66930180179226,14,"midskew"
8,846,3,116.200945626478,116,114,119,109,122,4.25987738294779,14,"midskew"
9,260,3,145.388461538462,145,143,148,139.95,152,3.94839559059471,14,"midskew"
11,1110,3,108.527027027027,108,106,111,103,115,3.65123954509699,14,"midskew"
12,316,3,97.5759493670886,98,96,100,90,104,4.33413077468036,14,"midskew"
13,1040,3,140.466346153846,140,138,143,134,148.05,4.54099306461507,14,"midskew"
15,1032,3,118.121124031008,117,114,122,109,129.45,6.68117347819282,14,"midskew"
16,266,3,135.887218045113,136,133,138,130,143,4.23757519724157,14,"midskew"
17,512,3,105.24609375,105,101,109,96,116,6.7105361831935,14,"midskew"
18,572,3,111.097902097902,111,108,114,104,119,4.57712990672571,14,"midskew"
19,28,3,108.642857142857,108.5,105.75,111.25,101.7,116,4.84740698697298,14,"midskew"
21,1136,3,92.0519366197183,92,89,95,85,99,4.62381650431577,14,"midskew"
22,374,3,124.772727272727,126,121,129,112.3,134.35,7.53217972542059,14,"midskew"
23,724,3,117.566298342541,118,115,120,111,123.85,3.95615976801225,14,"midskew"
24,988,3,94.5981781376518,94,91,97.25,87,105,5.63329556895621,14,"midskew"
25,1052,3,135.914448669202,136,133,138,129,143,4.14328298475363,14,"midskew"
1,16,4,127.375,126,121.75,130.25,120,140.25,6.60176744011279,14,"midskew"
2,1122,4,106.31550802139,106,104,109,99,113,4.12778818379787,14,"midskew"
3,286,4,138.125874125874,138,136,140,133,143,3.3126384944069,14,"midskew"
4,2,4,108.5,108.5,107.25,109.75,106.25,110.75,3.53553390593274,14,"midskew"
6,574,4,96.2108013937282,95,92,100,87,107,6.15329095553943,14,"midskew"
7,680,4,132.222058823529,132,130,135,125,140,4.36269314575484,14,"midskew"
8,1078,4,116.226345083488,117,114,119,108,123,4.39768359296924,14,"midskew"
9,18,4,145.611111111111,146.5,143.25,148,139.1,150.2,4.92459480433955,14,"midskew"
11,1418,4,108.294781382228,108,106,110,103,115,3.84938578372534,14,"midskew"
12,410,4,97.8268292682927,99,95,101,90,104,4.54607084118019,14,"midskew"
13,1288,4,140.523291925466,140,137,143,134,149,4.89559220442639,14,"midskew"
15,984,4,118.14837398374,118,114,122,109,130,6.45702101947603,14,"midskew"
16,76,4,135.407894736842,135,133,138,128.75,141.25,3.9299792419433,14,"midskew"
17,176,4,105.301136363636,104,101,108,96,119,6.83145655781391,14,"midskew"
18,408,4,111.154411764706,111,108,114,104,119,4.9253074733648,14,"midskew"
19,10,4,103.5,104.5,101,108.25,88.7,115.55,9.30053761886914,14,"midskew"
21,2242,4,92.0388046387154,92,90,95,84,99,4.83090341893935,14,"midskew"
22,70,4,125.7,127,122,129,114.9,137.1,6.9851810014622,14,"midskew"
23,212,4,117.556603773585,117,115,120,112,123,3.85662521892229,14,"midskew"
24,1788,4,94.4574944071588,94,91,97,86,105,5.60776150792767,14,"midskew"
25,1030,4,136.096116504854,136,133,139,130,143,4.25972670366445,14,"midskew"
1,4,5,124,123,121.75,125.25,121.15,128.25,3.55902608401044,14,"midskew"
2,1096,5,106.778284671533,107,104,109,100,113,4.05950299218336,14,"midskew"
