"speciesid","population","season","mean.emergence","q1","q3","first","last","run"
1,150,-1,0,0,0,NA,NA,15
2,150,-1,0,0,0,NA,NA,15
3,150,-1,0,0,0,NA,NA,15
4,150,-1,0,0,0,NA,NA,15
5,150,-1,0,0,0,NA,NA,15
6,150,-1,0,0,0,NA,NA,15
7,150,-1,0,0,0,NA,NA,15
8,150,-1,0,0,0,NA,NA,15
9,150,-1,0,0,0,NA,NA,15
10,150,-1,0,0,0,NA,NA,15
11,150,-1,0,0,0,NA,NA,15
12,150,-1,0,0,0,NA,NA,15
13,150,-1,0,0,0,NA,NA,15
14,150,-1,0,0,0,NA,NA,15
15,150,-1,0,0,0,NA,NA,15
16,150,-1,0,0,0,NA,NA,15
17,150,-1,0,0,0,NA,NA,15
18,150,-1,0,0,0,NA,NA,15
19,150,-1,0,0,0,NA,NA,15
20,150,-1,0,0,0,NA,NA,15
21,150,-1,0,0,0,NA,NA,15
22,150,-1,0,0,0,NA,NA,15
23,150,-1,0,0,0,NA,NA,15
24,150,-1,0,0,0,NA,NA,15
25,150,-1,0,0,0,NA,NA,15
26,150,-1,0,0,0,NA,NA,15
27,150,-1,0,0,0,NA,NA,15
28,150,-1,0,0,0,NA,NA,15
29,150,-1,0,0,0,NA,NA,15
30,150,-1,0,0,0,NA,NA,15
1,150,0,88.5266666666667,85,92,77.45,97,15
2,150,0,130.173333333333,127,133.75,121,139,15
3,150,0,133.58,131,135,128,141,15
4,150,0,136.426666666667,134,139,129,144,15
5,150,0,148.353333333333,144,151,140,159,15
6,150,0,104.58,103,107,98.45,109,15
7,150,0,143.286666666667,141,146,136,149.55,15
8,150,0,128.233333333333,126,131,122.45,134.55,15
9,150,0,134.646666666667,132,138,126.45,141,15
10,150,0,140.873333333333,138,143,133,148,15
11,150,0,104.593333333333,102,108,95,112,15
12,150,0,109.4,107,112,104,115,15
13,150,0,146.14,143,150,134.45,156,15
14,150,0,122.866666666667,120,126,116,132.55,15
15,150,0,137.36,132,141,125,156,15
16,150,0,148.426666666667,145,152,140.45,159,15
17,150,0,143.893333333333,140,148,134,154,15
18,150,0,136.893333333333,133,140.75,127,147,15
19,150,0,114.546666666667,109,118,103,131.1,15
20,150,0,144.56,140,149,134,157,15
21,150,0,142.506666666667,139,146,134,150,15
22,150,0,133.32,129,137,124,143.55,15
23,150,0,128.933333333333,126,132,121,137,15
24,150,0,111.086666666667,107.25,114,102.45,119,15
25,150,0,132.573333333333,130,134,127,139,15
26,150,0,143.313333333333,141,146,137,149.55,15
27,150,0,125.32,121,130,113.45,135.55,15
28,150,0,107.3,103,111,97,117.55,15
29,150,0,106.14,103,109,98,115,15
30,150,0,94.7866666666667,93,98,88,101,15
1,66,1,88.7121212121212,86,92.75,76.5,99,15
2,300,1,130.04,127,134,121,138,15
3,224,1,133.825892857143,131,136,128,139,15
4,244,1,136.655737704918,133,139,129,146,15
5,292,1,148.678082191781,145,152,139,160,15
6,8,1,105.125,102,107,101.35,108.95,15
7,298,1,143.167785234899,141,146,136,150,15
8,74,1,127.716216216216,126,129.75,122.65,134,15
9,284,1,133.869718309859,131,137,126,141,15
10,212,1,140.702830188679,137,143,133.55,149,15
11,226,1,103.933628318584,101,107,94,112,15
12,20,1,107.1,106,109,101.85,111,15
13,42,1,147.642857142857,144.25,150,139.1,156.95,15
14,102,1,122.343137254902,119,125,114.05,134.8,15
15,300,1,137.326666666667,133,141,129,149.1,15
16,182,1,148.857142857143,144,152.75,139.05,162,15
17,210,1,143.147619047619,140,148,128.45,156.1,15
18,288,1,136.934027777778,134,140,127,146,15
19,60,1,112.516666666667,108,115,102.95,123.15,15
20,184,1,144.505434782609,140,149,133.15,159,15
21,162,1,142.679012345679,140,146,134.05,149,15
22,20,1,133.75,132.75,136.5,123,139.05,15
23,38,1,128.315789473684,125.25,131.75,121,134.45,15
24,30,1,113.1,110.25,116,105.45,119.55,15
25,12,1,131.416666666667,129,133.25,128,136,15
26,166,1,142.650602409639,140,145,135.25,149.75,15
