"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,2,"control"
2,150,-1,0,0,0,0,0,0,0,2,"control"
3,150,-1,0,0,0,0,0,0,0,2,"control"
4,150,-1,0,0,0,0,0,0,0,2,"control"
5,150,-1,0,0,0,0,0,0,0,2,"control"
6,150,-1,0,0,0,0,0,0,0,2,"control"
7,150,-1,0,0,0,0,0,0,0,2,"control"
8,150,-1,0,0,0,0,0,0,0,2,"control"
9,150,-1,0,0,0,0,0,0,0,2,"control"
10,150,-1,0,0,0,0,0,0,0,2,"control"
11,150,-1,0,0,0,0,0,0,0,2,"control"
12,150,-1,0,0,0,0,0,0,0,2,"control"
13,150,-1,0,0,0,0,0,0,0,2,"control"
14,150,-1,0,0,0,0,0,0,0,2,"control"
15,150,-1,0,0,0,0,0,0,0,2,"control"
16,150,-1,0,0,0,0,0,0,0,2,"control"
17,150,-1,0,0,0,0,0,0,0,2,"control"
18,150,-1,0,0,0,0,0,0,0,2,"control"
19,150,-1,0,0,0,0,0,0,0,2,"control"
20,150,-1,0,0,0,0,0,0,0,2,"control"
21,150,-1,0,0,0,0,0,0,0,2,"control"
22,150,-1,0,0,0,0,0,0,0,2,"control"
23,150,-1,0,0,0,0,0,0,0,2,"control"
24,150,-1,0,0,0,0,0,0,0,2,"control"
25,150,-1,0,0,0,0,0,0,0,2,"control"
26,150,-1,0,0,0,0,0,0,0,2,"control"
27,150,-1,0,0,0,0,0,0,0,2,"control"
28,150,-1,0,0,0,0,0,0,0,2,"control"
29,150,-1,0,0,0,0,0,0,0,2,"control"
30,150,-1,0,0,0,0,0,0,0,2,"control"
31,150,-1,0,0,0,0,0,0,0,2,"control"
32,150,-1,0,0,0,0,0,0,0,2,"control"
33,150,-1,0,0,0,0,0,0,0,2,"control"
34,150,-1,0,0,0,0,0,0,0,2,"control"
35,150,-1,0,0,0,0,0,0,0,2,"control"
36,150,-1,0,0,0,0,0,0,0,2,"control"
37,150,-1,0,0,0,0,0,0,0,2,"control"
38,150,-1,0,0,0,0,0,0,0,2,"control"
39,150,-1,0,0,0,0,0,0,0,2,"control"
40,150,-1,0,0,0,0,0,0,0,2,"control"
1,150,0,90.1066666666667,90,88,92.75,82.45,98,4.719155120986,2,"control"
2,150,0,130.093333333333,130,128,132,124.45,135,3.54519557050237,2,"control"
3,150,0,140.026666666667,141,136,144.75,128.45,148.55,6.28190825821686,2,"control"
4,150,0,119.546666666667,120,116,123,111,126,4.84191246627778,2,"control"
5,150,0,139.88,140,137,144.75,129,149,7.08142479881048,2,"control"
6,150,0,142.206666666667,143,139,146,133,149.55,5.29948290078003,2,"control"
7,150,0,141.34,141,139,144,134,149,4.46887821306662,2,"control"
8,150,0,108.133333333333,108,106,110,102,114.55,3.77321301616068,2,"control"
9,150,0,137.46,138,135,140,130,145,4.64531227954555,2,"control"
10,150,0,119.373333333333,120,117,121,115,124.55,3.3669269175331,2,"control"
11,150,0,148.26,148,146,150,142,154,3.61657259230839,2,"control"
12,150,0,107.133333333333,106,104,109,100.45,116.55,4.88480271240814,2,"control"
13,150,0,96.5666666666667,96,93,100,86,106.55,6.71512033870659,2,"control"
14,150,0,102.233333333333,103,100,105,94.45,108.55,4.82083936364015,2,"control"
15,150,0,108.92,109,105,112,99,120,6.28038386378652,2,"control"
16,150,0,145.573333333333,147,142,150,134.45,155,6.81721731365269,2,"control"
17,150,0,129.266666666667,129,126,133,118.9,139.1,6.46691805134208,2,"control"
18,150,0,130.506666666667,130,127,135,120.45,139,6.39499244812948,2,"control"
19,150,0,100.126666666667,100,98,102.75,93,106,4.04388122865878,2,"control"
20,150,0,146.406666666667,147,143,151,136,156,7.05215152725117,2,"control"
21,150,0,119.173333333333,120,115.25,123.75,108.45,128,6.91826360907513,2,"control"
22,150,0,122.8,123,119,127,111.45,132.55,6.78727589640791,2,"control"
23,150,0,136.413333333333,136,134,139,130.45,143,4.36303365100718,2,"control"
24,150,0,108.306666666667,108.5,105,112,97.45,118.55,6.6139436465156,2,"control"
25,150,0,107,107,104,109,100.45,114,4.30077252308257,2,"control"
26,150,0,112.313333333333,111,107,116,99.45,126.55,9.21927996334343,2,"control"
27,150,0,133.38,134,131,136,126.45,139,3.95048208764857,2,"control"
28,150,0,119.54,120,117,122,114,125,3.69768656135702,2,"control"
29,150,0,133.72,134,131,136,127,140,4.39511626465851,2,"control"
30,150,0,113.133333333333,113,110,116,107,120,4.66698624664764,2,"control"
31,150,0,104.94,104,101,108,96.45,115.55,5.83696850619239,2,"control"
32,150,0,94.3,94.5,92,97,89,99,3.25380520654628,2,"control"
33,150,0,97.8933333333333,98,95,101,90,104.55,4.93874786004063,2,"control"
34,150,0,116.453333333333,117.5,112,122,102,127,8.13855408778617,2,"control"
35,150,0,144.24,144,140,149,132,156,7.51703211461016,2,"control"
36,150,0,119.626666666667,120,117,121,113,126,4.11177171869581,2,"control"
37,150,0,117.22,117,115,120,111.45,125,4.2911959191008,2,"control"
38,150,0,139.433333333333,140,136,143,129,150,6.25779156390421,2,"control"
39,150,0,132.9,134,129,137,120.45,144,7.54738943266625,2,"control"
40,150,0,92.9,93,90,96,86.45,98.55,3.88552640400778,2,"control"
1,76,1,89.7105263157895,90,87,92,82.75,96,4.20734528960542,2,"control"
2,16,1,132.25,131.5,130,135,127.25,137.25,3.53081671383076,2,"control"
3,212,1,139.688679245283,140,136,144,127.55,150.45,7.5794223886105,2,"control"
4,212,1,119.429245283019,120,116,123,110,127,5.35734366839176,2,"control"
5,218,1,139.729357798165,141,136,144,128,149,6.49460325771153,2,"control"
6,50,1,141.54,143,139.25,146,131.9,148,7.7227731087865,2,"control"
7,98,1,142.336734693878,142,139,145,135.85,151.15,4.86295459285669,2,"control"
8,108,1,107.509259259259,108,105,110,102,113,3.66467188257323,2,"control"
9,132,1,138.333333333333,138,135.75,141.25,131.55,145,4.73522880730238,2,"control"
10,212,1,119.150943396226,119,117,121,113,125,3.52860337241436,2,"control"
11,178,1,148.786516853933,149,147,151,143,155,3.53983596323431,2,"control"
12,106,1,106.547169811321,106,103.25,109,100,116,4.90700582835001,2,"control"
16,126,1,146.261904761905,146,143.25,150,137,153.75,5.20488781270616,2,"control"
17,4,1,123,124,118.75,128.25,115.75,128.85,6.68331255192114,2,"control"
18,88,1,130.011363636364,129,126,134.25,121.35,142.65,7.05885653561444,2,"control"
19,212,1,99.6462264150943,100,97,103,90,108,5.18678003335114,2,"control"
20,120,1,146.616666666667,147,143,151,136.95,155,5.98623537839954,2,"control"
21,56,1,122.375,123,117.75,127.25,108.5,133.5,8.38518715571475,2,"control"
22,52,1,121.692307692308,122.5,117,126,111.55,133,6.63484107863656,2,"control"
23,294,1,136.428571428571,136,134,139,131,142,3.82733120644432,2,"control"
24,50,1,104.94,105,100,111,93.45,117.1,8.07467696959236,2,"control"
25,298,1,107.11744966443,107,104,109,101,114,4.24854471489091,2,"control"
26,6,1,113.833333333333,113.5,104.75,120.75,102,127.5,10.9071841768014,2,"control"
27,146,1,133.369863013699,134,131,136,126,140,4.31998355461451,2,"control"
28,118,1,119.881355932203,120,118,122,113.85,128.15,4.16367993779135,2,"control"
29,292,1,133.674657534247,134,131,136,126.55,141,4.34274386545414,2,"control"
30,76,1,114.105263157895,114,112,117,107,120.25,4.55361818738585,2,"control"
31,166,1,105.048192771084,104,101,108,96,115.75,5.94806536300788,2,"control"
34,206,1,116.553398058252,117,112,121,105.25,127,7.41616975012897,2,"control"
35,166,1,142.981927710843,142,139,146,134,155,7.64315728158895,2,"control"
36,80,1,119.3375,119,117,121,113,125,3.90372671667485,2,"control"
37,94,1,117.297872340426,117,114,120.75,108,126,5.44736256047348,2,"control"
38,68,1,139.676470588235,139.5,136,143,132,148,5.21891272621972,2,"control"
39,30,1,130.966666666667,131,126.25,137,118.35,142,7.90671182945369,2,"control"
40,18,1,91.5,92,90,93,86.25,96.3,3.56865438472922,2,"control"
1,36,2,90.75,91,89,93,85,96.75,3.76734085833193,2,"control"
2,6,2,132.5,132.5,131.25,133,131,134.5,1.51657508881031,2,"control"
3,38,2,140.026315789474,141,137,145,126.55,149.15,7.83783906410939,2,"control"
4,298,2,120.140939597315,121,117,123.75,111,128,5.12933089962236,2,"control"
5,250,2,140.052,140,136,144,131,149,5.58480583591763,2,"control"
7,8,2,145.5,145,142.25,148.5,138.05,153.65,5.87974732207334,2,"control"
8,120,2,108.458333333333,108,107,110,104,113.05,2.97297585495975,2,"control"
9,44,2,138.227272727273,138.5,135.75,141,132.15,144.85,4.14203430731324,2,"control"
10,254,2,119.287401574803,119,117,121.75,114,125,3.44810177774973,2,"control"
11,154,2,148.019480519481,148,146,150,143,154,3.71267178114629,2,"control"
12,94,2,107.074468085106,106.5,104,110,102,114.35,4.10936345357698,2,"control"
16,128,2,146.34375,146,143,151,136.35,155,6.24870065233723,2,"control"
17,2,2,129,129,128,130,127.2,130.8,2.82842712474619,2,"control"
18,2,2,124,124,119.5,128.5,115.9,132.1,12.7279220613579,2,"control"
19,278,2,99.6115107913669,100,97,103,91,106,4.93716589710646,2,"control"
20,14,2,150.571428571429,150.5,148.25,152.75,144.65,157.7,4.25557165488846,2,"control"
21,6,2,120,118,115.25,124.5,115,127.5,5.76194411635517,2,"control"
22,24,2,121.833333333333,122,118.5,125.25,111.45,132.25,6.56516940187855,2,"control"
23,580,2,136.984482758621,137,135,139,131,144,3.98764506990051,2,"control"
24,4,2,106,110,102.5,113.5,91.7,114.7,11.8321595661992,2,"control"
25,596,2,106.921140939597,107,104,109,102,114,3.75047193090048,2,"control"
27,64,2,133.65625,134,130,137,127.15,141,4.67081023527699,2,"control"
28,94,2,119.851063829787,120,118,122,113.65,126.05,4.2094554261958,2,"control"
29,546,2,133.622710622711,134,131,136,127,141,4.18347083596542,2,"control"
30,54,2,113.203703703704,113,111,116,106,119.35,4.33232531413942,2,"control"
31,198,2,105.136363636364,105,101,108,96,116.15,6.11784366220805,2,"control"
34,180,2,117.05,117,113,122,104,128,7.38432206031825,2,"control"
35,104,2,143.423076923077,142.5,139,147,132.15,156.85,7.3427757346368,2,"control"
36,18,2,120.388888888889,121,118.25,122,116,124.45,2.89297097215849,2,"control"
37,64,2,116.4375,116,114,119,111,122.7,3.77491721763537,2,"control"
38,8,2,142.125,141.5,141,142.25,140.35,145.6,2.16712449375401,2,"control"
40,12,2,94.4166666666667,94,93.5,95.5,90.1,98.8,3.08834563931546,2,"control"
1,14,3,89.7857142857143,89.5,89,92.5,82.95,95.05,4.11710449837619,2,"control"
2,6,3,127.666666666667,127,126.25,130,123,132.5,3.8815804341359,2,"control"
