"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,6,"midpoint"
2,150,-1,0,0,0,0,0,0,0,6,"midpoint"
3,150,-1,0,0,0,0,0,0,0,6,"midpoint"
4,150,-1,0,0,0,0,0,0,0,6,"midpoint"
5,150,-1,0,0,0,0,0,0,0,6,"midpoint"
6,150,-1,0,0,0,0,0,0,0,6,"midpoint"
7,150,-1,0,0,0,0,0,0,0,6,"midpoint"
8,150,-1,0,0,0,0,0,0,0,6,"midpoint"
9,150,-1,0,0,0,0,0,0,0,6,"midpoint"
10,150,-1,0,0,0,0,0,0,0,6,"midpoint"
11,150,-1,0,0,0,0,0,0,0,6,"midpoint"
12,150,-1,0,0,0,0,0,0,0,6,"midpoint"
13,150,-1,0,0,0,0,0,0,0,6,"midpoint"
14,150,-1,0,0,0,0,0,0,0,6,"midpoint"
15,150,-1,0,0,0,0,0,0,0,6,"midpoint"
16,150,-1,0,0,0,0,0,0,0,6,"midpoint"
17,150,-1,0,0,0,0,0,0,0,6,"midpoint"
18,150,-1,0,0,0,0,0,0,0,6,"midpoint"
19,150,-1,0,0,0,0,0,0,0,6,"midpoint"
20,150,-1,0,0,0,0,0,0,0,6,"midpoint"
21,150,-1,0,0,0,0,0,0,0,6,"midpoint"
22,150,-1,0,0,0,0,0,0,0,6,"midpoint"
23,150,-1,0,0,0,0,0,0,0,6,"midpoint"
24,150,-1,0,0,0,0,0,0,0,6,"midpoint"
25,150,-1,0,0,0,0,0,0,0,6,"midpoint"
1,150,0,97.6066666666667,98,95,100,92,103.55,3.63963392706499,6,"midpoint"
2,150,0,115.126666666667,116,112,118,105.45,123,5.28426392131928,6,"midpoint"
3,150,0,136.42,137,134,139,130,143,4.04051628038801,6,"midpoint"
4,150,0,105.226666666667,105,102,108.75,96,115,5.35222047211276,6,"midpoint"
5,150,0,109.693333333333,110,106,114,98,120.55,6.61597280805083,6,"midpoint"
6,150,0,113.153333333333,113,111,115,107.45,118,3.21852162207547,6,"midpoint"
7,150,0,126.433333333333,126,124,128,120,136,4.56631475317415,6,"midpoint"
