"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,13,"midscale"
2,150,-1,0,0,0,0,0,0,0,13,"midscale"
3,150,-1,0,0,0,0,0,0,0,13,"midscale"
4,150,-1,0,0,0,0,0,0,0,13,"midscale"
5,150,-1,0,0,0,0,0,0,0,13,"midscale"
6,150,-1,0,0,0,0,0,0,0,13,"midscale"
7,150,-1,0,0,0,0,0,0,0,13,"midscale"
8,150,-1,0,0,0,0,0,0,0,13,"midscale"
9,150,-1,0,0,0,0,0,0,0,13,"midscale"
10,150,-1,0,0,0,0,0,0,0,13,"midscale"
11,150,-1,0,0,0,0,0,0,0,13,"midscale"
12,150,-1,0,0,0,0,0,0,0,13,"midscale"
13,150,-1,0,0,0,0,0,0,0,13,"midscale"
14,150,-1,0,0,0,0,0,0,0,13,"midscale"
15,150,-1,0,0,0,0,0,0,0,13,"midscale"
16,150,-1,0,0,0,0,0,0,0,13,"midscale"
17,150,-1,0,0,0,0,0,0,0,13,"midscale"
18,150,-1,0,0,0,0,0,0,0,13,"midscale"
19,150,-1,0,0,0,0,0,0,0,13,"midscale"
20,150,-1,0,0,0,0,0,0,0,13,"midscale"
1,72,0,150.916666666667,151,147,154,143.1,159,4.83458782489466,13,"midscale"
2,61,0,105.754098360656,105,104,107,102,111,2.83228846050279,13,"midscale"
3,75,0,127.066666666667,126,124,129.5,120.7,136,4.74009160971267,13,"midscale"
4,65,0,96.1076923076923,95,91,100,87.4,107,6.01072758938934,13,"midscale"
5,70,0,124.742857142857,124,120,130.75,115,134.55,6.48450933252809,13,"midscale"
6,63,0,143.31746031746,144,141,148,133.2,150.9,5.90741850946592,13,"midscale"
7,57,0,96.9649122807018,97,94,100,91.6,103.2,4.08378724907889,13,"midscale"
8,61,0,105.918032786885,106,104,107,102,110,3.02927429135105,13,"midscale"
9,65,0,114.830769230769,112,110,119,105,131,8.21882220646842,13,"midscale"
10,71,0,133.408450704225,133,130.5,136,127,140.5,4.39992683312131,13,"midscale"
11,72,0,92.1805555555556,92,90,95,87,97,3.59705039136191,13,"midscale"
12,68,0,120.426470588235,120,116,123,110,130.65,6.85307682608306,13,"midscale"
13,67,0,98.6567164179104,98,96,102,90,107,5.71163681577641,13,"midscale"
14,70,0,133.385714285714,133.5,130,137,125.45,143,5.38191511935732,13,"midscale"
15,71,0,119.338028169014,120,117,121,114,125.5,3.85799230530163,13,"midscale"
16,66,0,130.878787878788,131,126,134.75,122.25,141,6.75850495874563,13,"midscale"
17,58,0,93.5689655172414,94,90.25,96,86.7,102,4.84899001589286,13,"midscale"
18,76,0,149.210526315789,150,146,151.25,141.75,157.25,4.73656919291783,13,"midscale"
19,69,0,95.7246376811594,96,94,99,89,100.6,3.99957371982615,13,"midscale"
20,75,0,110.026666666667,110,108,112,104,114.3,3.35298710443725,13,"midscale"
1,6,1,150.5,151,147,153.5,146,154.75,3.88587184554509,13,"midscale"
2,60,1,105.766666666667,106,104,108,100.95,111,3.17493716295308,13,"midscale"
3,149,1,127.718120805369,128,125,130,121.4,134.6,4.03042573184298,13,"midscale"
4,100,1,96.96,96,92.75,102,86.95,108.15,7.10231147464178,13,"midscale"
5,115,1,125.408695652174,125,121,129,115,138.3,7.41134224670457,13,"midscale"
6,57,1,143.789473684211,144,141,146,136,151,4.8834152353555,13,"midscale"
7,71,1,97.3661971830986,97,95.5,99,93,102,3.17687823688475,13,"midscale"
8,118,1,106.389830508475,106.5,104,109,100.85,111,3.53259280654296,13,"midscale"
9,85,1,112.329411764706,111,107,116,102,127.6,7.80016519253357,13,"midscale"
10,44,1,133.568181818182,133,131.75,135.25,128.15,141.7,3.9260473481769,13,"midscale"
11,122,1,92.6475409836066,92,90,95,86,100,4.07151388407602,13,"midscale"
12,91,1,121.747252747253,121,118,124.5,111,133.5,7.32513694463327,13,"midscale"
13,76,1,99.7763157894737,99,95,103.25,92,109.25,6.65451963547688,13,"midscale"
14,51,1,133.607843137255,134,132,136,126.5,139.5,4.60902779931972,13,"midscale"
15,71,1,119.098591549296,118,117,122,111.5,127,4.57994051607493,13,"midscale"
16,102,1,131.970588235294,131,128,135,122.05,141.95,6.18918872521237,13,"midscale"
17,126,1,93.7777777777778,94,91,97,85,100.75,4.54116969758037,13,"midscale"
18,26,1,147.807692307692,147,146,149.75,142.25,153,4.08919777725882,13,"midscale"
19,47,1,95.6595744680851,97,92.5,99,87.6,101.7,5.04017164883982,13,"midscale"
2,56,2,106.428571428571,107,105,108,102.75,110,2.54313437858334,13,"midscale"
3,177,2,126.977401129944,127,125,129,122,133,3.66332375511249,13,"midscale"
4,93,2,97.6559139784946,98,93,101,87,110.4,7.53325182925373,13,"midscale"
5,140,2,124.707142857143,124,121,128,116.85,134.05,6.0898505357513,13,"midscale"
6,55,2,143.036363636364,142,140.5,145,136.4,153.3,4.79569110751028,13,"midscale"
7,62,2,96.8870967741936,97,95,99,92,102.95,3.72895114998921,13,"midscale"
8,148,2,106.006756756757,106,104,108,102,111,2.94737660735785,13,"midscale"
9,96,2,113.979166666667,113,109,117.25,101.75,127.25,7.91930242364774,13,"midscale"
10,31,2,133.129032258065,133,132,135,125.5,140.5,4.52210817712175,13,"midscale"
11,140,2,92.8071428571429,93,91,95,85.95,98,4.27792800745863,13,"midscale"
12,114,2,121.324561403509,122,117,125.75,110,131,6.53580419930053,13,"midscale"
13,65,2,98.4769230769231,97,95,99,92,109,5.85530660039382,13,"midscale"
14,40,2,132.3,133,127.75,136,122.95,140.1,5.45470862226812,13,"midscale"
15,74,2,119.310810810811,118,115.25,122,112,130,5.91474979073543,13,"midscale"
16,112,2,131.008928571429,131,127,135.25,121,142,7.02055609269721,13,"midscale"
17,150,2,93.32,94,91,97,83,100.55,5.6,13,"midscale"
18,14,2,150.214285714286,149,149,150,146.65,157.05,3.6411868612091,13,"midscale"
19,21,2,97.1904761904762,97,95,100,90,103,3.7764937126791,13,"midscale"
2,58,3,105.689655172414,105.5,104,107,101.7,110,2.93919010536901,13,"midscale"
3,156,3,127.878205128205,127,125,130,122,136.25,4.32747106170671,13,"midscale"
4,99,3,97.1616161616162,97,92,101,88.9,108,6.29821333704407,13,"midscale"
5,147,3,124.965986394558,125,120,129,113.3,138,7.52840735762083,13,"midscale"
6,39,3,143.282051282051,144,139.5,147.5,135,150,5.65661567942081,13,"midscale"
7,58,3,96.3793103448276,96,94.25,98.75,91,103,3.29181646760301,13,"midscale"
8,150,3,106.1,106,104,108,101.45,111,3.30699888278455,13,"midscale"
9,108,3,113.25,112,109,115.25,104,127.3,7.65265209663614,13,"midscale"
10,39,3,132.179487179487,133,128,135,123.8,141.2,5.60953978256681,13,"midscale"
11,147,3,93.108843537415,93,91,96,87,98.7,3.75833184304886,13,"midscale"
12,111,3,121.63963963964,121,118,125,113.5,130,5.19753926530761,13,"midscale"
13,56,3,98.5714285714286,98,96,100.25,93,105,3.70187737558878,13,"midscale"
14,41,3,132,133,129,136,121,141,7.32461603089199,13,"midscale"
15,87,3,119.011494252874,119,116,122,112,126.7,4.71882487557675,13,"midscale"
16,124,3,130.548387096774,131,126,135,119.15,141.7,6.9426862010562,13,"midscale"
17,166,3,93.6867469879518,94,92,96,86.25,100.5,4.41327943987063,13,"midscale"
18,4,3,148.75,147.5,145,151.25,142.6,156.65,6.80073525436772,13,"midscale"
