"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,21,"midpoint"
2,150,-1,0,0,0,0,0,0,0,21,"midpoint"
3,150,-1,0,0,0,0,0,0,0,21,"midpoint"
4,150,-1,0,0,0,0,0,0,0,21,"midpoint"
5,150,-1,0,0,0,0,0,0,0,21,"midpoint"
6,150,-1,0,0,0,0,0,0,0,21,"midpoint"
7,150,-1,0,0,0,0,0,0,0,21,"midpoint"
8,150,-1,0,0,0,0,0,0,0,21,"midpoint"
9,150,-1,0,0,0,0,0,0,0,21,"midpoint"
10,150,-1,0,0,0,0,0,0,0,21,"midpoint"
11,150,-1,0,0,0,0,0,0,0,21,"midpoint"
12,150,-1,0,0,0,0,0,0,0,21,"midpoint"
13,150,-1,0,0,0,0,0,0,0,21,"midpoint"
14,150,-1,0,0,0,0,0,0,0,21,"midpoint"
15,150,-1,0,0,0,0,0,0,0,21,"midpoint"
16,150,-1,0,0,0,0,0,0,0,21,"midpoint"
17,150,-1,0,0,0,0,0,0,0,21,"midpoint"
18,150,-1,0,0,0,0,0,0,0,21,"midpoint"
19,150,-1,0,0,0,0,0,0,0,21,"midpoint"
20,150,-1,0,0,0,0,0,0,0,21,"midpoint"
1,66,0,138.409090909091,138.5,135,141,130,149,5.73243745372238,21,"midpoint"
2,67,0,119.626865671642,120,117,121.5,115,125.7,3.39266508673836,21,"midpoint"
3,68,0,120.735294117647,120.5,117,124,114.35,128,4.56991344200605,21,"midpoint"
4,59,0,107,107,105,111.5,91.6,117.2,7.52696302726359,21,"midpoint"
5,78,0,92.1153846153846,94,88,96.75,79.7,102.15,7.77939464347844,21,"midpoint"
6,66,0,116.424242424242,117,113.25,119,109.25,122.75,4.82002427718306,21,"midpoint"
7,68,0,118.029411764706,118,115,120,111.35,126.65,4.56453096521393,21,"midpoint"
8,64,0,115.703125,116,115,117.25,109,121,3.45345324070188,21,"midpoint"
9,74,0,131.756756756757,132,129.25,135.75,122.65,141,6.05638078735081,21,"midpoint"
10,71,0,92.4929577464789,92,90,94.5,87,100,4.38136716900304,21,"midpoint"
11,71,0,96.9154929577465,96,94,99,92,103,3.81255999062212,21,"midpoint"
12,57,0,90.6842105263158,90,88,94,84.8,97,4.01407298823617,21,"midpoint"
13,66,0,103.439393939394,104,101,105.75,97.25,109.75,3.67582031819498,21,"midpoint"
14,60,0,144.15,144,143,146,138.95,149.05,3.12900590700972,21,"midpoint"
15,69,0,118.376811594203,118,117,121,112.4,124,3.75774278803647,21,"midpoint"
16,71,0,97.0140845070423,97,95,99,91.5,101.5,3.26668446045606,21,"midpoint"
17,64,0,127.28125,127,124.75,130,120,135.7,4.44175265707881,21,"midpoint"
18,72,0,140.236111111111,140,138,143,133.55,145.45,3.54247091117126,21,"midpoint"
19,61,0,98.7049180327869,99,95,103,87,111,7.80244462181583,21,"midpoint"
20,68,0,95.0294117647059,96,90.75,99,86,104,5.94243677902385,21,"midpoint"
1,10,1,134.8,135,133,136.75,130.35,139.1,3.19026296373477,21,"midpoint"
2,127,1,120.031496062992,120,118,122.5,115,125,3.38516138246049,21,"midpoint"
3,102,1,120.892156862745,121,118,123,116,127.95,3.90710665718201,21,"midpoint"
4,53,1,105.622641509434,106,101,109,95.2,117.4,7.39341290790021,21,"midpoint"
5,25,1,91.64,92,90,95,84,101.6,6.46065012208524,21,"midpoint"
6,80,1,116.6625,117,114,119,111,123.05,3.60710883911412,21,"midpoint"
7,90,1,118.322222222222,118,115,121,111,127,4.88940100597746,21,"midpoint"
8,120,1,116.416666666667,116,114,119,110.95,123,3.990710501668,21,"midpoint"
9,108,1,131.583333333333,132,127,136,120.7,140.65,6.02196136583329,21,"midpoint"
10,149,1,91.9530201342282,92,90,94,87,97,3.24731816682919,21,"midpoint"
11,75,1,96.9333333333333,97,95,99.5,90.7,104,4.06479058778217,21,"midpoint"
12,52,1,91.7115384615385,91.5,90,94,86,98.45,3.91245641941042,21,"midpoint"
13,116,1,103.818965517241,104,102,106.25,95.75,111.25,4.42836536321304,21,"midpoint"
14,6,1,143.166666666667,143,140.75,146,138.5,147.75,3.86867763798777,21,"midpoint"
15,89,1,117.595505617978,118,115,120,110,124.6,5.15601833060514,21,"midpoint"
16,41,1,96.4390243902439,96,95,98,93,103,3.24074667698514,21,"midpoint"
17,11,1,126.363636363636,126,125,128,120.5,131.5,3.98177667060139,21,"midpoint"
18,109,1,140.302752293578,140,138,143,131.4,147,4.6017399832301,21,"midpoint"
19,40,1,98.8,101,95.75,104,84.8,106.15,8.30569776626957,21,"midpoint"
20,121,1,95.1322314049587,96,91,100,81,108,8.08387504929858,21,"midpoint"
1,2,2,131,131,129.5,132.5,128.3,133.7,4.24264068711928,21,"midpoint"
2,152,2,119.440789473684,120,118,121.25,113.55,125,4.01113277361528,21,"midpoint"
3,115,2,120.286956521739,120,117,123,113.7,127,4.14806067007879,21,"midpoint"
4,51,2,106.294117647059,107,102,111,91,117.5,8.39831915956296,21,"midpoint"
5,8,2,92.125,93,89,96.25,83.15,98.95,6.22064535007652,21,"midpoint"
6,86,2,115.941860465116,116,113.25,120,106.5,122.75,5.22742688060442,21,"midpoint"
7,83,2,119,119,116,123,112,127.9,4.94851542162382,21,"midpoint"
8,162,2,116.043209876543,116,114,118,110,122,3.95996857605968,21,"midpoint"
9,105,2,131.866666666667,133,128,136,121.2,140,6.05593584628825,21,"midpoint"
10,188,2,92.2021276595745,92,90,94,87.35,99,3.66535970390587,21,"midpoint"
11,43,2,96.5581395348837,96,93.5,99,90.1,104,5.05353400899474,21,"midpoint"
12,56,2,91.2321428571429,91,89,93,85.75,96.25,3.87997690447002,21,"midpoint"
13,133,2,103.142857142857,104,101,106,95,109,4.3469649062425,21,"midpoint"
15,73,2,118.698630136986,119,116,121,111.2,125.4,5.05438459685925,21,"midpoint"
16,23,2,96.7391304347826,97,95.5,99,92.2,99.9,2.41618390525879,21,"midpoint"
17,4,2,129.75,128.5,127.75,130.5,127.15,134.1,3.5939764421413,21,"midpoint"
18,118,2,141.14406779661,141.5,139,144,135,146.15,3.70786971744129,21,"midpoint"
19,32,2,97.75,99,95.75,102,91.55,104.45,7.60305541298386,21,"midpoint"
20,154,2,94.525974025974,96,90,101,77.65,107,9.02878335013277,21,"midpoint"
2,147,3,119.122448979592,119,117,121,113,125,3.41009371819891,21,"midpoint"
3,114,3,120.745614035088,120,119,123,115,127,3.94836451749166,21,"midpoint"
4,62,3,106.58064516129,107.5,102.25,111,93.15,116,6.55005540483831,21,"midpoint"
5,3,3,94.6666666666667,95,93.5,96,92.3,96.8,2.51661147842358,21,"midpoint"
6,83,3,115.096385542169,115,112,118,107,121.9,4.81262176363242,21,"midpoint"
7,105,3,118.990476190476,119,116,122,113,127,4.98554687628927,21,"midpoint"
8,155,3,115.703225806452,116,114,118,106,121.3,4.21218731707588,21,"midpoint"
9,105,3,131.742857142857,133,129,135,122.2,138,5.07639441136918,21,"midpoint"
10,194,3,91.8865979381443,92,90,94,86,98,3.65585991007154,21,"midpoint"
11,22,3,96.9090909090909,97,94.25,98.75,92,102,3.57116882172304,21,"midpoint"
12,71,3,91.5774647887324,91,89,94,87,96.5,3.01738757314993,21,"midpoint"
13,127,3,103.110236220472,104,101.5,106,96.3,109,4.19036753787626,21,"midpoint"
15,60,3,118.65,118,116,120.25,112.9,126,4.19372008312348,21,"midpoint"
16,16,3,94.875,94,93.75,96,92.75,98.5,2.55277626647277,21,"midpoint"
18,130,3,140.646153846154,141,138,143.75,133.45,148,4.43883764808653,21,"midpoint"
19,20,3,98.6,100.5,94.75,103,84.95,106.05,6.43510111154358,21,"midpoint"
20,180,3,94.6388888888889,95,91,98.25,83,106,6.77966388060308,21,"midpoint"
2,151,4,119.350993377483,120,117,122,113,125,3.75090864635347,21,"midpoint"
3,111,4,120.954954954955,121,118,124,115,127,4.18522810801685,21,"midpoint"
4,51,4,108.921568627451,109,103.5,114.5,97,122.5,7.68334077665413,21,"midpoint"
5,2,4,98.5,98.5,97.75,99.25,97.15,99.85,2.12132034355964,21,"midpoint"
6,82,4,117.341463414634,118,116,120,110.05,122,3.59773423964845,21,"midpoint"
7,90,4,119.155555555556,119,116,122,113.45,126,4.46688467241479,21,"midpoint"
8,167,4,115.538922155689,115,114,118,109.3,121.7,4.37785845070232,21,"midpoint"
9,126,4,131.642857142857,132,129,135,123.25,138,4.66555769136216,21,"midpoint"
10,208,4,91.8846153846154,91.5,89,94,86,99,4.09856270861837,21,"midpoint"
11,10,4,96,95,93,98.5,92,102.1,3.91578004149024,21,"midpoint"
12,77,4,90.5064935064935,91,89,92,85,96.2,3.19795731112425,21,"midpoint"
13,129,4,103.15503875969,103,101,105,97,108.6,3.84758368249457,21,"midpoint"
15,60,4,118.316666666667,118,116,121,112.95,124,3.38236536764229,21,"midpoint"
16,15,4,97.7333333333333,99,96,100,92.1,101.9,3.59497003100297,21,"midpoint"
18,131,4,140.549618320611,141,138,144,133,148,4.61804777344449,21,"midpoint"
19,30,4,100.666666666667,101,98,104,89.25,109,5.72552261329936,21,"midpoint"
