"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,7,"midskew"
2,150,-1,0,0,0,0,0,0,0,7,"midskew"
3,150,-1,0,0,0,0,0,0,0,7,"midskew"
4,150,-1,0,0,0,0,0,0,0,7,"midskew"
5,150,-1,0,0,0,0,0,0,0,7,"midskew"
6,150,-1,0,0,0,0,0,0,0,7,"midskew"
7,150,-1,0,0,0,0,0,0,0,7,"midskew"
8,150,-1,0,0,0,0,0,0,0,7,"midskew"
9,150,-1,0,0,0,0,0,0,0,7,"midskew"
10,150,-1,0,0,0,0,0,0,0,7,"midskew"
11,150,-1,0,0,0,0,0,0,0,7,"midskew"
12,150,-1,0,0,0,0,0,0,0,7,"midskew"
13,150,-1,0,0,0,0,0,0,0,7,"midskew"
14,150,-1,0,0,0,0,0,0,0,7,"midskew"
15,150,-1,0,0,0,0,0,0,0,7,"midskew"
16,150,-1,0,0,0,0,0,0,0,7,"midskew"
17,150,-1,0,0,0,0,0,0,0,7,"midskew"
18,150,-1,0,0,0,0,0,0,0,7,"midskew"
19,150,-1,0,0,0,0,0,0,0,7,"midskew"
20,150,-1,0,0,0,0,0,0,0,7,"midskew"
1,71,0,119.028169014085,119,117,121,115,124,3.34224830652283,7,"midskew"
2,70,0,146.014285714286,146,144,148,139.9,151,3.59747438436603,7,"midskew"
3,65,0,116.507692307692,117,113,120,108,123.8,5.6792469706684,7,"midskew"
4,61,0,96.1147540983606,96,93,99,91,103,4.65509885557667,7,"midskew"
5,71,0,141.647887323944,142,139,144.5,133.5,149.5,5.90665143606111,7,"midskew"
6,72,0,122.847222222222,121,119,126.25,113.55,136.8,7.03844517525945,7,"midskew"
7,60,0,127.016666666667,127,124,130.25,119,137,5.59203933773737,7,"midskew"
8,59,0,93.6101694915254,93,90.5,96,87.9,101.1,4.25488339786157,7,"midskew"
9,80,0,126.925,127,123,131,115.95,138.05,6.53476583795946,7,"midskew"
10,61,0,121.44262295082,122,118,124,116,129,3.98130878884459,7,"midskew"
11,67,0,125.283582089552,125,121.5,129,115.3,134,5.65901257622354,7,"midskew"
12,75,0,112.213333333333,113,110,115,105,119,4.29736982204085,7,"midskew"
13,62,0,117.693548387097,118,115,121.75,108,124,5.25603075844176,7,"midskew"
14,61,0,97.8032786885246,98,94,101,87,109,6.84548433185738,7,"midskew"
15,78,0,140.25641025641,141,138,143.75,130,148.15,5.77598228546205,7,"midskew"
16,73,0,90.3287671232877,90,88,93,83,96.8,4.19674078078767,7,"midskew"
17,64,0,141.21875,142,139,143,136,146.85,3.5744629966312,7,"midskew"
18,72,0,104.069444444444,104,101,107,96,112.45,5.45487606884406,7,"midskew"
19,71,0,116.281690140845,116,114,118,111,121,3.19456278516012,7,"midskew"
20,63,0,134.174603174603,133,129,137,123.2,149.9,7.89965226376306,7,"midskew"
1,110,1,118.890909090909,118,117,121,114,124,3.36289918211815,7,"midskew"
2,15,1,144.933333333333,146,143.5,147,139.7,148.6,3.0347197250362,7,"midskew"
3,18,1,115.166666666667,114,113,118.5,105.4,125.65,7.51664818918645,7,"midskew"
4,74,1,95.6351351351351,96,94,98,88,101.35,4.64219576152683,7,"midskew"
5,72,1,139.097222222222,140.5,134.75,144,126.1,148.45,6.97512627423124,7,"midskew"
6,64,1,123.046875,122.5,118,127,113.15,133.85,7.97899959417279,7,"midskew"
7,69,1,127.550724637681,128,125,130,118.4,136.6,5.79435889943085,7,"midskew"
8,88,1,93.9204545454545,93,91,96,87.35,102.65,5.26148790395145,7,"midskew"
9,69,1,126.492753623188,127,123,131,113,136.2,7.60344965905723,7,"midskew"
10,46,1,120.869565217391,121,119,122.75,115,127.75,3.78070361265774,7,"midskew"
11,116,1,126.112068965517,125,121,129,116,140,8.14517360609725,7,"midskew"
12,134,1,112.111940298507,113,109,115,104.65,118.35,4.62529893000416,7,"midskew"
13,98,1,116.520408163265,117.5,113.25,120,106.85,123,5.03437583399083,7,"midskew"
