"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,12,"control"
2,150,-1,0,0,0,0,0,0,0,12,"control"
3,150,-1,0,0,0,0,0,0,0,12,"control"
4,150,-1,0,0,0,0,0,0,0,12,"control"
5,150,-1,0,0,0,0,0,0,0,12,"control"
6,150,-1,0,0,0,0,0,0,0,12,"control"
7,150,-1,0,0,0,0,0,0,0,12,"control"
8,150,-1,0,0,0,0,0,0,0,12,"control"
9,150,-1,0,0,0,0,0,0,0,12,"control"
10,150,-1,0,0,0,0,0,0,0,12,"control"
11,150,-1,0,0,0,0,0,0,0,12,"control"
12,150,-1,0,0,0,0,0,0,0,12,"control"
13,150,-1,0,0,0,0,0,0,0,12,"control"
14,150,-1,0,0,0,0,0,0,0,12,"control"
15,150,-1,0,0,0,0,0,0,0,12,"control"
16,150,-1,0,0,0,0,0,0,0,12,"control"
17,150,-1,0,0,0,0,0,0,0,12,"control"
18,150,-1,0,0,0,0,0,0,0,12,"control"
19,150,-1,0,0,0,0,0,0,0,12,"control"
20,150,-1,0,0,0,0,0,0,0,12,"control"
21,150,-1,0,0,0,0,0,0,0,12,"control"
22,150,-1,0,0,0,0,0,0,0,12,"control"
23,150,-1,0,0,0,0,0,0,0,12,"control"
24,150,-1,0,0,0,0,0,0,0,12,"control"
25,150,-1,0,0,0,0,0,0,0,12,"control"
1,150,0,112.506666666667,112,110,115,107,120,4.01130393813736,12,"control"
2,150,0,126.74,127,123.25,130,119,136.55,5.4618014581075,12,"control"
3,150,0,135.073333333333,135,133,137,127.45,143,4.97523621464337,12,"control"
4,150,0,92.34,93,89,96,83,102,5.50147021228365,12,"control"
5,150,0,149.153333333333,149,146,152,143,156,4.58731350467314,12,"control"
6,150,0,96.2066666666667,96,93,99.75,88,106,5.96105556467897,12,"control"
7,150,0,127.78,128,126,130,123,133,3.03197722716386,12,"control"
8,150,0,146.626666666667,147,144,149,139,153,4.43679953982593,12,"control"
9,150,0,98.2333333333333,98,96,100,92.45,104.55,3.70636431902267,12,"control"
10,150,0,113.166666666667,113,111,116,105.45,120,4.64789288574994,12,"control"
11,150,0,100.9,101,98,103,94.45,108,4.24698866865428,12,"control"
12,150,0,147.7,148,144,151,139,155.55,5.21967110486408,12,"control"
13,150,0,144.666666666667,144.5,143,146.75,139.45,152,3.57220189773903,12,"control"
14,150,0,95.58,94,91,99,87,108,7.16279537498403,12,"control"
15,150,0,150.28,150,148.25,152,145,155,3.35609232660515,12,"control"
16,150,0,119.086666666667,119,116,122,112,126.55,4.82017107756584,12,"control"
17,150,0,99.2533333333333,99,96,102,92,108,4.91974063083821,12,"control"
18,150,0,136.34,136,135,138.75,131,141,3.29088633743343,12,"control"
19,150,0,105.846666666667,105.5,104,107,100,112,4.46423019460523,12,"control"
20,150,0,124.973333333333,125,123,128,116.45,132.55,5.19543768194126,12,"control"
21,150,0,108.653333333333,108,104,112.75,97,121,7.64917565121737,12,"control"
22,150,0,107.353333333333,106.5,103,111,96,121.55,7.64316307783969,12,"control"
23,150,0,89.9666666666667,90,87,93,81.45,98,5.3788258326337,12,"control"
24,150,0,143.8,143,141,146.75,136,151.55,4.52435615946823,12,"control"
25,150,0,144.346666666667,144,142,147,138,151,4.14661933405588,12,"control"
1,194,1,113.010309278351,113,110,115.75,107,120,4.62588984938789,12,"control"
2,300,1,126.9,127,123,131,117,135,5.69074822713282,12,"control"
3,280,1,135.210714285714,135,132,138,125.95,145,5.59139375073701,12,"control"
4,110,1,93.2454545454545,93.5,89,97,84.45,103.1,6.04142635147531,12,"control"
5,294,1,150.428571428571,150,147,153,144,159,4.67511019015621,12,"control"
6,178,1,96.4101123595506,96,92.25,100.75,85.85,106.15,6.41549228276692,12,"control"
7,282,1,128.429078014184,128,126,130.75,123.05,134,3.30053460583033,12,"control"
8,126,1,146.007936507937,146,143,148.75,140,153,4.23602838847151,12,"control"
9,164,1,97.4512195121951,98,95,100,90,103.85,4.06436689513474,12,"control"
10,220,1,112.25,113,110,116,101.95,119,5.22605432765642,12,"control"
11,192,1,101.364583333333,101,99,104,95,107,3.91030265339996,12,"control"
12,228,1,148,148,145,151,139.35,156,5.1685255525793,12,"control"
13,144,1,144.659722222222,144,142.75,147,140,150.85,3.58739673118479,12,"control"
