"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
2,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
3,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
4,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
5,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
6,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
7,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
8,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
9,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
10,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
11,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
12,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
13,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
14,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
15,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
16,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
17,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
18,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
19,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
20,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
21,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
22,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
23,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
24,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
25,150,-1,0,0,0,0,0,0,0,6,"midscaleskew"
1,150,0,97.6066666666667,98,95,100,92,103.55,3.63963392706499,6,"midscaleskew"
2,150,0,115.126666666667,116,112,118,105.45,123,5.28426392131928,6,"midscaleskew"
3,150,0,136.42,137,134,139,130,143,4.04051628038801,6,"midscaleskew"
4,150,0,105.226666666667,105,102,108.75,96,115,5.35222047211276,6,"midscaleskew"
5,150,0,109.693333333333,110,106,114,98,120.55,6.61597280805083,6,"midscaleskew"
6,150,0,113.153333333333,113,111,115,107.45,118,3.21852162207547,6,"midscaleskew"
7,150,0,126.433333333333,126,124,128,120,136,4.56631475317415,6,"midscaleskew"
8,150,0,119.826666666667,120,118,122,115,126.1,3.64856626556014,6,"midscaleskew"
9,150,0,112.293333333333,113,109,117,98.45,122.55,7.50350850076343,6,"midscaleskew"
10,150,0,106.073333333333,107,103,110,95,114.55,5.99451277796538,6,"midscaleskew"
11,150,0,108.793333333333,109,107,111,102,114,3.92256707252773,6,"midscaleskew"
12,150,0,146.66,146,144,149,140.45,154.55,4.27546457305358,6,"midscaleskew"
13,150,0,103.153333333333,103,100,106,96,110,4.63678994877736,6,"midscaleskew"
14,150,0,108.606666666667,109,106,112,100.45,115,4.56260944216138,6,"midscaleskew"
15,150,0,117.826666666667,117,115,120,112,125,4.70434137159413,6,"midscaleskew"
16,150,0,151.513333333333,151,148,154,143.45,163.55,6.01980697885238,6,"midscaleskew"
17,150,0,88.9533333333333,89,86,92,79.45,98,5.61318757216948,6,"midscaleskew"
18,150,0,142.84,142,137.25,147,132,156.55,7.47261667690776,6,"midscaleskew"
19,150,0,140.766666666667,141,136.25,145,131,152.55,7.33971148297015,6,"midscaleskew"
20,150,0,143.8,143,141,147,136,153.1,5.55388490913276,6,"midscaleskew"
21,150,0,116.053333333333,116,113,118,110,122,4.30511895503507,6,"midscaleskew"
