"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,17,"midskew"
2,150,-1,0,0,0,0,0,0,0,17,"midskew"
3,150,-1,0,0,0,0,0,0,0,17,"midskew"
4,150,-1,0,0,0,0,0,0,0,17,"midskew"
5,150,-1,0,0,0,0,0,0,0,17,"midskew"
6,150,-1,0,0,0,0,0,0,0,17,"midskew"
7,150,-1,0,0,0,0,0,0,0,17,"midskew"
8,150,-1,0,0,0,0,0,0,0,17,"midskew"
9,150,-1,0,0,0,0,0,0,0,17,"midskew"
10,150,-1,0,0,0,0,0,0,0,17,"midskew"
11,150,-1,0,0,0,0,0,0,0,17,"midskew"
12,150,-1,0,0,0,0,0,0,0,17,"midskew"
13,150,-1,0,0,0,0,0,0,0,17,"midskew"
14,150,-1,0,0,0,0,0,0,0,17,"midskew"
15,150,-1,0,0,0,0,0,0,0,17,"midskew"
16,150,-1,0,0,0,0,0,0,0,17,"midskew"
17,150,-1,0,0,0,0,0,0,0,17,"midskew"
18,150,-1,0,0,0,0,0,0,0,17,"midskew"
19,150,-1,0,0,0,0,0,0,0,17,"midskew"
20,150,-1,0,0,0,0,0,0,0,17,"midskew"
1,68,0,110.941176470588,111,106,115,101.35,120,6.06158038833226,17,"midskew"
2,62,0,90.1612903225806,90,88,93,83.05,95,3.93885041224832,17,"midskew"
3,65,0,106.338461538462,107,104,110,95,113,5.20299469980067,17,"midskew"
4,71,0,124.154929577465,125,121,127,118,130,4.32483818796873,17,"midskew"
5,74,0,105.743243243243,106,104,108,96.65,111.35,4.53920761539265,17,"midskew"
6,58,0,139.241379310345,139,137,142,131.85,147.15,4.96765094978126,17,"midskew"
7,63,0,144.31746031746,145,139.5,150,130,154.9,7.60268500284157,17,"midskew"
8,62,0,103.596774193548,103.5,100.25,107.75,96,111.9,5.08117605277785,17,"midskew"
9,67,0,145.388059701493,145,143,148,139,152,4.17770135390771,17,"midskew"
10,72,0,99.5,100,97,102,92.1,105.45,4.93050293123628,17,"midskew"
11,70,0,111.528571428571,112,107,115,104,121,5.51341296904991,17,"midskew"
12,62,0,130.983870967742,131,128,134,125,138,4.57538652128356,17,"midskew"
13,63,0,138.460317460317,139,136.5,140,133.1,143,3.387954929935,17,"midskew"
14,68,0,130.75,131.5,128,134,122.7,137,4.96066618058743,17,"midskew"
15,75,0,125.68,126,122.5,128,118.7,132.3,4.8159644427169,17,"midskew"
16,74,0,123.162162162162,122,121,125,118.65,129.7,3.47210814737125,17,"midskew"
17,71,0,94.3239436619718,94,91,98.5,87,104,5.49746603416344,17,"midskew"
18,66,0,89.2424242424242,90,87,92,79.75,94,4.63783970287429,17,"midskew"
19,79,0,111.443037974684,112,109,114,104.9,116.1,3.63652001670179,17,"midskew"
20,68,0,102.161764705882,102,99,106,95,108,4.3899828106883,17,"midskew"
1,108,1,109.231481481481,110,106,112,100,118,5.75611252752762,17,"midskew"
2,72,1,89.375,89,87,91,82.1,96,4.27385599551769,17,"midskew"
3,59,1,107.932203389831,107,105,111,102,115.1,4.23395310017377,17,"midskew"
4,103,1,125.116504854369,125,122,127,118,134,4.83106972864348,17,"midskew"
5,139,1,106.863309352518,107,104,110,98,115,5.10356715097167,17,"midskew"
6,33,1,138.69696969697,138,135,142,130,147.8,6.15672827322297,17,"midskew"
7,17,1,144.764705882353,145,140,148,137.6,151.8,5.46041907463047,17,"midskew"
8,34,1,102.735294117647,102,100,106,94.65,111.05,5.37282062105417,17,"midskew"
9,60,1,144.65,145,142.75,148.25,133,153,5.90841112600488,17,"midskew"
10,7,1,103.142857142857,103,101.5,104,100.3,106.8,2.60950643025148,17,"midskew"
11,113,1,111.088495575221,110,106,115,102,123.4,7.67714316531767,17,"midskew"
12,45,1,130.777777777778,131,129,133,123.6,136,4.02768199119819,17,"midskew"
13,5,1,134,136,135,139,121.4,141.4,9.35414346693485,17,"midskew"
14,106,1,130.396226415094,132,127,135,119.25,136.75,5.41194313362413,17,"midskew"
15,112,1,125.232142857143,125.5,123,128,118,133,4.02465855047064,17,"midskew"
16,118,1,123.025423728814,123,120,125,117,132,4.77611912764782,17,"midskew"
17,124,1,93.4435483870968,93,91,96,87,102,4.69613648392894,17,"midskew"
18,104,1,89.7403846153846,89,87,93,82.15,97.7,4.55600572872218,17,"midskew"
19,136,1,111.970588235294,112,110,114,106.75,118.25,3.55265404486945,17,"midskew"
20,53,1,102.622641509434,102,100,105,97,110,4.12882184301052,17,"midskew"
1,129,2,109.604651162791,110,107,114,100,117.6,6.03688998555336,17,"midskew"
2,58,2,89.0172413793103,90,87,91.75,81,95.3,4.65094361039022,17,"midskew"
3,60,2,107.916666666667,108,106,111,100.9,115,4.67337089050569,17,"midskew"
4,108,2,124.944444444444,125,122,127,118,133,4.75931616334523,17,"midskew"
5,150,2,105.373333333333,106,103,108,95.45,112.55,5.0375058634591,17,"midskew"
6,19,2,139.421052631579,140,136,141.5,134.9,145.3,3.77588531890476,17,"midskew"
7,6,2,142.166666666667,142,136.25,147.75,134.25,150.5,7.08284312029193,17,"midskew"
8,15,2,101.866666666667,103,98.5,105,95.8,106.6,4.25720677484774,17,"midskew"
9,43,2,144.395348837209,144,140.5,147,136,154,5.31905619485137,17,"midskew"
11,124,2,112.443548387097,111,108,116,104,124,6.99744717603352,17,"midskew"
12,31,2,130,130,127.5,133.5,123,135.5,4.00832467081531,17,"midskew"
13,1,2,145,145,145,145,145,145,NA,17,"midskew"
14,138,2,130.920289855072,131,129,134,122,137.3,4.87068033468324,17,"midskew"
15,113,2,125.663716814159,126,123,129,118.6,132,4.49327000609369,17,"midskew"
16,144,2,123.569444444444,123,121,125,118,131.85,4.39429505834884,17,"midskew"
17,151,2,93.8013245033113,94,91,96,87,101,4.20796049973487,17,"midskew"
18,119,2,90.3865546218487,91,88,93,83,96.1,4.43810396930155,17,"midskew"
19,149,2,111.41610738255,112,109,114,104,118,4.04885814924596,17,"midskew"
20,34,2,101.676470588235,102,99.25,105,93.95,108,4.80353776341597,17,"midskew"
1,145,3,109.627586206897,110,106,114,97.4,118.8,6.59012816810346,17,"midskew"
2,61,3,89.5409836065574,90,87,92,81,97,4.72078302294511,17,"midskew"
3,49,3,107.530612244898,107,105,110,99.4,115.2,4.83951633609671,17,"midskew"
4,118,3,124.627118644068,125,122,127,116.85,130.15,4.40822194162884,17,"midskew"
5,148,3,105.783783783784,107,103,109,96.35,112.65,5.18572155389828,17,"midskew"
6,12,3,138.166666666667,137.5,136.75,139.5,133,143.9,3.58870281282637,17,"midskew"
7,2,3,141,141,139,143,137.4,144.6,5.65685424949238,17,"midskew"
8,7,3,103,100,99.5,106,98.3,111.4,5.62731433871138,17,"midskew"
9,31,3,146.290322580645,145,141,149.5,136.5,162.5,7.59031641144205,17,"midskew"
11,120,3,110.483333333333,110,106,115,99.95,120.05,6.56446165825844,17,"midskew"
12,23,3,130.04347826087,130,129,133,119.8,136,4.96788102687989,17,"midskew"
14,136,3,130.316176470588,131,128,133,121.75,136,4.77292084791685,17,"midskew"
15,127,3,125.228346456693,125,122,127,118.3,133.7,4.83569560725231,17,"midskew"
16,150,3,123.273333333333,123,121,126,117.45,132,4.19475010121379,17,"midskew"
17,161,3,93.1925465838509,93,90,96,86,102,5.09474671592012,17,"midskew"
18,125,3,89.976,91,88,93,82,96,4.47116929211025,17,"midskew"
19,151,3,111.76821192053,112,110,114,104,118,4.29797426486676,17,"midskew"
20,28,3,103.178571428571,103,99.75,106.25,96.05,111.3,5.12837835482763,17,"midskew"
1,170,4,109.876470588235,111,106,114,99.45,118,6.01595801042141,17,"midskew"
2,64,4,89.84375,90,86.75,92,84,96.85,4.48354575527925,17,"midskew"
3,44,4,108.113636363636,108,105.75,110,102.15,114.7,3.8532131508163,17,"midskew"
4,107,4,124.775700934579,125,122,128,116.3,132,4.93411002319941,17,"midskew"
5,131,4,105.75572519084,106,103.5,109,96.5,112,4.69056598693006,17,"midskew"
6,6,4,140.166666666667,140,137.75,142.25,137,143.75,2.92688685580203,17,"midskew"
8,6,4,104.666666666667,106,99.75,109.25,97.25,110.75,5.95538971576728,17,"midskew"
9,31,4,148.290322580645,148,145.5,150.5,142,155,5.88893622757736,17,"midskew"
11,132,4,111.356060606061,111,107.75,115,101.55,122.45,6.00779719288215,17,"midskew"
12,17,4,130.235294117647,130,128,131,125,136.4,3.92952623996688,17,"midskew"
14,128,4,130.34375,130.5,127,134,121.35,137,4.96196160728053,17,"midskew"
15,117,4,125.017094017094,125,122,128,117,132.6,4.64791927118247,17,"midskew"
16,149,4,123.03355704698,123,121,125,117.4,129,3.42963260853024,17,"midskew"
17,182,4,93.4230769230769,93,91,96,86.05,102,5.27603938434982,17,"midskew"
18,137,4,90.5182481751825,91,88,93,84,97,4.04406280457759,17,"midskew"
19,144,4,111.180555555556,111,109,114,106,117,3.58640162450842,17,"midskew"
20,30,4,101.166666666667,102,100,104,93,105.55,4.09443131778907,17,"midskew"
1,154,5,110.409090909091,111,108,114,100,118,5.60300297210407,17,"midskew"
2,55,5,89.5090909090909,91,86.5,93,81,95.3,5.00323127911585,17,"midskew"
3,40,5,106.575,107,104,110,95.85,113.1,5.25692461523431,17,"midskew"
4,89,5,125.191011235955,125,123,128,119.4,130,3.78956823066591,17,"midskew"
5,127,5,106.023622047244,107,103.5,110,95.3,113,5.85060648996858,17,"midskew"
6,2,5,143.5,143.5,142.25,144.75,141.25,145.75,3.53553390593274,17,"midskew"
8,4,5,99.5,102,97,104.5,87.4,108.1,10.2469507659596,17,"midskew"
9,35,5,144.4,144,142.5,146.5,138.7,153,4.69166971406581,17,"midskew"
11,160,5,111.26875,111,108,114,102,123.05,6.45421404439128,17,"midskew"
12,15,5,129.866666666667,130,129,131,125.4,135,2.99682371536138,17,"midskew"
14,123,5,129.715447154472,130,126,133.5,122,137,4.78131665315719,17,"midskew"
15,139,5,125.604316546763,125,123,128,119,132,4.02459594701794,17,"midskew"
16,154,5,122.62987012987,122,120.25,125,117,128,3.41076975326991,17,"midskew"
17,184,5,94.0597826086957,94,91,97,86.15,102.7,4.94579491934075,17,"midskew"
18,149,5,89.6107382550336,90,87,92,80.4,96,4.48979535047365,17,"midskew"
19,143,5,111.804195804196,112,109,114,106,117,4.07717580598875,17,"midskew"
20,24,5,102.25,102,100,105,97.3,106,3.57831633957745,17,"midskew"
1,158,6,109.056962025316,110,106,113,98.85,118,6.07830397783431,17,"midskew"
2,59,6,90.7118644067797,91,89,94,81,96.1,4.62769342805421,17,"midskew"
3,34,6,106.941176470588,107,106,108,104,112,2.89137878896,17,"midskew"
4,88,6,124.738636363636,125,121,128,117.7,133,4.902484282699,17,"midskew"
5,120,6,105.366666666667,106,103,108,94.95,112.05,5.72761750127366,17,"midskew"
6,1,6,138,138,138,138,138,138,NA,17,"midskew"
8,3,6,102.333333333333,98,97.5,105,97.1,110.6,8.38649708360608,17,"midskew"
9,38,6,145.131578947368,146,142.25,147.75,135.85,151.15,4.5212474518241,17,"midskew"
11,171,6,111.374269005848,111,107,115,101,122.5,6.61728875687891,17,"midskew"
12,16,6,131.625,132,130.5,135,125.5,136.25,4.14527843857724,17,"midskew"
14,134,6,130.537313432836,131,127,134,121.65,138,4.92295026834826,17,"midskew"
15,146,6,125.883561643836,126,123.25,128.75,119,132.75,4.24671925945048,17,"midskew"
16,137,6,123.240875912409,123,120,125,117,131,4.41175826534523,17,"midskew"
