"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run","type"
1,0,0,0,0,0,0,0,4,103.995768665336,0.527380515541881,1.5426675779745,3.15402585449682,0.00139322053990327,0.0381499196612276,0,38,0.0729004812403582,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,13,"midscale"
2,0,0,0,0,0,0,0,15,95.8281770115718,-0.577310002036393,1.68306622677483,-1.12530607972001,0.000203898503677919,-0.00792968457331881,1,29,0.0906445108004846,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,-1,13,"midscale"
3,0,0,0,0,0,0,0,5,119.803467099555,-0.331065310584381,1.11952289193869,-7.60697577775077,0.00861241223406978,0.0114426349266432,0,39,0.0929420286603272,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,-1,13,"midscale"
4,0,0,0,0,0,0,0,6,124.384577153251,-0.340303473710082,1.33418086450547,-12.0515336385332,-0.00156898814020678,0.0173855660343543,0,27,0.0344973334926181,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,-1,13,"midscale"
5,0,0,0,0,0,0,0,14,138.103475030512,0.485175633919425,1.9595447096508,-13.0835227188996,0.0051272965723183,0.0073675270169042,1,27,0.0597244703047909,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,-1,13,"midscale"
6,0,0,0,0,0,0,0,16,127.608283250593,-0.472525499691255,1.5933407174889,-13.4388785054596,-0.00454504722380079,0.0136735928221606,1,46,0.0171558628114872,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,-1,13,"midscale"
7,0,0,0,0,0,0,0,2,111.040661106817,0.432374250143766,1.34505767887458,-5.48211397657199,0.00200180801330134,0.0282436024257913,0,27,0.0236188560491428,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,13,"midscale"
8,0,0,0,0,0,0,0,7,117.201121738181,0.304993334342726,1.41327657038346,-12.1313913401787,0.000192428396549075,0.0237933080852963,0,51,0.0959531898237765,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,13,"midscale"
9,0,0,0,0,0,0,0,3,107.955985679291,-0.356106723169796,1.67091437266208,-2.26382328259197,0.00207304552895948,0.031555038432125,0,39,0.0598559120413847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,13,"midscale"
10,0,0,0,0,0,0,0,3,95.1279572909698,-0.320237809186801,1.71955635491759,-3.26898630302891,0.00828687279834412,0.0261200395855121,0,52,0.0184344280534424,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,13,"midscale"
