"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,6,"midscale"
2,150,-1,0,0,0,0,0,0,0,6,"midscale"
3,150,-1,0,0,0,0,0,0,0,6,"midscale"
4,150,-1,0,0,0,0,0,0,0,6,"midscale"
5,150,-1,0,0,0,0,0,0,0,6,"midscale"
6,150,-1,0,0,0,0,0,0,0,6,"midscale"
7,150,-1,0,0,0,0,0,0,0,6,"midscale"
8,150,-1,0,0,0,0,0,0,0,6,"midscale"
9,150,-1,0,0,0,0,0,0,0,6,"midscale"
10,150,-1,0,0,0,0,0,0,0,6,"midscale"
11,150,-1,0,0,0,0,0,0,0,6,"midscale"
12,150,-1,0,0,0,0,0,0,0,6,"midscale"
13,150,-1,0,0,0,0,0,0,0,6,"midscale"
14,150,-1,0,0,0,0,0,0,0,6,"midscale"
15,150,-1,0,0,0,0,0,0,0,6,"midscale"
16,150,-1,0,0,0,0,0,0,0,6,"midscale"
17,150,-1,0,0,0,0,0,0,0,6,"midscale"
18,150,-1,0,0,0,0,0,0,0,6,"midscale"
19,150,-1,0,0,0,0,0,0,0,6,"midscale"
20,150,-1,0,0,0,0,0,0,0,6,"midscale"
21,150,-1,0,0,0,0,0,0,0,6,"midscale"
22,150,-1,0,0,0,0,0,0,0,6,"midscale"
23,150,-1,0,0,0,0,0,0,0,6,"midscale"
24,150,-1,0,0,0,0,0,0,0,6,"midscale"
25,150,-1,0,0,0,0,0,0,0,6,"midscale"
26,150,-1,0,0,0,0,0,0,0,6,"midscale"
27,150,-1,0,0,0,0,0,0,0,6,"midscale"
28,150,-1,0,0,0,0,0,0,0,6,"midscale"
29,150,-1,0,0,0,0,0,0,0,6,"midscale"
30,150,-1,0,0,0,0,0,0,0,6,"midscale"
1,150,0,139.26,139,138,141,133,145,3.70276515575289,6,"midscale"
2,150,0,98.2133333333333,98,96,100,92.45,104.55,4.29231663590983,6,"midscale"
3,150,0,113.1,114,111,116,106.45,118,3.83685763484484,6,"midscale"
4,150,0,121.473333333333,121,117,126,110,134,7.27660281627775,6,"midscale"
5,150,0,148.393333333333,149,146,151,142,155.55,4.04321731594804,6,"midscale"
6,150,0,96.8,97,95,99,91,103,3.74165738677394,6,"midscale"
7,150,0,108.446666666667,109,105,112,99.45,116.55,5.2232529485612,6,"midscale"
8,150,0,118.22,118,115,122,107.45,128,6.15882626314441,6,"midscale"
9,150,0,137.473333333333,138,135.25,140.75,128.45,144,5.33407013926132,6,"midscale"
10,150,0,152.34,152,148,156,142,164.55,6.76730196155943,6,"midscale"
11,150,0,144.066666666667,144,142,146,140,150,3.23501536082713,6,"midscale"
12,150,0,144.14,145,141.25,147,135.45,152,4.74734825310316,6,"midscale"
13,150,0,116.173333333333,117,114,118,110,121.55,3.76979636760977,6,"midscale"
14,150,0,108.793333333333,108,106,111,102.45,116.55,4.01556813813884,6,"midscale"
15,150,0,100.12,101,97,104,88.45,110,7.00902582054169,6,"midscale"
16,150,0,106.313333333333,106,103.25,109,101,114,4.00693470461765,6,"midscale"
17,150,0,143.026666666667,143.5,140,145,136,150,4.83825175962201,6,"midscale"
18,150,0,132.706666666667,133,130,135,127,140.55,4.05424074383214,6,"midscale"
19,150,0,129.186666666667,129,127,131.75,121.45,137.55,4.95806125059516,6,"midscale"
20,150,0,93.5866666666667,95,89.25,98.75,80.45,103,6.98818433915004,6,"midscale"
21,150,0,125.026666666667,125,122,128,117.45,132,4.85210348997267,6,"midscale"
22,150,0,102.066666666667,101,98,106,91.45,116.55,8.03404389442447,6,"midscale"
23,150,0,152.02,152,149,154,145,159,5.50103101989792,6,"midscale"
24,150,0,139.533333333333,140.5,137,143,129,148.55,5.99850839028149,6,"midscale"
25,150,0,95.0066666666667,95,93,97,89.45,100,3.3327672897468,6,"midscale"
26,150,0,113.9,114,112,117,103.9,122,5.43139024560011,6,"midscale"
27,150,0,124.626666666667,124,122,127,117.45,134,4.87776308433847,6,"midscale"
28,150,0,132.573333333333,133,130,135.75,125.45,139.55,5.22172368191681,6,"midscale"
29,150,0,119.126666666667,119,115,122,109,130.55,6.88281262418837,6,"midscale"
30,150,0,151.013333333333,150,146.25,155,141,163.55,7.10986333198836,6,"midscale"
1,212,1,139.292452830189,139.5,137,142,132,145.45,4.25595090734451,6,"midscale"
2,286,1,97.4160839160839,97,95,99,91,104,3.85140029854079,6,"midscale"
3,114,1,112.885964912281,114,111,116,100.95,119,5.41998721862749,6,"midscale"
4,276,1,121.684782608696,122,118,126,111,132,6.75373999740656,6,"midscale"
5,192,1,147.880208333333,148,146,150,141.55,154,3.9725793061693,6,"midscale"
6,24,1,97.1666666666667,98,95.75,98,93,101.85,2.80785647265214,6,"midscale"
7,300,1,109.106666666667,109,106,113,99.95,117,5.47862574212699,6,"midscale"
