"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,9,"midskew"
2,150,-1,0,0,0,0,0,0,0,9,"midskew"
3,150,-1,0,0,0,0,0,0,0,9,"midskew"
4,150,-1,0,0,0,0,0,0,0,9,"midskew"
5,150,-1,0,0,0,0,0,0,0,9,"midskew"
6,150,-1,0,0,0,0,0,0,0,9,"midskew"
7,150,-1,0,0,0,0,0,0,0,9,"midskew"
8,150,-1,0,0,0,0,0,0,0,9,"midskew"
9,150,-1,0,0,0,0,0,0,0,9,"midskew"
10,150,-1,0,0,0,0,0,0,0,9,"midskew"
11,150,-1,0,0,0,0,0,0,0,9,"midskew"
12,150,-1,0,0,0,0,0,0,0,9,"midskew"
13,150,-1,0,0,0,0,0,0,0,9,"midskew"
14,150,-1,0,0,0,0,0,0,0,9,"midskew"
15,150,-1,0,0,0,0,0,0,0,9,"midskew"
16,150,-1,0,0,0,0,0,0,0,9,"midskew"
17,150,-1,0,0,0,0,0,0,0,9,"midskew"
18,150,-1,0,0,0,0,0,0,0,9,"midskew"
19,150,-1,0,0,0,0,0,0,0,9,"midskew"
20,150,-1,0,0,0,0,0,0,0,9,"midskew"
21,150,-1,0,0,0,0,0,0,0,9,"midskew"
22,150,-1,0,0,0,0,0,0,0,9,"midskew"
23,150,-1,0,0,0,0,0,0,0,9,"midskew"
24,150,-1,0,0,0,0,0,0,0,9,"midskew"
25,150,-1,0,0,0,0,0,0,0,9,"midskew"
26,150,-1,0,0,0,0,0,0,0,9,"midskew"
27,150,-1,0,0,0,0,0,0,0,9,"midskew"
28,150,-1,0,0,0,0,0,0,0,9,"midskew"
29,150,-1,0,0,0,0,0,0,0,9,"midskew"
30,150,-1,0,0,0,0,0,0,0,9,"midskew"
1,150,0,99.8333333333333,101,97,102,91,106,4.37414101506648,9,"midskew"
2,150,0,142.053333333333,141,138.25,144.75,134.45,152.55,5.50019727122322,9,"midskew"
3,150,0,130.06,130,128,133,123.45,135.55,3.82543588778372,9,"midskew"
4,150,0,100.58,102,97,105,88.8,109,6.80235845401525,9,"midskew"
5,150,0,147.106666666667,147,144,150,139,156,5.18923339008122,9,"midskew"
6,150,0,153.006666666667,153,149,157,143,162.55,6.21806921700555,9,"midskew"
7,150,0,122.246666666667,122,119,125,114,130,4.77118963774069,9,"midskew"
8,150,0,125.74,126,123,128,120,133,4.00742599273503,9,"midskew"
9,150,0,144.806666666667,145,142.25,147,139,151,3.8455005812453,9,"midskew"
10,150,0,103.94,104,102,106,96,110,4.15509713662209,9,"midskew"
11,150,0,146.393333333333,146,143,150,139,154.55,4.97901187828633,9,"midskew"
12,150,0,128.84,129.5,127,131.75,122.45,134,3.91534581945274,9,"midskew"
13,150,0,132.18,133,129,136,119.45,142.55,7.53432414145133,9,"midskew"
14,150,0,130.42,130,128,133,124.45,136.55,4.37084606249333,9,"midskew"
15,150,0,95.8533333333333,97,93,101,83,105,7.22076300293252,9,"midskew"
16,150,0,102.48,102,100,105,96,109,4.33917692377701,9,"midskew"
17,150,0,111.28,111,108,114,105,118.55,4.25861936854827,9,"midskew"
18,150,0,116.226666666667,116,112,120,106,128,6.61820416715972,9,"midskew"
19,150,0,91.1333333333333,91.5,89,94,83,98,4.36684682928369,9,"midskew"
20,150,0,143.58,144,141,146,137,151,4.46653477383822,9,"midskew"
21,150,0,107.773333333333,107,105,111,100,116.55,4.8620523004907,9,"midskew"
22,150,0,124.693333333333,125,122,127,119,131,3.95095208416461,9,"midskew"
23,150,0,111.46,111,109,115,104,121,5.1678276822104,9,"midskew"
24,150,0,118.84,119,116,123,110,126,5.32069531712897,9,"midskew"
25,150,0,138.82,138,135,143,129.45,150,6.99479192642352,9,"midskew"
26,150,0,101.12,101,98,104,91.45,112,6.23146378787499,9,"midskew"
27,150,0,103.453333333333,103,101,106,96,112,4.55921026168906,9,"midskew"
28,150,0,128.066666666667,128.5,126,131,121,134,4.11523061838648,9,"midskew"
29,150,0,142.186666666667,142,139,145,135,150.55,5.00521428336204,9,"midskew"
30,150,0,100.84,101,99,103,94,106.55,4.03687699080938,9,"midskew"
1,38,1,101.368421052632,101,100,104.5,94.55,106,3.96894058048703,9,"midskew"
2,90,1,142.922222222222,141.5,139,146,136,154.55,5.5833375258523,9,"midskew"
3,28,1,130.035714285714,130,127,133,123.35,137,4.32462494933155,9,"midskew"
4,12,1,102.666666666667,102.5,100,104.75,93.75,111.9,5.97469410907117,9,"midskew"
5,4,1,148.25,149,146,151.25,143.6,151.85,4.11298755975102,9,"midskew"
6,296,1,153.236486486486,152,149,157,144,166,6.8086301033734,9,"midskew"
7,282,1,121.851063829787,122,118.25,125,114,129.95,4.86023324457179,9,"midskew"
8,92,1,124.228260869565,124,123,127,118,130.45,3.58293654769738,9,"midskew"
9,202,1,144.79702970297,144,142,147,138.05,152,4.26059009403182,9,"midskew"
10,20,1,103.2,104.5,101,106.25,95.7,108.2,4.89468024868245,9,"midskew"
11,18,1,146,145,143.25,148.75,141.7,153,3.62994085189212,9,"midskew"
12,298,1,128.768456375839,129,127,131,123,134,3.33586948465153,9,"midskew"
