"speciesid","active","dead","pollinated","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","seedlings","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","season","run"
1,0,0,0,0,0,0,0,1,138.200673395768,0.524580628657713,1.51581896562129,-6.34490167335355,-0.00215056909713894,0.014595598038286,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,12
2,0,0,0,0,0,0,0,1,90.773963383399,0.413220535009168,1.72969341813587,-5.7807483260825,-0.00469797164550982,0.0321614913502708,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,12
3,0,0,0,0,0,0,0,4,105.918274093419,-0.511392484023236,1.70783461071551,-4.34772746154551,0.00159393544774502,0.0225879118638113,0,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,12
4,0,0,0,0,0,0,0,4,146.677002995275,-0.45070730173029,1.24035389022902,-2.88067736501374,0.00544412070419639,0.0280030391970649,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,12
5,0,0,0,0,0,0,0,9,129.780441666953,0.44338887243066,1.41072236397304,-3.57193410894856,0.0080843444657512,-0.00869932554429397,1,31,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,-1,12
6,0,0,0,0,0,0,0,11,134.282909869216,0.305801620474085,1.50339669594541,-4.02406104285694,0.0057388540613465,0.0118224320560694,1,32,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,-1,12
7,0,0,0,0,0,0,0,19,110.765955098905,-0.507660664594732,1.65308259334415,2.97646082065005,-0.00483179248054512,0.00308429299388081,1,29,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,-1,12
8,0,0,0,0,0,0,0,5,96.3197995349765,0.512824379070662,1.29573856876232,-4.24547630095069,0.00167545307078399,0.0125435329368338,0,26,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,12
9,0,0,0,0,0,0,0,4,110.901684192941,-0.37830116415862,1.54917684663087,-14.1375287688632,0.0092619159608148,0.00895840368233621,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,12
10,0,0,0,0,0,0,0,7,106.540045836009,-0.406279287370853,1.9586615243461,-2.42798983833863,-0.00409919330035336,0.0213231795327738,1,30,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,-1,12
11,0,0,0,0,0,0,0,11,128.961159959435,-0.589288592291996,1.56406617350876,-1.32879196279612,0.00815404913737439,0.0283609363459982,1,33,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,-1,12
