"speciesid","population","season","mean.emergence","q1","q3","first","last","run"
1,150,-1,0,0,0,NA,NA,16
2,150,-1,0,0,0,NA,NA,16
3,150,-1,0,0,0,NA,NA,16
4,150,-1,0,0,0,NA,NA,16
5,150,-1,0,0,0,NA,NA,16
6,150,-1,0,0,0,NA,NA,16
7,150,-1,0,0,0,NA,NA,16
8,150,-1,0,0,0,NA,NA,16
9,150,-1,0,0,0,NA,NA,16
10,150,-1,0,0,0,NA,NA,16
11,150,-1,0,0,0,NA,NA,16
12,150,-1,0,0,0,NA,NA,16
13,150,-1,0,0,0,NA,NA,16
14,150,-1,0,0,0,NA,NA,16
15,150,-1,0,0,0,NA,NA,16
16,150,-1,0,0,0,NA,NA,16
17,150,-1,0,0,0,NA,NA,16
18,150,-1,0,0,0,NA,NA,16
19,150,-1,0,0,0,NA,NA,16
20,150,-1,0,0,0,NA,NA,16
1,77,0,113.87012987013,109,118,102.8,127,16
2,92,0,145.021739130435,143,148,136,151,16
3,87,0,114.298850574713,112,117,107.3,121,16
4,82,0,126.951219512195,124,131,116,134,16
5,91,0,97.5604395604396,95,101,88.5,105,16
6,90,0,114.822222222222,112,117,108.45,124,16
7,105,0,110.228571428571,107,113,102,120.8,16
8,95,0,115.673684210526,110,118,107,129.3,16
9,82,0,96.5365853658537,94,100,88.05,104,16
10,94,0,125.712765957447,122,129,117.65,134.35,16
11,84,0,91.6190476190476,89.75,94.25,81,99.85,16
12,74,0,111.689189189189,108.25,114,105,119,16
13,85,0,112.070588235294,109,114,103.4,123.8,16
14,95,0,133.421052631579,130,137,123.7,144,16
15,83,0,129.951807228916,128,131.5,125,136,16
16,93,0,90.3548387096774,87,94,79.6,99,16
17,78,0,105.871794871795,103,109,98,113,16
18,90,0,103.433333333333,101,107,93.45,109.55,16
19,92,0,140.913043478261,139,143,135.55,147,16
20,88,0,112.375,110,115,103.35,121,16
1,34,1,114.117647058824,110,117.75,103.3,125.05,16
2,34,1,145.676470588235,144,149,135.65,152.35,16
3,147,1,113.857142857143,111,116,108,120.7,16
4,64,1,128.921875,126.75,131,120.15,137,16
5,138,1,97.1304347826087,95,101,85,105,16
6,8,1,114.25,113.5,115,111.35,116.3,16
7,226,1,109.628318584071,106,113,101,121.75,16
8,79,1,114.544303797468,111,118,107,122.3,16
9,107,1,98.3457943925234,96,101,90,105.7,16
10,93,1,126.247311827957,123,130,114.6,135.4,16
11,177,1,91.8079096045198,89,95,81,100,16
12,158,1,111.53164556962,109,114,103,120.15,16
13,159,1,111.440251572327,107.5,115,102.9,120.1,16
14,144,1,133.194444444444,130,136,126,141,16
15,137,1,130.664233576642,128,133,125,138,16
16,189,1,91.1216931216931,89,95,83,98,16
17,49,1,107.020408163265,104,109,99,117,16
18,159,1,102.911949685535,100.5,105.5,95.9,110,16
19,126,1,139.968253968254,138,142,134,146.75,16
20,53,1,112.622641509434,110,115,104.6,119,16
1,13,2,113.769230769231,112,116,108.4,117.4,16
2,7,2,139,135,146.5,123.1,149.1,16
3,141,2,113.943262411348,111,116,108,120,16
4,42,2,128.095238095238,126,131,121.1,135.95,16
5,155,2,97.7870967741935,95,102,88,105,16
7,282,2,109.067375886525,105,113,99,120,16
8,71,2,114.323943661972,111,117,108,125,16
9,73,2,96.4931506849315,92,101,88.2,104,16
10,100,2,123.84,120.75,128,111.95,134,16
11,237,2,91.337552742616,88,95,81,100,16
12,242,2,111.801652892562,109,114,104,119,16
13,216,2,112.402777777778,109,115.25,104,123,16
14,140,2,134.785714285714,132,138,126,143,16
15,144,2,130.194444444444,128,133,123,138,16
16,264,2,91.4128787878788,89,94,83.15,99,16
17,33,2,106.363636363636,104,109,99,111.4,16
18,156,2,101.621794871795,99,105,92.5,110,16
19,123,2,139.951219512195,138,142,134,146.9,16
20,32,2,111.53125,108,115,103,120.45,16
1,11,3,111.272727272727,109,113.5,101,121.5,16
2,3,3,145,144,146,143.2,146.8,16
3,133,3,113.684210526316,111,116,108,120,16
4,30,3,127.6,125,130.75,120.35,133,16
5,163,3,98.2147239263804,95,102,87,106.9,16
7,265,3,109.720754716981,105,113,100,122,16
8,61,3,113.491803278689,110,116,105,124,16
9,74,3,97.8783783783784,96,101,87.65,106.05,16
10,95,3,126.263157894737,122,131,115,135.3,16
11,261,3,91.6513409961686,89,95,81,100,16
12,281,3,111.701067615658,109,114,105,119,16
13,214,3,112.397196261682,108.25,116,104,124.35,16
14,142,3,133.788732394366,131,136,126,143,16
15,135,3,130.481481481481,127,134,122,139.3,16
16,300,3,90.3466666666667,87,94,80,98.05,16
17,18,3,105,103,107.75,96.85,113.3,16
18,165,3,103.260606060606,100,106,96,111,16
19,124,3,139.758064516129,138,142,133.15,145,16
20,19,3,112.473684210526,110.5,115,106.6,120.4,16
1,12,4,114.166666666667,109,119.25,99.95,127.85,16
3,126,4,113.753968253968,111.25,116,108,119,16
4,31,4,127.645161290323,125,131,118.5,134,16
5,157,4,97.0191082802548,94,101,85.6,105,16
7,277,4,109.765342960289,106,113,100.8,118.2,16
8,46,4,114.891304347826,110.25,117.75,108,124.5,16
9,69,4,97.1594202898551,95,100,88,104,16
10,116,4,126.353448275862,123,130,117.75,135.25,16
11,273,4,91.3150183150183,88,95,83,99.4,16
12,283,4,111.6925795053,109,114,105,119,16
13,225,4,111.986666666667,108,116,101.2,122,16
14,150,4,133.66,131,137,124.45,143.55,16
15,127,4,130.456692913386,127,133.5,123,140,16
16,299,4,90.9799331103679,88,94,80.9,99,16
17,16,4,105.1875,103.75,110,95,112.5,16
18,152,4,102.335526315789,99.75,106,92.55,110,16
19,120,4,139.941666666667,138,142,134,146,16
20,12,4,112.333333333333,109.75,115,106.55,117.9,16
1,18,5,113.444444444444,111,115,105.85,121.6,16
3,123,5,113.894308943089,111,116,108,122.8,16
