"speciesid","population","season"
1,150,-1
2,150,-1
3,150,-1
4,150,-1
5,150,-1
6,150,-1
7,150,-1
8,150,-1
9,150,-1
10,150,-1
11,150,-1
12,150,-1
13,150,-1
14,150,-1
15,150,-1
16,150,-1
17,150,-1
18,150,-1
19,150,-1
20,150,-1
1,88,0
2,90,0
3,88,0
4,89,0
5,77,0
6,88,0
7,84,0
8,76,0
9,90,0
10,81,0
11,91,0
12,90,0
13,91,0
14,87,0
15,76,0
16,90,0
17,84,0
18,94,0
19,88,0
20,84,0
1,68,1
2,47,1
3,58,1
4,58,1
5,47,1
6,75,1
7,180,1
8,32,1
9,16,1
10,173,1
11,27,1
12,78,1
13,89,1
14,144,1
15,164,1
16,180,1
17,15,1
18,150,1
19,193,1
1,38,2
2,10,2
3,5,2
4,8,2
5,21,2
6,65,2
7,318,2
8,5,2
10,321,2
12,27,2
13,88,2
14,58,2
15,312,2
16,288,2
18,212,2
19,228,2
1,24,3
4,2,3
5,12,3
6,39,3
7,438,3
10,459,3
12,12,3
13,77,3
14,7,3
15,402,3
16,409,3
18,250,3
19,212,3
1,16,4
5,10,4
6,26,4
7,479,4
10,483,4
12,10,4
13,72,4
14,2,4
15,411,4
16,473,4
18,267,4
19,188,4
1,22,5
5,7,5
6,19,5
7,453,5
10,467,5
12,5,5
13,80,5
15,423,5
16,463,5
18,311,5
19,192,5
1,23,6
5,5,6
6,14,6
7,456,6
10,488,6
12,6,6
13,75,6
15,426,6
16,439,6
18,310,6
19,202,6
1,22,7
5,5,7
6,14,7
7,448,7
10,517,7
12,3,7
13,68,7
15,428,7
16,461,7
18,308,7
19,180,7
1,22,8
5,8,8
6,19,8
7,488,8
10,504,8
12,3,8
13,73,8
15,418,8
16,432,8
18,301,8
19,171,8
1,24,9
5,3,9
6,16,9
7,486,9
10,498,9
12,3,9
13,66,9
15,419,9
16,436,9
18,302,9
19,183,9
1,27,10
6,15,10
7,511,10
10,472,10
12,1,10
13,61,10
15,409,10
16,456,10
18,318,10
19,167,10
1,26,11
6,16,11
7,515,11
10,484,11
12,1,11
13,69,11
15,397,11
16,448,11
18,310,11
19,177,11
1,33,12
6,15,12
7,503,12
10,492,12
12,3,12
13,85,12
15,367,12
16,454,12
18,318,12
19,183,12
1,31,13
6,15,13
7,482,13
10,477,13
12,4,13
13,86,13
15,381,13
16,443,13
18,351,13
19,175,13
1,29,14
6,12,14
7,488,14
10,479,14
12,6,14
13,79,14
15,373,14
16,460,14
18,347,14
19,180,14
1,28,15
6,8,15
7,486,15
10,465,15
12,5,15
13,82,15
15,390,15
16,465,15
18,326,15
19,190,15
1,33,16
6,4,16
7,502,16
10,455,16
12,8,16
13,88,16
15,407,16
16,455,16
18,315,16
19,184,16
1,34,17
6,5,17
7,479,17
10,463,17
12,9,17
13,93,17
15,434,17
16,439,17
18,290,17
19,187,17
1,43,18
6,7,18
7,456,18
10,481,18
12,7,18
13,106,18
15,446,18
16,463,18
18,260,18
19,179,18
1,44,19
6,8,19
7,496,19
10,468,19
12,2,19
13,114,19
15,449,19
16,443,19
18,258,19
19,166,19
1,44,20
6,9,20
7,493,20
10,468,20
12,2,20
13,121,20
15,452,20
16,445,20
18,271,20
19,149,20
1,37,21
6,8,21
7,488,21
10,486,21
13,117,21
15,456,21
16,443,21
18,263,21
19,139,21
1,38,22
6,6,22
7,532,22
10,458,22
13,130,22
15,425,22
16,462,22
18,279,22
19,125,22
1,34,23
6,7,23
7,538,23
10,428,23
13,137,23
15,447,23
16,517,23
18,274,23
19,80,23
1,34,24
6,8,24
7,531,24
10,432,24
13,142,24
15,428,24
16,542,24
18,262,24
19,67,24
1,34,25
6,11,25
7,549,25
10,403,25
13,166,25
15,430,25
16,528,25
18,258,25
19,58,25
1,27,26
6,14,26
7,546,26
10,360,26
13,175,26
15,470,26
16,550,26
18,284,26
19,36,26
1,30,27
6,13,27
7,548,27
10,354,27
13,178,27
15,476,27
16,566,27
18,279,27
19,16,27
1,34,28
6,11,28
7,564,28
10,347,28
13,193,28
15,469,28
16,560,28
18,268,28
19,9,28
1,39,29
6,7,29
7,611,29
10,329,29
13,195,29
15,462,29
16,556,29
18,258,29
19,3,29
1,30,30
6,3,30
7,595,30
10,330,30
13,202,30
15,481,30
16,555,30
18,250,30
