"speciesid","population","season"
1,150,-1
2,150,-1
3,150,-1
4,150,-1
5,150,-1
6,150,-1
7,150,-1
8,150,-1
9,150,-1
10,150,-1
11,150,-1
12,150,-1
13,150,-1
14,150,-1
15,150,-1
16,150,-1
17,150,-1
18,150,-1
19,150,-1
20,150,-1
1,98,0
2,87,0
3,91,0
4,85,0
5,70,0
6,92,0
7,85,0
8,91,0
9,93,0
10,98,0
11,87,0
12,82,0
13,83,0
14,87,0
15,97,0
16,94,0
17,93,0
18,93,0
19,87,0
20,92,0
1,12,1
2,14,1
3,49,1
4,154,1
5,121,1
6,21,1
7,33,1
8,198,1
9,92,1
10,119,1
11,30,1
12,49,1
13,111,1
14,22,1
15,177,1
16,108,1
17,69,1
18,71,1
19,70,1
20,209,1
3,30,2
4,286,2
5,109,2
7,20,2
8,365,2
9,33,2
10,99,2
11,10,2
12,33,2
13,133,2
14,8,2
15,200,2
16,54,2
17,42,2
18,68,2
19,15,2
20,435,2
3,12,3
4,392,3
5,119,3
7,8,3
8,550,3
9,5,3
10,56,3
12,17,3
13,130,3
14,3,3
15,187,3
16,18,3
17,22,3
18,76,3
19,6,3
20,684,3
3,1,4
4,483,4
5,111,4
7,3,4
8,583,4
9,1,4
10,42,4
12,13,4
13,133,4
14,2,4
15,182,4
16,4,4
17,9,4
18,64,4
19,2,4
20,796,4
3,1,5
4,507,5
5,81,5
7,4,5
8,599,5
10,41,5
12,20,5
13,135,5
14,1,5
15,185,5
16,2,5
17,8,5
18,56,5
19,3,5
20,806,5
3,1,6
4,528,6
5,87,6
7,5,6
8,568,6
10,48,6
12,24,6
13,137,6
14,1,6
15,188,6
17,11,6
18,56,6
19,2,6
20,794,6
3,1,7
4,574,7
5,90,7
7,5,7
8,555,7
10,52,7
12,23,7
13,125,7
14,1,7
15,190,7
17,9,7
18,62,7
19,3,7
20,761,7
4,582,8
5,101,8
7,5,8
8,539,8
10,44,8
12,23,8
13,137,8
15,188,8
17,10,8
18,58,8
19,3,8
20,763,8
4,577,9
5,106,9
7,3,9
8,506,9
10,43,9
12,27,9
13,139,9
15,192,9
17,12,9
18,60,9
19,1,9
20,782,9
4,553,10
5,107,10
8,527,10
10,31,10
12,22,10
13,136,10
15,195,10
17,11,10
18,57,10
19,1,10
20,814,10
4,564,11
5,124,11
8,526,11
10,24,11
12,18,11
13,127,11
15,174,11
17,9,11
18,55,11
20,830,11
4,570,12
5,100,12
8,558,12
10,30,12
12,22,12
13,131,12
15,166,12
17,10,12
18,57,12
20,812,12
4,582,13
5,99,13
8,568,13
10,27,13
12,22,13
13,143,13
15,160,13
17,12,13
18,54,13
20,793,13
4,570,14
5,109,14
8,575,14
10,30,14
12,11,14
13,141,14
15,144,14
17,9,14
18,54,14
20,813,14
4,581,15
5,124,15
8,558,15
10,33,15
12,11,15
13,152,15
15,134,15
17,8,15
18,57,15
20,797,15
4,564,16
5,112,16
8,582,16
10,30,16
12,9,16
13,163,16
15,145,16
17,6,16
18,68,16
20,785,16
4,538,17
5,114,17
8,584,17
10,30,17
12,13,17
13,179,17
15,138,17
17,8,17
18,73,17
20,777,17
4,534,18
5,112,18
8,585,18
10,29,18
12,13,18
13,188,18
15,146,18
17,7,18
18,64,18
20,785,18
4,512,19
5,113,19
8,584,19
10,32,19
12,18,19
13,190,19
15,143,19
17,10,19
18,61,19
20,796,19
4,525,20
5,115,20
8,571,20
10,30,20
12,14,20
13,197,20
15,128,20
17,10,20
18,62,20
20,810,20
4,517,21
5,112,21
8,581,21
10,27,21
12,14,21
13,184,21
15,114,21
17,14,21
18,66,21
20,839,21
4,534,22
5,115,22
8,576,22
10,25,22
12,12,22
13,162,22
15,116,22
17,20,22
18,60,22
20,837,22
4,513,23
5,129,23
8,571,23
10,25,23
12,11,23
13,162,23
15,114,23
17,17,23
18,59,23
20,841,23
4,527,24
5,125,24
8,576,24
10,26,24
12,6,24
13,171,24
15,109,24
17,22,24
18,54,24
20,831,24
4,542,25
5,132,25
8,585,25
10,30,25
12,6,25
13,160,25
15,107,25
17,25,25
18,51,25
20,816,25
4,562,26
5,130,26
8,575,26
10,20,26
12,8,26
13,156,26
15,107,26
17,30,26
18,44,26
20,817,26
4,565,27
5,123,27
8,584,27
10,24,27
12,4,27
13,162,27
15,101,27
17,39,27
18,35,27
20,802,27
4,584,28
5,126,28
8,586,28
10,29,28
12,6,28
13,175,28
15,98,28
17,37,28
18,31,28
20,777,28
4,573,29
5,117,29
8,593,29
10,33,29
12,7,29
13,188,29
15,95,29
17,40,29
18,30,29
20,770,29
4,568,30
5,124,30
8,611,30
10,38,30
12,7,30
13,193,30
15,86,30
17,44,30
18,29,30
20,749,30
