"speciesid","population","season","run"
1,150,-1,1
2,150,-1,1
3,150,-1,1
4,150,-1,1
5,150,-1,1
6,150,-1,1
7,150,-1,1
8,150,-1,1
9,150,-1,1
10,150,-1,1
11,150,-1,1
12,150,-1,1
13,150,-1,1
14,150,-1,1
15,150,-1,1
16,150,-1,1
17,150,-1,1
18,150,-1,1
19,150,-1,1
20,150,-1,1
1,98,0,1
2,84,0,1
3,89,0,1
4,99,0,1
5,97,0,1
6,88,0,1
7,98,0,1
8,85,0,1
9,98,0,1
10,97,0,1
11,93,0,1
12,110,0,1
13,100,0,1
14,95,0,1
15,96,0,1
16,98,0,1
17,96,0,1
18,103,0,1
19,101,0,1
20,98,0,1
1,109,1,1
2,162,1,1
3,3,1,1
4,168,1,1
5,8,1,1
6,153,1,1
7,24,1,1
8,31,1,1
9,161,1,1
10,21,1,1
11,158,1,1
12,48,1,1
13,173,1,1
14,151,1,1
15,195,1,1
16,119,1,1
17,16,1,1
18,22,1,1
19,17,1,1
20,20,1,1
1,101,2,1
2,307,2,1
4,126,2,1
6,239,2,1
8,4,2,1
9,189,2,1
10,8,2,1
11,112,2,1
13,258,2,1
14,156,2,1
15,340,2,1
16,46,2,1
18,2,2,1
1,76,3,1
2,473,3,1
4,48,3,1
6,332,3,1
9,210,3,1
10,6,3,1
11,90,3,1
13,399,3,1
14,151,3,1
15,478,3,1
16,14,3,1
1,68,4,1
2,609,4,1
4,23,4,1
6,413,4,1
9,234,4,1
10,2,4,1
11,97,4,1
13,508,4,1
14,160,4,1
15,576,4,1
16,5,4,1
1,75,5,1
2,665,5,1
4,9,5,1
6,434,5,1
9,231,5,1
11,96,5,1
13,538,5,1
14,153,5,1
15,599,5,1
16,2,5,1
1,89,6,1
2,682,6,1
4,4,6,1
6,414,6,1
9,238,6,1
11,83,6,1
13,542,6,1
14,160,6,1
15,616,6,1
16,2,6,1
1,95,7,1
2,674,7,1
4,4,7,1
6,420,7,1
9,223,7,1
11,91,7,1
13,545,7,1
14,156,7,1
15,623,7,1
16,2,7,1
1,105,8,1
2,688,8,1
4,3,8,1
6,425,8,1
9,212,8,1
11,92,8,1
13,551,8,1
14,152,8,1
15,615,8,1
16,2,8,1
1,109,9,1
2,694,9,1
4,7,9,1
6,458,9,1
9,200,9,1
11,94,9,1
13,525,9,1
14,141,9,1
15,613,9,1
16,2,9,1
1,99,10,1
2,681,10,1
4,10,10,1
6,458,10,1
9,195,10,1
11,96,10,1
13,538,10,1
14,153,10,1
15,614,10,1
16,2,10,1
1,91,11,1
2,670,11,1
4,14,11,1
6,468,11,1
9,198,11,1
11,94,11,1
13,538,11,1
14,152,11,1
15,610,11,1
16,1,11,1
1,90,12,1
2,665,12,1
4,18,12,1
6,477,12,1
9,194,12,1
11,82,12,1
13,545,12,1
14,147,12,1
15,622,12,1
16,3,12,1
1,90,13,1
2,693,13,1
4,23,13,1
6,462,13,1
9,195,13,1
11,64,13,1
13,555,13,1
14,157,13,1
15,604,13,1
16,3,13,1
1,105,14,1
2,673,14,1
4,21,14,1
6,486,14,1
9,194,14,1
11,30,14,1
13,581,14,1
14,156,14,1
15,589,14,1
16,6,14,1
1,114,15,1
2,677,15,1
4,16,15,1
6,510,15,1
9,181,15,1
11,15,15,1
13,598,15,1
14,154,15,1
15,579,15,1
16,9,15,1
1,119,16,1
2,685,16,1
4,18,16,1
6,518,16,1
9,185,16,1
11,7,16,1
13,591,16,1
14,139,16,1
15,580,16,1
16,7,16,1
1,119,17,1
2,674,17,1
4,23,17,1
6,517,17,1
9,182,17,1
11,4,17,1
13,588,17,1
14,140,17,1
15,579,17,1
16,7,17,1
1,120,18,1
2,667,18,1
4,23,18,1
6,504,18,1
9,182,18,1
13,616,18,1
14,146,18,1
15,567,18,1
16,5,18,1
1,123,19,1
2,659,19,1
4,22,19,1
6,496,19,1
9,182,19,1
13,646,19,1
14,152,19,1
15,558,19,1
16,2,19,1
1,128,20,1
2,648,20,1
4,21,20,1
6,509,20,1
9,185,20,1
13,668,20,1
14,167,20,1
15,519,20,1
16,2,20,1
