"speciesid","population","season","mean.emergence","q1","q3","first","last","run"
1,150,-1,0,0,0,NA,NA,1
2,150,-1,0,0,0,NA,NA,1
3,150,-1,0,0,0,NA,NA,1
4,150,-1,0,0,0,NA,NA,1
5,150,-1,0,0,0,NA,NA,1
6,150,-1,0,0,0,NA,NA,1
7,150,-1,0,0,0,NA,NA,1
8,150,-1,0,0,0,NA,NA,1
9,150,-1,0,0,0,NA,NA,1
10,150,-1,0,0,0,NA,NA,1
11,150,-1,0,0,0,NA,NA,1
12,150,-1,0,0,0,NA,NA,1
13,150,-1,0,0,0,NA,NA,1
14,150,-1,0,0,0,NA,NA,1
15,150,-1,0,0,0,NA,NA,1
16,150,-1,0,0,0,NA,NA,1
17,150,-1,0,0,0,NA,NA,1
18,150,-1,0,0,0,NA,NA,1
19,150,-1,0,0,0,NA,NA,1
20,150,-1,0,0,0,NA,NA,1
21,150,-1,0,0,0,NA,NA,1
22,150,-1,0,0,0,NA,NA,1
23,150,-1,0,0,0,NA,NA,1
24,150,-1,0,0,0,NA,NA,1
25,150,-1,0,0,0,NA,NA,1
26,150,-1,0,0,0,NA,NA,1
27,150,-1,0,0,0,NA,NA,1
28,150,-1,0,0,0,NA,NA,1
29,150,-1,0,0,0,NA,NA,1
30,150,-1,0,0,0,NA,NA,1
1,150,0,128.226666666667,125.25,131,120,136,1
2,150,0,137.693333333333,135,141,130,146,1
3,150,0,124.493333333333,122,127,119,130.55,1
4,150,0,124.746666666667,121,128,116,134,1
5,150,0,135.086666666667,131.25,139,125.45,145,1
6,150,0,87.6733333333333,84,93,73.45,98.55,1
7,150,0,120.426666666667,117,124,112.45,129.55,1
8,150,0,136.94,134,139,131,145.55,1
9,150,0,130.5,129,133,122,137,1
10,150,0,117.42,115,119,112,124,1
11,150,0,139.34,137,142,133,145,1
12,150,0,116.88,114,119.75,108.45,124.55,1
13,150,0,105.84,103,108,98,113,1
14,150,0,97.3466666666667,93,101,88,112,1
15,150,0,93.4133333333333,89.5,98,80,104,1
16,150,0,109.173333333333,106,112,103,117,1
17,150,0,118.086666666667,114,123,106,129,1
18,150,0,130.46,127,133,123,139,1
19,150,0,111.426666666667,109,115,102,119,1
20,150,0,146.573333333333,144,148.75,140,154,1
21,150,0,109.58,106.25,112,101,118.55,1
22,150,0,116.433333333333,114,119.75,109,122.55,1
23,150,0,108.32,105,112,96.35,117,1
24,150,0,130.053333333333,128,132.75,124,135,1
25,150,0,105.566666666667,103,108,99,112,1
26,150,0,120.64,117,123,114,129,1
27,150,0,135.773333333333,133,138,128.45,144,1
28,150,0,94.08,91,97,85,102,1
29,150,0,142.633333333333,141,145,136.45,148,1
30,150,0,109.826666666667,108,112,103,116,1
1,136,1,128.558823529412,126,131,120.75,136,1
2,300,1,137.39,134,140,131,145,1
3,110,1,125.072727272727,123,127,120,133,1
4,2,1,124,123,125,122.2,125.8,1
5,106,1,134.839622641509,131.25,139,125,142,1
6,22,1,87.0454545454545,84,91.75,76.2,96,1
7,52,1,118.769230769231,115.75,121,112,125,1
8,182,1,136.582417582418,134,139,130,144,1
9,50,1,128.82,126.25,132,121.45,135.55,1
10,72,1,116.736111111111,113.75,120,109,123,1
11,144,1,139.270833333333,137,142,132,145.85,1
12,298,1,116.429530201342,114,119,108,124.15,1
13,182,1,106.258241758242,103,109,99,114.95,1
14,78,1,98.5512820512821,94,101,89.85,112.15,1
15,100,1,93.52,90.75,98,81.9,103.05,1
16,36,1,109.916666666667,108,112,105.75,113.5,1
17,42,1,120.380952380952,117,123,112,130.9,1
18,12,1,128.166666666667,126.75,131,119.05,133.35,1
19,264,1,111.890151515152,110,115,104.15,118.85,1
20,106,1,145.754716981132,143,148,140,151.75,1
21,70,1,110.014285714286,108,113,102.9,116.55,1
22,16,1,115.9375,113.75,119,107.75,120.75,1
23,90,1,107.222222222222,104,111,96,116,1
24,108,1,130.12037037037,127,133,124.35,136,1
25,294,1,105.962585034014,103,109,99,112,1
26,60,1,120.733333333333,117,124,114.95,128.05,1
27,300,1,135.81,133,139,127.95,144,1
28,116,1,93.7327586206897,91,97,85.75,101.25,1
29,108,1,142.62962962963,140,145,137,149.65,1
30,4,1,109.5,107,112,104.6,114.4,1
1,168,2,128.303571428571,125.75,131,119,136,1
2,600,2,137.141666666667,134,140,129,145.05,1
3,142,2,124.802816901408,122,127,119,130,1
5,112,2,135.883928571429,132,139.25,128.55,143,1
7,54,2,120.055555555556,118,123,113.3,126,1
8,302,2,136.403973509934,133,139,130,144,1
