"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run"
1,150,-1,0,0,0,0,0,0,0,4
2,150,-1,0,0,0,0,0,0,0,4
3,150,-1,0,0,0,0,0,0,0,4
4,150,-1,0,0,0,0,0,0,0,4
5,150,-1,0,0,0,0,0,0,0,4
6,150,-1,0,0,0,0,0,0,0,4
7,150,-1,0,0,0,0,0,0,0,4
8,150,-1,0,0,0,0,0,0,0,4
9,150,-1,0,0,0,0,0,0,0,4
10,150,-1,0,0,0,0,0,0,0,4
11,150,-1,0,0,0,0,0,0,0,4
12,150,-1,0,0,0,0,0,0,0,4
13,150,-1,0,0,0,0,0,0,0,4
14,150,-1,0,0,0,0,0,0,0,4
15,150,-1,0,0,0,0,0,0,0,4
16,150,-1,0,0,0,0,0,0,0,4
17,150,-1,0,0,0,0,0,0,0,4
18,150,-1,0,0,0,0,0,0,0,4
19,150,-1,0,0,0,0,0,0,0,4
20,150,-1,0,0,0,0,0,0,0,4
1,82,0,133.817073170732,134,131,136.75,128,139,3.6889158258069,4
2,60,0,126.833333333333,127,125,128,122.95,132.05,3.07072931582604,4
3,81,0,117.950617283951,118,114,122,110,126,5.16212464632515,4
4,69,0,140.086956521739,141,138,143,131,146.6,4.77351495365708,4
5,65,0,125.4,126,123,128,119,131.8,3.84788903166399,4
6,63,0,120.920634920635,121,117.5,124.5,115,127.9,4.99451824439551,4
7,65,0,144.8,145,142,148,136,154.8,5.66568618968612,4
8,64,0,95.96875,97,93,100,87.15,103.85,6.1488642647266,4
9,72,0,92.0138888888889,92,90,95,84,98.45,4.51130990488383,4
10,64,0,147.375,147,144,150,140.15,155.85,4.78257418897145,4
11,57,0,133.087719298246,134,130,136,126.8,138.2,4.09826052714697,4
12,70,0,96.4142857142857,97,94,100,87.45,104.55,5.88905360656128,4
13,69,0,110.478260869565,111,108,113,103,118,4.23086938518264,4
14,67,0,113.537313432836,114,111.5,115,109,119.7,3.11072610742619,4
15,72,0,144.569444444444,144,142,147.25,138,152.45,4.53725234497053,4
16,66,0,98.0606060606061,98,96,99.75,94,103.75,3.30444357182073,4
17,59,0,116.898305084746,117,115,120,106,123,4.60395225736292,4
18,65,0,121.015384615385,121,116,125,110,131.8,7.26182722290916,4
19,68,0,98.6764705882353,99,96,101,91.7,104,3.60530776408185,4
20,62,0,111.790322580645,113,109,115,104,117.95,4.45059250715314,4
1,121,1,134.553719008264,134,132,137,128,141,4.1209837280742,4
2,123,1,126.772357723577,127,125,128.5,123,132,2.87103399472277,4
3,146,1,118.287671232877,118,115,121.75,109.25,127,5.37678137808471,4
4,42,1,139.333333333333,140.5,136.25,143,129.1,145.95,5.39044623098178,4
5,27,1,124.444444444444,125,120.5,127,119,130,3.77576618137435,4
6,62,1,120.435483870968,121,118,123.75,114.05,126,4.56149589981158,4
7,28,1,144.25,144,142,146.5,134.05,153.3,5.80309623614204,4
8,69,1,96.9710144927536,98,93,102,85.8,107.6,6.86630951156518,4
9,52,1,92.1730769230769,93,89.75,95,85.55,99.45,4.5491699473259,4
10,25,1,147.48,147,144,149,141.4,153.8,5.63560112144215,4
11,49,1,134.081632653061,134,132,137,128.4,140.2,3.68463439329398,4
12,143,1,97.3286713286713,98,96,100,89,103,4.69308184845362,4
13,37,1,111.297297297297,111,108,114,103,120.8,5.48160998686043,4
14,48,1,113.041666666667,112,111,115.25,105.7,118.65,4.71736643682582,4
15,73,1,145.534246575342,145,142,148,138.6,153,4.74072835408707,4
16,108,1,98.462962962963,98,96,100,93,106.65,4.16802677697357,4
17,58,1,116.275862068966,117,115,119,110.8,121,4.11583635400169,4
18,125,1,121.184,120,118,124,114,130,5.57844931627003,4
19,119,1,98.5042016806723,98,96.5,100,93,103,3.47600479213024,4
20,66,1,111.530303030303,112,109,115,102.75,118.75,4.74656052630079,4
1,101,2,135.415841584158,135,133,138,128,143,4.85647470235905,4
2,198,2,126.782828282828,126,124,129,121,133.15,3.89172075531745,4
3,193,2,117.621761658031,118,114,121,107,127,5.87694497992485,4
4,34,2,138.470588235294,140,137.25,142,125.6,145.35,5.91984486957702,4
6,54,2,120.259259259259,119.5,118,123,113,126.35,4.24790818747914,4
7,14,2,145.214285714286,145.5,141.25,146.75,139.95,153.35,4.69334342739507,4
8,37,2,96,96,91,100,87.8,105.4,5.62731433871138,4
9,39,2,91.7435897435897,93,89,94.5,84.8,96.1,3.92507424480868,4
10,6,2,150.5,150,148.25,151,145.75,157,4.72228758124704,4
11,41,2,134.048780487805,135,131,137,127,140,4.09848276507414,4
12,203,2,96.9162561576355,97,94,100,88.1,104.9,5.0372750937091,4
13,5,2,110.8,112,109,113,106.6,113.8,3.27108544675922,4
14,19,2,114.210526315789,114,111,118,107.8,119.4,4.40427755922733,4
15,73,2,144.301369863014,144,142,147,138,150.4,4.17560684713694,4
16,142,2,97.5774647887324,97,95,100,92,104,3.93983825074251,4
17,34,2,115,115.5,114,117.75,104.65,122.35,5.93398021669446,4
18,182,2,121.318681318681,121.5,118,124,112,131.95,6.10022936056279,4
19,155,2,98.1290322580645,98,96.5,100,91.7,103,3.71677432662471,4
20,52,2,112.480769230769,113,110,115.25,103,119,4.65891674952823,4
1,82,3,133.975609756098,134,131,137,128,140,4.20457014657081,4
2,197,3,126.700507614213,127,124,129,121.8,132,3.36194940810325,4
3,196,3,117.540816326531,117,114,120.25,109,127,5.79065271082398,4
4,38,3,140.421052631579,140.5,137.25,143,134.55,148.15,4.94636956110165,4
6,56,3,120.517857142857,120,117,123,113.75,127.75,4.59640599294145,4
7,11,3,144.727272727273,145,138,152.5,131.5,157,9.52985738708517,4
8,19,3,95.2631578947368,95,91.5,100.5,84.4,105.3,7.263624020978,4
9,34,3,93.5882352941177,93.5,92,96.75,87.3,99.35,3.73450452726612,4
10,2,3,144,144,144,144,144,144,0,4
11,48,3,133.541666666667,133.5,131.75,136,129,137.65,2.86548301474663,4
12,229,3,96.6069868995633,98,94,100,88.4,103,4.85700291176723,4
14,1,3,112,112,112,112,112,112,NA,4
15,92,3,144.934782608696,144,142,147.25,139,152.45,4.45441958041399,4
16,159,3,97.3081761006289,97,95,99,91,102,3.48949542167721,4
17,36,3,115.416666666667,115,114,117,110.25,120.25,3.659625273557,4
18,200,3,121.415,121,117,125,114,131.05,5.67749458155779,4
19,155,3,98.0258064516129,98,96,100,93,104.3,3.59102124731383,4
20,35,3,111.142857142857,112,107,115,102.7,120.3,5.37501221417412,4
1,84,4,134.75,135,132,137,129,142,4.28467428574679,4
2,184,4,126.972826086957,127,125,129,122,132,3.02527073298248,4
3,204,4,117.578431372549,117,115,121,109,126.85,5.67152819000712,4
4,43,4,138.162790697674,139,134.5,142.5,129,146.9,5.96789119873272,4
6,57,4,120.298245614035,120,118,123,114,126.2,3.91409956932581,4
7,4,4,142.75,142.5,141.25,144,139.45,146.4,3.30403793359983,4
8,20,4,96.55,95.5,92.75,102,87.95,107.05,6.10844971287616,4
9,34,4,91.4411764705882,93,89.25,95,80.65,99,5.53879527690179,4
11,45,4,135.266666666667,135,134,137,128.4,141.6,4.12530990571397,4
12,235,4,96.9659574468085,97,94.5,100,87.7,105,5.06864319560327,4
15,88,4,145.056818181818,144.5,142,148.25,137,153,4.92555605016772,4
16,177,4,97.4237288135593,97,95,100,91,103,3.71056564159503,4
17,36,4,116.305555555556,116,113,119,109.5,122.5,4.20081246865715,4
18,204,4,120.490196078431,120,117,124,110.15,130,6.53108534804383,4
19,151,4,98.3708609271523,98,96,101,93,104,3.6744448905737,4
20,29,4,110,111,108,113,100.6,115,5.04267502706365,4
1,82,5,134.182926829268,134.5,131,136.75,126.05,142.95,4.93445444913917,4
2,209,5,126.77033492823,127,125,129,121,132,3.60620197378701,4
3,207,5,118.115942028986,118,114,121.5,109,127.7,5.61258009275537,4
4,51,5,139.196078431373,140,137,142,131.5,145,4.89905953359678,4
6,56,5,121.214285714286,120.5,119,123,116,127.5,3.74997835491589,4
7,4,5,149.5,149.5,145.5,153.5,139.5,159.5,9.46924847422786,4
8,17,5,94.6470588235294,93,92,100,85.6,102.2,5.71118613414267,4
9,39,5,92.9487179487179,93,91,95.5,86.4,98,4.3886739272138,4
11,47,5,134.042553191489,134,132,136,127,140.7,4.3686504075033,4
12,230,5,97.1260869565217,98,95,100,89,103.55,4.53869509663058,4
15,88,5,144.306818181818,143,141,147,138.35,154.65,5.0704416242979,4
16,173,5,97.7167630057804,98,96,100,92,104,3.39041174292009,4
17,37,5,116.432432432432,116,115,118,112.6,121.6,3.32114890211656,4
18,190,5,120.042105263158,120,117,124,111,129,5.52323766232953,4
19,140,5,98.2214285714286,98,96,101,91.95,105,4.22235887760197,4
20,27,5,111.333333333333,112,109,114,105.9,115,3.56262651597213,4
1,78,6,133.551282051282,134,131,136,125.85,140,4.54886152703522,4
2,243,6,126.831275720165,127,125,129,122,131,3.03565744681577,4
3,192,6,117.838541666667,118,114,121,110,126.45,5.12462221397355,4
4,43,6,139.93023255814,139,137.5,142,136,146.9,4.43146406440951,4
6,59,6,120.694915254237,121,119,122.5,114.9,126,3.44540792484089,4
7,1,6,147,147,147,147,147,147,NA,4
8,14,6,97.2857142857143,96.5,92.25,101.75,91,105.35,5.46919444818777,4
9,43,6,92.8604651162791,93,91,96,85.2,97,3.80213846688587,4
11,51,6,135.56862745098,136,133,138,128,142,4.26734063304435,4
12,231,6,97.1038961038961,97,95,100,89,104,4.84790698607971,4
15,79,6,144.037974683544,144,141,147,135.9,153,5.20464052793196,4
16,184,6,97.4130434782609,97,95,100,92,103,3.67431544172686,4
17,33,6,116.757575757576,117,114,120,112,122.4,3.48236901252494,4
18,200,6,120.395,120,116,124,111,131.05,5.82396495861676,4
19,126,6,97.8571428571429,97,95,100,93,104,3.64134982821324,4
20,19,6,113,113,111,115.5,107.6,118.3,4.02768199119819,4
1,86,7,134.197674418605,134.5,132,137,127,140.75,4.21152415456855,4
