"speciesid","population","season"
1,150,-1
2,150,-1
3,150,-1
4,150,-1
5,150,-1
6,150,-1
7,150,-1
8,150,-1
9,150,-1
10,150,-1
11,150,-1
12,150,-1
13,150,-1
14,150,-1
15,150,-1
16,150,-1
17,150,-1
18,150,-1
19,150,-1
20,150,-1
1,150,0
2,150,0
3,150,0
4,150,0
5,150,0
6,150,0
7,150,0
8,150,0
9,150,0
10,150,0
11,150,0
12,150,0
13,150,0
14,150,0
15,150,0
16,150,0
17,150,0
18,150,0
19,150,0
20,150,0
2,4,1
3,44,1
4,150,1
5,24,1
6,2,1
7,4,1
8,22,1
9,42,1
11,2,1
12,114,1
13,2,1
15,8,1
16,194,1
18,18,1
19,8,1
20,6,1
3,6,2
4,168,2
7,2,2
8,8,2
9,36,2
12,144,2
16,214,2
20,2,2
3,6,3
4,290,3
8,6,3
9,42,3
12,244,3
16,384,3
4,554,4
8,8,4
9,66,4
12,438,4
16,764,4
4,1098,5
8,14,5
9,124,5
12,858,5
16,1528,5
4,2194,6
8,28,6
9,226,6
12,1700,6
16,3056,6
4,4384,7
8,52,7
9,408,7
12,3346,7
16,6112,7
4,8752,8
8,100,8
9,758,8
12,6574,8
16,12224,8
4,17456,9
8,192,9
9,1390,9
12,12882,9
16,24448,9
4,33552,10
8,322,10
9,2516,10
12,25362,10
16,48690,10
