"speciesid","population","season","run"
1,150,-1,2
2,150,-1,2
3,150,-1,2
4,150,-1,2
5,150,-1,2
6,150,-1,2
7,150,-1,2
8,150,-1,2
9,150,-1,2
10,150,-1,2
11,150,-1,2
12,150,-1,2
13,150,-1,2
14,150,-1,2
15,150,-1,2
16,150,-1,2
17,150,-1,2
18,150,-1,2
19,150,-1,2
20,150,-1,2
21,150,-1,2
22,150,-1,2
23,150,-1,2
24,150,-1,2
25,150,-1,2
26,150,-1,2
27,150,-1,2
28,150,-1,2
29,150,-1,2
30,150,-1,2
1,150,0,2
2,150,0,2
3,150,0,2
4,150,0,2
5,150,0,2
6,150,0,2
7,150,0,2
8,150,0,2
9,150,0,2
10,150,0,2
11,150,0,2
12,150,0,2
13,150,0,2
14,150,0,2
15,150,0,2
16,150,0,2
17,150,0,2
18,150,0,2
19,150,0,2
20,150,0,2
21,150,0,2
22,150,0,2
23,150,0,2
24,150,0,2
25,150,0,2
26,150,0,2
27,150,0,2
28,150,0,2
29,150,0,2
30,150,0,2
1,10,1,2
2,12,1,2
3,54,1,2
4,28,1,2
7,2,1,2
8,202,1,2
9,4,1,2
10,52,1,2
11,2,1,2
12,16,1,2
14,88,1,2
15,8,1,2
18,284,1,2
19,18,1,2
20,12,1,2
21,22,1,2
22,20,1,2
23,2,1,2
24,2,1,2
25,198,1,2
26,162,1,2
27,182,1,2
28,36,1,2
29,126,1,2
3,24,2,2
8,232,2,2
10,8,2,2
12,6,2,2
14,32,2,2
18,486,2,2
20,8,2,2
21,8,2,2
22,4,2,2
25,182,2,2
26,156,2,2
27,134,2,2
28,8,2,2
29,114,2,2
3,26,3,2
8,362,3,2
10,2,3,2
12,2,3,2
18,688,3,2
20,2,3,2
21,6,3,2
22,2,3,2
25,128,3,2
26,198,3,2
27,74,3,2
28,10,3,2
29,176,3,2
3,42,4,2
8,698,4,2
12,2,4,2
18,992,4,2
21,4,4,2
22,2,4,2
25,148,4,2
26,348,4,2
27,64,4,2
28,16,4,2
29,344,4,2
3,82,5,2
8,1394,5,2
12,4,5,2
18,1670,5,2
21,4,5,2
22,4,5,2
25,238,5,2
26,684,5,2
27,70,5,2
28,30,5,2
29,686,5,2
3,162,6,2
8,2788,6,2
12,8,6,2
18,3050,6,2
21,8,6,2
22,8,6,2
25,434,6,2
26,1368,6,2
27,70,6,2
28,60,6,2
29,1372,6,2
3,324,7,2
8,5576,7,2
12,10,7,2
18,5524,7,2
21,6,7,2
22,14,7,2
25,792,7,2
26,2736,7,2
27,76,7,2
28,120,7,2
29,2744,7,2
3,644,8,2
8,11146,8,2
12,12,8,2
18,9530,8,2
21,10,8,2
22,24,8,2
25,1368,8,2
26,5460,8,2
27,78,8,2
28,234,8,2
29,5486,8,2
3,1144,9,2
8,21122,9,2
12,8,9,2
18,13398,9,2
21,12,9,2
22,28,9,2
25,1890,9,2
26,10578,9,2
27,62,9,2
28,462,9,2
29,10326,9,2
3,1352,10,2
8,29528,10,2
12,4,10,2
18,15008,10,2
21,12,10,2
22,10,10,2
25,1646,10,2
26,16856,10,2
27,36,10,2
28,902,10,2
29,13310,10,2
3,1068,11,2
8,33588,11,2
12,2,11,2
18,15656,11,2
21,14,11,2
22,4,11,2
25,926,11,2
26,20620,11,2
27,12,11,2
28,1722,11,2
29,12508,11,2
3,776,12,2
8,35762,12,2
12,2,12,2
18,16100,12,2
21,18,12,2
22,2,12,2
25,444,12,2
26,23002,12,2
27,2,12,2
28,3254,12,2
29,10990,12,2
3,518,13,2
8,36800,13,2
18,16128,13,2
21,16,13,2
25,182,13,2
26,24588,13,2
28,5984,13,2
29,9428,13,2
3,398,14,2
8,37592,14,2
18,15944,14,2
21,18,14,2
25,90,14,2
26,25410,14,2
28,10208,14,2
29,8360,14,2
3,314,15,2
8,38622,15,2
18,16288,15,2
21,8,15,2
25,32,15,2
26,26122,15,2
28,14270,15,2
29,7626,15,2
3,230,16,2
8,39204,16,2
18,16370,16,2
21,2,16,2
25,14,16,2
26,26658,16,2
28,16352,16,2
29,6928,16,2
3,174,17,2
8,39298,17,2
18,15826,17,2
25,6,17,2
26,26844,17,2
28,16732,17,2
29,6242,17,2
3,146,18,2
8,39704,18,2
18,15876,18,2
25,4,18,2
26,27596,18,2
28,16810,18,2
29,5890,18,2
3,120,19,2
8,39950,19,2
18,15726,19,2
25,2,19,2
26,27372,19,2
28,16812,19,2
29,5272,19,2
3,98,20,2
8,40360,20,2
18,15858,20,2
26,28180,20,2
28,16876,20,2
29,4958,20,2
