"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,6,"midpoint"
2,150,-1,0,0,0,0,0,0,0,6,"midpoint"
3,150,-1,0,0,0,0,0,0,0,6,"midpoint"
4,150,-1,0,0,0,0,0,0,0,6,"midpoint"
5,150,-1,0,0,0,0,0,0,0,6,"midpoint"
6,150,-1,0,0,0,0,0,0,0,6,"midpoint"
7,150,-1,0,0,0,0,0,0,0,6,"midpoint"
8,150,-1,0,0,0,0,0,0,0,6,"midpoint"
9,150,-1,0,0,0,0,0,0,0,6,"midpoint"
10,150,-1,0,0,0,0,0,0,0,6,"midpoint"
11,150,-1,0,0,0,0,0,0,0,6,"midpoint"
12,150,-1,0,0,0,0,0,0,0,6,"midpoint"
13,150,-1,0,0,0,0,0,0,0,6,"midpoint"
14,150,-1,0,0,0,0,0,0,0,6,"midpoint"
15,150,-1,0,0,0,0,0,0,0,6,"midpoint"
16,150,-1,0,0,0,0,0,0,0,6,"midpoint"
17,150,-1,0,0,0,0,0,0,0,6,"midpoint"
18,150,-1,0,0,0,0,0,0,0,6,"midpoint"
19,150,-1,0,0,0,0,0,0,0,6,"midpoint"
20,150,-1,0,0,0,0,0,0,0,6,"midpoint"
1,82,0,121.90243902439,122,119.25,124,114.05,128,4.64707463031237,6,"midpoint"
2,63,0,95.1111111111111,95,92.5,98.5,85.1,105.8,6.40340411261,6,"midpoint"
3,61,0,116.737704918033,117,115,119,111,122,3.86394288839894,6,"midpoint"
4,73,0,105.835616438356,105,103,108,98,117,5.30987993856248,6,"midpoint"
5,65,0,88.9692307692308,89,87,92,82.2,93.8,4.07725869445863,6,"midpoint"
6,68,0,111.632352941176,111,107,116.25,101.7,122.65,7.01576989480534,6,"midpoint"
7,70,0,109.571428571429,110,108,112,100.45,115.55,4.58912207375959,6,"midpoint"
8,71,0,108.028169014085,107,105,110.5,101,116.5,4.69337475592964,6,"midpoint"
9,63,0,126.126984126984,126,123,129,120,134.8,4.7603607327802,6,"midpoint"
10,70,0,133.142857142857,133,130,136,124.45,142.1,5.94244304975537,6,"midpoint"
