"speciesid","population","season","mean.emergence","median.emergence","q1","q3","first","last","sd","run","type"
1,150,-1,0,0,0,0,0,0,0,19,"scale"
2,150,-1,0,0,0,0,0,0,0,19,"scale"
3,150,-1,0,0,0,0,0,0,0,19,"scale"
4,150,-1,0,0,0,0,0,0,0,19,"scale"
5,150,-1,0,0,0,0,0,0,0,19,"scale"
6,150,-1,0,0,0,0,0,0,0,19,"scale"
7,150,-1,0,0,0,0,0,0,0,19,"scale"
8,150,-1,0,0,0,0,0,0,0,19,"scale"
9,150,-1,0,0,0,0,0,0,0,19,"scale"
10,150,-1,0,0,0,0,0,0,0,19,"scale"
11,150,-1,0,0,0,0,0,0,0,19,"scale"
12,150,-1,0,0,0,0,0,0,0,19,"scale"
13,150,-1,0,0,0,0,0,0,0,19,"scale"
14,150,-1,0,0,0,0,0,0,0,19,"scale"
15,150,-1,0,0,0,0,0,0,0,19,"scale"
16,150,-1,0,0,0,0,0,0,0,19,"scale"
17,150,-1,0,0,0,0,0,0,0,19,"scale"
18,150,-1,0,0,0,0,0,0,0,19,"scale"
19,150,-1,0,0,0,0,0,0,0,19,"scale"
20,150,-1,0,0,0,0,0,0,0,19,"scale"
21,150,-1,0,0,0,0,0,0,0,19,"scale"
22,150,-1,0,0,0,0,0,0,0,19,"scale"
23,150,-1,0,0,0,0,0,0,0,19,"scale"
24,150,-1,0,0,0,0,0,0,0,19,"scale"
25,150,-1,0,0,0,0,0,0,0,19,"scale"
26,150,-1,0,0,0,0,0,0,0,19,"scale"
27,150,-1,0,0,0,0,0,0,0,19,"scale"
28,150,-1,0,0,0,0,0,0,0,19,"scale"
29,150,-1,0,0,0,0,0,0,0,19,"scale"
30,150,-1,0,0,0,0,0,0,0,19,"scale"
1,150,0,118.453333333333,119,116,121,110.45,125,4.41867098162421,19,"scale"
2,150,0,118.5,119,115.25,121,108,128.55,5.75652533153616,19,"scale"
3,150,0,130.486666666667,131,128,133,125,136,3.60413011904243,19,"scale"
4,150,0,141.753333333333,142,138.25,145,134.45,147,4.28347326088698,19,"scale"
5,150,0,99.9,100,97,104,90,108.55,6.01759166078699,19,"scale"
6,150,0,100.073333333333,100,98,102,95.45,105,2.97212252510736,19,"scale"
7,150,0,99.24,99,97,101,94,106,3.94539915555376,19,"scale"
8,150,0,130.78,131,128,134,123,139,5.06318466246043,19,"scale"
9,150,0,131.213333333333,132,127,135,121,140.55,6.04633858552659,19,"scale"
10,150,0,120.046666666667,120,116,124.75,110,131.55,6.78859749347475,19,"scale"
11,150,0,106.24,106,105,108,101,111.55,3.40090789299627,19,"scale"
12,150,0,150.833333333333,151,148,153,145,158,4.60728437924451,19,"scale"
13,150,0,100.466666666667,100,96,104,92,112,6.02530086877694,19,"scale"
14,150,0,97.16,96,93,101,87,108,7.14573134885906,19,"scale"
15,150,0,145.033333333333,145,142,148,139,152,4.1586275915487,19,"scale"
16,150,0,126.013333333333,126,124,128,121,132,3.47374943296757,19,"scale"
17,150,0,119.466666666667,120,117,122,113.45,126,3.92661998658078,19,"scale"
18,150,0,144.293333333333,144.5,142,147,137.45,151,4.24034104406973,19,"scale"
19,150,0,124.006666666667,124,122,126,117,130.55,4.03091520686329,19,"scale"
20,150,0,110.206666666667,110,108,112,104.45,117,3.99881973638677,19,"scale"
21,150,0,148.646666666667,149,146,151,143,154,3.51246422354737,19,"scale"
22,150,0,135.933333333333,135,132,139,127,145.55,5.99850839028149,19,"scale"
23,150,0,126.246666666667,126,123,128,119.45,133.55,4.69747421303224,19,"scale"
24,150,0,124.98,125,123,127,121,130,3.12270318278655,19,"scale"
25,150,0,136.88,137,135,139,130,143,3.76832435657758,19,"scale"
26,150,0,142.4,142,138,146,133,153.55,6.36158774660211,19,"scale"
27,150,0,146.106666666667,146,144,148,140.45,151.55,4.10131206157227,19,"scale"
28,150,0,90.7933333333333,91,89,93,85,96.55,3.98873693935369,19,"scale"
29,150,0,139.926666666667,139,136,143,132,151,6.02800696822329,19,"scale"
30,150,0,149.253333333333,149.5,147,151.75,143,155,3.78833721854744,19,"scale"
1,300,1,118.54,119,116,121,112,124,3.90631081892453,19,"scale"
2,12,1,120,121,116,123,111,128.95,6.64694051288397,19,"scale"
3,10,1,129.4,129,128,129.75,126.35,134.1,2.7968235951204,19,"scale"
4,290,1,141.675862068966,141,139,144,135,149.55,4.48663182924793,19,"scale"
5,76,1,100.157894736842,99,96,103.25,90.75,110.25,5.70392293444654,19,"scale"
6,294,1,99.9829931972789,100,98,102,95,105,3.03388990217511,19,"scale"
7,164,1,98.969512195122,99,97,101,93.15,105,3.59349067352474,19,"scale"
8,212,1,130.481132075472,131,128,133,123,137,4.71003996134318,19,"scale"
9,298,1,131.96644295302,132,128,136,122.85,142,6.07297497238818,19,"scale"
10,84,1,119.428571428571,119,116,122.25,110,129.85,7.01166964335939,19,"scale"
11,298,1,106.630872483221,107,104.25,109,101,112,3.49091942446817,19,"scale"
12,38,1,149.5,149,147.25,151.75,144.85,155,3.36717059826761,19,"scale"
13,250,1,100.48,100,97,103.75,93,110.55,5.5007849020074,19,"scale"
14,112,1,95.9017857142857,95.5,92,99,87,105.9,6.29165015296954,19,"scale"
15,300,1,144.73,144,142,147,139,152,4.14419447252261,19,"scale"
16,158,1,125.955696202532,126,123.25,128,119,132,3.6821914976805,19,"scale"
17,40,1,120.6,120.5,118,123,116,127,3.7811950356251,19,"scale"
18,298,1,144.093959731544,145,142,147,136,150,4.6758096320899,19,"scale"
19,52,1,124.211538461538,123,121,127,119,130.9,4.07929510664761,19,"scale"
20,114,1,110.166666666667,110,108,113,103.65,116,4.09168521584991,19,"scale"
21,8,1,149.125,149,147,150.5,147,152,2.10017006114131,19,"scale"
22,68,1,134.897058823529,135,132,138,125.7,144,5.15184275358654,19,"scale"
23,204,1,126.102941176471,126,123,128,120,134,4.44608547330476,19,"scale"
24,140,1,125.657142857143,126,123.75,127,120.95,132.05,3.70255876635253,19,"scale"
25,30,1,136.4,137,133,139,131,141.55,3.81105470060907,19,"scale"
26,276,1,143.054347826087,143,138,147,132,154.25,7.2804057785535,19,"scale"
27,42,1,146.357142857143,146,144,148,142.05,153.95,3.6144792059595,19,"scale"
28,206,1,91.0679611650485,91,89,93,84,97.75,4.17135910687206,19,"scale"
29,60,1,140.133333333333,139,137,142,132.95,149.15,5.2479751274042,19,"scale"
30,26,1,149.423076923077,149.5,148,151.75,145.25,153.75,2.90066305417333,19,"scale"
1,600,2,118.223333333333,119,116,121,111,124,4.27519016814987,19,"scale"
4,546,2,141.393772893773,142,139,144,134,148,4.40190509796013,19,"scale"
5,4,2,101.25,100.5,99,102.75,99,104.55,2.87228132326901,19,"scale"
6,570,2,99.9245614035088,100,98,102,95,106,3.28113212392863,19,"scale"
7,220,2,99.0318181818182,99,96,101,93,106.05,4.18017569310653,19,"scale"
8,312,2,131.38141025641,131.5,128,134,123,139.45,4.92568965562794,19,"scale"
9,586,2,131.732081911263,132,128,136,120,141,6.57305258412109,19,"scale"
10,30,2,119.2,119,115.25,122.5,112.45,127.55,5.14211817351029,19,"scale"
11,580,2,106.741379310345,107,105,109,100,112.05,3.73685534965356,19,"scale"
12,2,2,153,153,151,155,149.4,156.6,5.65685424949238,19,"scale"
13,388,2,100.219072164948,100,96,104,90,113,7.02163118963494,19,"scale"
14,8,2,96,97,95.75,98.5,87.85,100.65,5.23722936566382,19,"scale"
15,600,2,145.108333333333,145,142,148,138,153,4.7754167249624,19,"scale"
16,246,2,126.235772357724,126,124,129,119,132,4.06895925281007,19,"scale"
17,14,2,120.357142857143,119.5,118,123.5,116.3,125.7,3.65022955773686,19,"scale"
18,590,2,143.952542372881,144,142,147,136,150,4.11933022116907,19,"scale"
19,46,2,124.847826086957,125,122,129,118.25,131,4.4967513770343,19,"scale"
20,108,2,109.777777777778,110,107,113,103,116,4.35425097549882,19,"scale"
22,24,2,138.75,138.5,135,142,130.15,148.7,5.80292280178517,19,"scale"
23,202,2,126.336633663366,126,124,129,119,133.95,4.91475031928894,19,"scale"
24,182,2,124.906593406593,125,123,127,119.05,131,3.35176385321089,19,"scale"
25,16,2,136.25,136.5,134,138.25,131.75,140.25,2.86356421265527,19,"scale"
26,520,2,142.351923076923,142,138,146,132,155,7.17690017361056,19,"scale"
27,8,2,144.125,145.5,141.75,147,139.05,147,3.39905449037985,19,"scale"
28,296,2,90.5641891891892,90.5,88,93,83.75,96.25,3.82621661405172,19,"scale"
29,6,2,142,141,138.25,146,137.25,147.75,4.73286382647969,19,"scale"
30,6,2,147.333333333333,147,145.5,149.25,142.75,152.25,3.82970843102535,19,"scale"
1,1196,3,118.48745819398,119,116,121,111,124,4.03341813085805,19,"scale"
4,860,3,141.274418604651,141,139,144,134,148,4.23896735636342,19,"scale"
6,1108,3,99.8998194945848,100,98,102,95,105,3.20820424741531,19,"scale"
7,310,3,98.9903225806452,98,97,101,94,105.55,3.8199658446354,19,"scale"
8,386,3,130.955958549223,131,128,134,123,139,5.10519249171842,19,"scale"
9,1128,3,131.821808510638,132,128,135,122,141,5.80710206113105,19,"scale"
10,10,3,121.7,119,118,127,111.6,133.55,8.08359106118342,19,"scale"
11,1062,3,106.853107344633,107,105,109,101,113,3.57458364082349,19,"scale"
13,544,3,100.137867647059,100,96,104,90,111,6.30803222747148,19,"scale"
15,1176,3,144.997448979592,145,142,148,139,152,4.27053161740632,19,"scale"
16,408,3,126.007352941176,126,124,128,119,132.65,4.18754968174026,19,"scale"
17,2,3,125,125,124,126,123.2,126.8,2.82842712474619,19,"scale"
18,1144,3,144.133741258741,144,142,147,136,151,4.38506747803129,19,"scale"
19,20,3,122.25,123,120.75,124.25,115.75,126.15,3.93198757828525,19,"scale"
20,70,3,110.257142857143,110,108,112.75,103.45,118,4.80243209605998,19,"scale"
22,6,3,133.5,137,128.75,140,120.25,141.5,9.37549998666738,19,"scale"
23,176,3,125.943181818182,126,123,129,120,132.25,4.01954639813415,19,"scale"
24,280,3,125.182142857143,125,123,127,120,131,3.3417692791398,19,"scale"
25,4,3,139,140,135.75,143.25,132.75,143.85,5.59761854124889,19,"scale"
26,944,3,142.066737288136,142,138,146,131,154,7.07532533385581,19,"scale"
27,2,3,143.5,143.5,142.75,144.25,142.15,144.85,2.12132034355964,19,"scale"
28,364,3,91.1236263736264,91,89,93,85,97,3.74145005595101,19,"scale"
1,2292,4,118.480366492147,119,116,121,111,125,4.2968280044828,19,"scale"
4,1006,4,141.397614314115,142,139,144,133.25,149,4.66029639208105,19,"scale"
6,2058,4,99.9416909620991,100,98,102,95,105,3.18273500278217,19,"scale"
7,418,4,98.9186602870813,99,96,101,93,106,4.28236987263419,19,"scale"
8,458,4,130.975982532751,131,128.25,134,124,137.15,4.23870253048338,19,"scale"
9,1918,4,131.786757038582,132,128,136,121,141,6.31100518555914,19,"scale"
10,6,4,114.166666666667,113,112.25,116.75,109.75,119.5,4.07021702943058,19,"scale"
11,1638,4,106.777777777778,107,105,109,101,112,3.54817711646318,19,"scale"
13,568,4,100.31338028169,100,96,104,91,111,6.47205610657581,19,"scale"
15,2152,4,145.162639405204,145,142,147,139,153,4.51079990289014,19,"scale"
16,490,4,126.4,126,124,129,120,133,3.98350381680333,19,"scale"
18,2024,4,144.067687747036,144,142,147,136,150,4.26679037893169,19,"scale"
19,12,4,123.5,125,120.75,127.25,113.7,129.35,6.48775069580429,19,"scale"
20,22,4,110.227272727273,111,108,112.75,106.05,115,4.08168753828281,19,"scale"
23,88,4,126.352272727273,126,124,129,121,132.65,3.86864725155303,19,"scale"
24,306,4,125.098039215686,125,123,127,119,131,3.59829596443058,19,"scale"
25,2,4,141.5,141.5,137.75,145.25,134.75,148.25,10.6066017177982,19,"scale"
26,1376,4,142.279796511628,142,138,146,132,154,6.72262277513354,19,"scale"
28,418,4,91.2822966507177,91,89,93.75,85,97,3.87783747592972,19,"scale"
1,3700,5,118.458108108108,119,116,121,111,124,4.1897578084958,19,"scale"
4,762,5,141.367454068241,141,139,144,134,149,4.46671334086975,19,"scale"
6,3308,5,99.996977025393,100,98,102,95,105,3.19859593527184,19,"scale"
7,452,5,99.1637168141593,99,97,101,93,106,3.95369118160982,19,"scale"
8,408,5,130.825980392157,131,128,134,123,139,5.22671379740729,19,"scale"
9,2558,5,131.687646598905,132,128,136,121,141,6.2216719655052,19,"scale"
11,1776,5,106.70213963964,107,105,109,101,112.25,3.65015391297095,19,"scale"
13,444,5,100.743243243243,100,96,105,91,111.85,6.54981428057311,19,"scale"
15,3188,5,145.145545796738,145,142,148,139,153,4.48028371725588,19,"scale"
16,462,5,126.253246753247,126,124,129,120,132,3.86692132607034,19,"scale"
18,3012,5,144.052788844622,144,142,147,136,150,4.39832576513709,19,"scale"
19,2,5,127,127,126,128,125.2,128.8,2.82842712474619,19,"scale"
20,4,5,109.5,109.5,108.75,110.25,108.15,110.85,1.29099444873581,19,"scale"
23,38,5,126,126,123,128,119.55,133,4.78172195603894,19,"scale"
24,246,5,125.109756097561,125,123,127,119,131,3.41666777954471,19,"scale"
26,1580,5,142.176582278481,142,138,146,132,154,6.76024466133658,19,"scale"
28,454,5,90.9339207048458,91,89,93,85,96.35,3.50276384760161,19,"scale"
1,4692,6,118.47399829497,119,116,121,111,124,4.13974161331643,19,"scale"
4,472,6,141.548728813559,142,139,144,134,149,4.75356146231258,19,"scale"
6,4180,6,99.933971291866,100,98,102,95,105,3.20742498529051,19,"scale"
7,460,6,98.9260869565217,99,96,101,93,105,3.84829050028154,19,"scale"
8,336,6,130.52380952381,131,128,134,122,138,5.09427818442681,19,"scale"
9,2776,6,131.683717579251,132,128,135,121,141,6.01392690088754,19,"scale"
11,1352,6,106.697485207101,107,105,109,101,112,3.55451063505278,19,"scale"
13,366,6,99.6612021857923,100,96,103,90,110,6.60261240764474,19,"scale"
15,4048,6,144.973567193676,145,142,147,138,153,4.45325976478713,19,"scale"
16,334,6,126.392215568862,126,124,129,120,133,4.0006079719941,19,"scale"
18,3538,6,144.100056529112,145,142,147,136,151,4.40264204702801,19,"scale"
23,10,6,127.4,126.5,125.25,129,124.45,131.75,2.95145914949049,19,"scale"
24,132,6,125.621212121212,125,124,128,120,131,3.40303031332954,19,"scale"
26,1582,6,142.376738305942,142,138,146,132,154,6.73664086556399,19,"scale"
28,420,6,90.8595238095238,91,89,93,84,96.05,3.87720586372381,19,"scale"
1,5222,7,118.463040980467,119,116,121,112,124,4.05493702194147,19,"scale"
4,210,7,141.809523809524,142,139.25,144,134,150,4.40985247091327,19,"scale"
6,4592,7,99.9179006968641,100,98,102,95,105,3.30455315688817,19,"scale"
7,500,7,99.21,99,97,101,94,106,4.08304328717808,19,"scale"
8,260,7,131.503846153846,132,129,135,122,139,5.27066484704804,19,"scale"
9,2672,7,131.942739520958,132,128,136,122,141,6.02746239621129,19,"scale"
11,802,7,106.972568578554,107,105,109,101,113,3.6524061312682,19,"scale"
13,296,7,99.777027027027,100,96,103.25,89,111,6.54353964849839,19,"scale"
15,4526,7,145.155987627044,145,142,147,139,154,4.60707773381042,19,"scale"
16,236,7,126.377118644068,126,124,128,120,133,3.68518393009489,19,"scale"
18,3938,7,144.207211782631,145,142,147,137,151,4.32537788810094,19,"scale"
23,4,7,126.75,126.5,125.5,127.75,124.3,129.55,2.5,19,"scale"
24,52,7,125.288461538462,126,123,127.25,121,130.45,3.05078928046265,19,"scale"
26,1472,7,142.118885869565,142,138,146,132,154,6.8185273141197,19,"scale"
28,440,7,90.8045454545454,91,89,93,85,96.05,3.39475372716323,19,"scale"
1,5466,8,118.47420417124,119,116,121,111,125,4.18708996519119,19,"scale"
4,86,8,142.011627906977,142,139,144,135.25,151.75,5.11858019387158,19,"scale"
6,4682,8,99.9891072191371,100,98,102,95,105,3.31982594101115,19,"scale"
7,598,8,99.3612040133779,99,97,101,93,107,4.4826073586896,19,"scale"
8,222,8,130.972972972973,131,128,134,122,139,5.03195123216493,19,"scale"
9,2644,8,131.854765506808,132,128,136,122,141,6.2037613831253,19,"scale"
11,492,8,106.823170731707,107,104.75,109,100.55,113,3.93987807084862,19,"scale"
13,210,8,100.419047619048,100,97,104,90,112,6.60691381004894,19,"scale"
15,5060,8,145.063833992095,145,142,147,139,153,4.40597407561167,19,"scale"
16,160,8,126.275,126,124,129,120,133,4.03280572462629,19,"scale"
18,4138,8,144.159014016433,144,142,147,137,150,4.28530971195029,19,"scale"
23,2,8,125,125,123,127,121.4,128.6,5.65685424949238,19,"scale"
24,24,8,125.375,126,122.75,127.25,120.15,130.7,3.43653642621399,19,"scale"
26,1178,8,142.213073005093,142,138,146,132,153,6.53228819169092,19,"scale"
28,414,8,90.7753623188406,91,89,93,84,97,4.02657897552391,19,"scale"
1,5604,9,118.486973590293,119,116,121,112,125,4.0750598315984,19,"scale"
4,44,9,142.386363636364,142.5,139,145,135.45,147.85,3.9662290044646,19,"scale"
6,4740,9,99.9508438818565,100,98,102,95,105,3.31785079762061,19,"scale"
7,656,9,99.3079268292683,99,97,102,93,106,3.96815545060095,19,"scale"
8,212,9,131.688679245283,131,129,134,125,139,4.42925048498209,19,"scale"
9,2528,9,131.505933544304,132,128,135,121,141,6.21918317892897,19,"scale"
11,316,9,106.727848101266,107,104,109,101,113,3.87199753078961,19,"scale"
13,116,9,99.8275862068966,100,96,103,89.75,110,5.90545195718251,19,"scale"
15,5512,9,145.082910014514,145,142,147,139,153,4.4849212098587,19,"scale"
16,120,9,126.05,126,124.75,128,119.95,132,3.90399493731591,19,"scale"
18,4210,9,144.154394299287,144,142,147,137,150,4.19685600302893,19,"scale"
23,2,9,125.5,125.5,125.25,125.75,125.05,125.95,0.707106781186548,19,"scale"
24,12,9,125.333333333333,124,123.75,126.25,121.1,131.35,3.74974746624437,19,"scale"
26,1018,9,141.857563850688,141,138,145,132,154,6.71123353884589,19,"scale"
28,382,9,91.1178010471204,91,89,94,85,97,3.94306559424565,19,"scale"
1,5746,10,118.500522102332,119,116,121,112,125,4.13578281178607,19,"scale"
4,18,10,141.888888888889,142,140,143.75,136.7,147,3.30576837893453,19,"scale"
6,4952,10,99.9485056542811,100,98,102,95,105,3.3040823228746,19,"scale"
7,768,10,99.0546875,99,97,101,93,107,4.05176786708733,19,"scale"
8,216,10,130.856481481481,131,128,134,124.75,137.25,4.282224441467,19,"scale"
9,2528,10,131.694620253165,132,128,135,121,141,6.16949126039791,19,"scale"
11,190,10,106.836842105263,107,105,109,101,113,3.84345943794491,19,"scale"
13,56,10,100.571428571429,99.5,96,104.25,92.5,110.5,6.04485398833253,19,"scale"
15,5770,10,144.962218370884,145,142,147,139,153,4.49054328086622,19,"scale"
16,88,10,126.204545454545,126,124,129,120.35,131,3.46131026585754,19,"scale"
18,4172,10,144.200623202301,145,142,147,136,151,4.34071230979791,19,"scale"
