speciesid,population,season,hunger
1,150,-1,12
2,150,-1,12
3,150,-1,12
4,150,-1,12
5,150,-1,12
6,150,-1,12
7,150,-1,12
8,150,-1,12
9,150,-1,12
10,150,-1,12
11,150,-1,12
12,150,-1,12
13,150,-1,12
14,150,-1,12
15,150,-1,12
16,150,-1,12
17,150,-1,12
18,150,-1,12
19,150,-1,12
20,150,-1,12
1,94,0,12
2,81,0,12
3,92,0,12
4,94,0,12
5,78,0,12
6,85,0,12
7,83,0,12
8,100,0,12
9,93,0,12
10,90,0,12
11,83,0,12
12,83,0,12
13,90,0,12
14,98,0,12
15,85,0,12
16,83,0,12
17,80,0,12
18,90,0,12
19,90,0,12
20,79,0,12
1,149,1,12
2,152,1,12
3,183,1,12
4,65,1,12
5,103,1,12
6,161,1,12
7,10,1,12
8,121,1,12
9,65,1,12
10,100,1,12
11,102,1,12
12,84,1,12
13,140,1,12
14,23,1,12
15,51,1,12
16,158,1,12
17,165,1,12
18,145,1,12
19,13,1,12
20,46,1,12
1,148,2,12
2,224,2,12
3,279,2,12
4,42,2,12
5,75,2,12
6,252,2,12
8,119,2,12
9,31,2,12
10,84,2,12
11,91,2,12
12,92,2,12
13,189,2,12
14,6,2,12
15,17,2,12
16,232,2,12
17,254,2,12
18,105,2,12
19,1,2,12
20,33,2,12
1,126,3,12
2,242,3,12
3,328,3,12
4,38,3,12
5,74,3,12
6,319,3,12
8,117,3,12
9,19,3,12
10,81,3,12
11,80,3,12
12,100,3,12
13,214,3,12
15,6,3,12
16,266,3,12
17,300,3,12
18,66,3,12
20,33,3,12
1,92,4,12
2,243,4,12
3,333,4,12
4,37,4,12
5,74,4,12
6,348,4,12
8,93,4,12
9,20,4,12
10,86,4,12
11,89,4,12
12,102,4,12
13,228,4,12
15,3,4,12
16,300,4,12
17,305,4,12
18,53,4,12
20,32,4,12
1,95,5,12
2,255,5,12
3,317,5,12
4,41,5,12
5,86,5,12
6,352,5,12
8,87,5,12
9,18,5,12
10,85,5,12
11,104,5,12
12,110,5,12
13,216,5,12
15,3,5,12
16,292,5,12
17,310,5,12
18,51,5,12
20,30,5,12
1,99,6,12
2,268,6,12
3,316,6,12
4,26,6,12
5,81,6,12
6,332,6,12
8,81,6,12
9,23,6,12
10,90,6,12
11,114,6,12
12,113,6,12
13,202,6,12
15,3,6,12
16,298,6,12
17,332,6,12
18,50,6,12
20,21,6,12
1,96,7,12
2,262,7,12
3,306,7,12
4,22,7,12
5,93,7,12
6,301,7,12
8,86,7,12
9,29,7,12
10,90,7,12
11,124,7,12
12,113,7,12
13,206,7,12
15,3,7,12
16,320,7,12
17,338,7,12
18,49,7,12
20,18,7,12
1,108,8,12
2,262,8,12
3,274,8,12
4,22,8,12
5,81,8,12
6,307,8,12
8,79,8,12
9,34,8,12
10,94,8,12
11,132,8,12
12,106,8,12
13,215,8,12
15,5,8,12
16,322,8,12
17,338,8,12
18,44,8,12
20,16,8,12
1,96,9,12
2,262,9,12
3,259,9,12
4,29,9,12
5,82,9,12
6,277,9,12
8,78,9,12
9,37,9,12
10,101,9,12
11,143,9,12
12,117,9,12
13,226,9,12
15,2,9,12
16,333,9,12
17,347,9,12
18,42,9,12
20,22,9,12
1,85,10,12
2,257,10,12
3,271,10,12
4,33,10,12
5,76,10,12
6,296,10,12
8,76,10,12
9,31,10,12
10,107,10,12
11,130,10,12
12,115,10,12
13,241,10,12
15,2,10,12
16,317,10,12
17,357,10,12
18,45,10,12
20,16,10,12
1,71,11,12
2,275,11,12
3,257,11,12
4,37,11,12
5,83,11,12
6,307,11,12
8,74,11,12
9,27,11,12
10,110,11,12
11,129,11,12
12,121,11,12
13,240,11,12
15,1,11,12
16,296,11,12
17,365,11,12
18,39,11,12
20,23,11,12
1,68,12,12
2,290,12,12
3,252,12,12
4,37,12,12
5,92,12,12
6,309,12,12
8,78,12,12
9,25,12,12
10,119,12,12
11,122,12,12
12,114,12,12
13,232,12,12
15,3,12,12
16,291,12,12
17,388,12,12
18,28,12,12
20,14,12,12
1,73,13,12
2,268,13,12
3,246,13,12
4,40,13,12
5,107,13,12
6,286,13,12
8,79,13,12
9,23,13,12
10,125,13,12
11,114,13,12
12,123,13,12
13,242,13,12
15,3,13,12
16,314,13,12
17,370,13,12
18,29,13,12
20,13,13,12
1,77,14,12
2,282,14,12
3,244,14,12
4,37,14,12
5,105,14,12
6,313,14,12
8,84,14,12
9,32,14,12
10,124,14,12
11,96,14,12
12,110,14,12
13,227,14,12
15,2,14,12
16,316,14,12
17,361,14,12
18,33,14,12
20,12,14,12
1,72,15,12
2,270,15,12
3,227,15,12
4,33,15,12
5,114,15,12
6,324,15,12
8,78,15,12
9,24,15,12
10,127,15,12
11,89,15,12
12,127,15,12
13,233,15,12
16,319,15,12
17,366,15,12
18,40,15,12
20,13,15,12
1,83,16,12
2,254,16,12
3,216,16,12
4,32,16,12
5,104,16,12
6,331,16,12
8,81,16,12
9,21,16,12
10,130,16,12
11,86,16,12
12,139,16,12
13,236,16,12
16,327,16,12
17,349,16,12
18,40,16,12
20,13,16,12
1,92,17,12
2,247,17,12
3,218,17,12
4,27,17,12
5,102,17,12
6,328,17,12
8,90,17,12
9,31,17,12
10,127,17,12
11,97,17,12
12,128,17,12
13,230,17,12
16,334,17,12
17,369,17,12
18,28,17,12
20,9,17,12
1,103,18,12
2,242,18,12
3,214,18,12
4,22,18,12
5,115,18,12
6,328,18,12
8,88,18,12
9,38,18,12
10,130,18,12
11,102,18,12
12,124,18,12
13,225,18,12
16,313,18,12
17,361,18,12
18,33,18,12
20,11,18,12
1,97,19,12
2,255,19,12
3,223,19,12
4,24,19,12
5,124,19,12
6,339,19,12
8,80,19,12
9,42,19,12
10,147,19,12
11,108,19,12
12,113,19,12
13,211,19,12
16,310,19,12
17,333,19,12
18,39,19,12
20,3,19,12
1,101,20,12
2,231,20,12
3,231,20,12
4,14,20,12
5,129,20,12
6,322,20,12
8,89,20,12
9,36,20,12
10,142,20,12
11,114,20,12
12,124,20,12
13,219,20,12
16,315,20,12
17,336,20,12
18,34,20,12
20,5,20,12
1,116,21,12
2,236,21,12
3,250,21,12
4,15,21,12
5,125,21,12
6,330,21,12
8,80,21,12
9,38,21,12
10,142,21,12
11,115,21,12
12,128,21,12
13,228,21,12
16,286,21,12
17,327,21,12
18,38,21,12
20,7,21,12
1,121,22,12
2,238,22,12
3,224,22,12
4,19,22,12
5,142,22,12
6,314,22,12
8,87,22,12
9,39,22,12
10,131,22,12
11,121,22,12
12,127,22,12
13,214,22,12
16,311,22,12
17,323,22,12
18,33,22,12
20,6,22,12
1,110,23,12
2,233,23,12
3,225,23,12
4,28,23,12
5,131,23,12
6,294,23,12
8,103,23,12
9,43,23,12
10,126,23,12
11,128,23,12
12,137,23,12
13,223,23,12
16,306,23,12
17,329,23,12
18,37,23,12
20,6,23,12
1,102,24,12
2,223,24,12
3,232,24,12
4,26,24,12
5,143,24,12
6,300,24,12
8,105,24,12
9,48,24,12
10,125,24,12
11,137,24,12
12,132,24,12
13,216,24,12
16,321,24,12
17,313,24,12
18,34,24,12
20,5,24,12
1,95,25,12
2,242,25,12
3,259,25,12
4,35,25,12
5,134,25,12
6,289,25,12
8,117,25,12
9,54,25,12
10,134,25,12
11,136,25,12
12,113,25,12
13,190,25,12
16,323,25,12
17,301,25,12
18,38,25,12
20,3,25,12
1,91,26,12
2,259,26,12
3,273,26,12
4,25,26,12
5,141,26,12
6,289,26,12
8,114,26,12
9,57,26,12
10,127,26,12
11,119,26,12
12,119,26,12
13,185,26,12
16,307,26,12
17,302,26,12
18,46,26,12
20,3,26,12
1,97,27,12
2,280,27,12
3,265,27,12
4,29,27,12
5,136,27,12
6,275,27,12
8,112,27,12
9,69,27,12
10,138,27,12
11,111,27,12
12,123,27,12
13,174,27,12
16,285,27,12
17,314,27,12
18,45,27,12
20,4,27,12
1,94,28,12
2,278,28,12
3,266,28,12
4,28,28,12
5,153,28,12
6,284,28,12
8,119,28,12
9,59,28,12
10,126,28,12
11,115,28,12
12,109,28,12
13,183,28,12
16,280,28,12
17,309,28,12
18,50,28,12
20,7,28,12
1,87,29,12
2,281,29,12
3,261,29,12
4,21,29,12
5,138,29,12
6,270,29,12
8,121,29,12
9,63,29,12
10,144,29,12
11,114,29,12
12,102,29,12
13,194,29,12
16,276,29,12
17,317,29,12
18,56,29,12
20,7,29,12
1,83,30,12
2,286,30,12
3,269,30,12
4,20,30,12
5,112,30,12
6,284,30,12
8,119,30,12
9,65,30,12
10,139,30,12
11,118,30,12
12,106,30,12
13,195,30,12
16,276,30,12
17,321,30,12
18,53,30,12
20,11,30,12
1,150,-1,5
2,150,-1,5
3,150,-1,5
4,150,-1,5
5,150,-1,5
6,150,-1,5
7,150,-1,5
8,150,-1,5
9,150,-1,5
10,150,-1,5
11,150,-1,5
12,150,-1,5
13,150,-1,5
14,150,-1,5
15,150,-1,5
16,150,-1,5
17,150,-1,5
18,150,-1,5
19,150,-1,5
20,150,-1,5
1,81,0,5
2,80,0,5
3,83,0,5
4,79,0,5
5,98,0,5
6,87,0,5
7,93,0,5
8,82,0,5
9,90,0,5
10,92,0,5
11,91,0,5
12,79,0,5
13,88,0,5
14,83,0,5
15,91,0,5
16,93,0,5
17,81,0,5
18,85,0,5
19,88,0,5
20,95,0,5
1,29,1,5
2,199,1,5
4,11,1,5
5,18,1,5
6,29,1,5
7,3,1,5
8,149,1,5
9,8,1,5
10,83,1,5
11,196,1,5
13,254,1,5
15,40,1,5
16,10,1,5
17,18,1,5
19,16,1,5
20,229,1,5
2,101,2,5
10,21,2,5
11,209,2,5
13,553,2,5
15,2,2,5
20,142,2,5
2,39,3,5
10,8,3,5
11,258,3,5
13,1102,3,5
20,22,3,5
2,22,4,5
10,2,4,5
11,242,4,5
13,1782,4,5
20,4,4,5
2,16,5,5
10,1,5,5
11,223,5,5
13,2129,5,5
2,16,6,5
11,213,6,5
13,2203,6,5
2,16,7,5
11,220,7,5
13,2211,7,5
2,18,8,5
11,212,8,5
13,2213,8,5
2,21,9,5
11,217,9,5
13,2197,9,5
2,21,10,5
11,229,10,5
13,2204,10,5
2,10,11,5
11,239,11,5
13,2206,11,5
2,12,12,5
11,211,12,5
13,2232,12,5
2,8,13,5
11,229,13,5
13,2214,13,5
2,9,14,5
11,243,14,5
13,2193,14,5
2,9,15,5
11,267,15,5
13,2176,15,5
2,9,16,5
11,262,16,5
13,2177,16,5
2,8,17,5
11,273,17,5
13,2170,17,5
2,9,18,5
11,251,18,5
13,2201,18,5
2,7,19,5
11,242,19,5
13,2202,19,5
2,7,20,5
11,257,20,5
13,2165,20,5
2,11,21,5
11,262,21,5
13,2175,21,5
2,14,22,5
11,268,22,5
13,2175,22,5
2,10,23,5
11,262,23,5
13,2175,23,5
2,8,24,5
11,262,24,5
13,2186,24,5
2,11,25,5
11,257,25,5
13,2181,25,5
2,12,26,5
11,255,26,5
13,2183,26,5
2,14,27,5
11,255,27,5
13,2179,27,5
2,12,28,5
11,257,28,5
13,2185,28,5
2,12,29,5
11,275,29,5
13,2171,29,5
2,14,30,5
11,260,30,5
13,2176,30,5
1,150,-1,16
2,150,-1,16
3,150,-1,16
4,150,-1,16
5,150,-1,16
6,150,-1,16
7,150,-1,16
8,150,-1,16
9,150,-1,16
10,150,-1,16
11,150,-1,16
12,150,-1,16
13,150,-1,16
14,150,-1,16
15,150,-1,16
16,150,-1,16
17,150,-1,16
18,150,-1,16
19,150,-1,16
20,150,-1,16
1,98,0,16
2,87,0,16
3,91,0,16
4,85,0,16
5,70,0,16
6,92,0,16
7,85,0,16
8,91,0,16
9,93,0,16
10,98,0,16
11,87,0,16
12,82,0,16
13,83,0,16
14,87,0,16
15,97,0,16
16,94,0,16
17,93,0,16
18,93,0,16
19,87,0,16
20,92,0,16
1,12,1,16
2,14,1,16
3,49,1,16
4,154,1,16
5,121,1,16
6,21,1,16
7,33,1,16
8,198,1,16
9,92,1,16
10,119,1,16
11,30,1,16
12,49,1,16
13,111,1,16
14,22,1,16
15,177,1,16
16,108,1,16
17,69,1,16
18,71,1,16
19,70,1,16
20,209,1,16
3,30,2,16
4,286,2,16
5,109,2,16
7,20,2,16
8,365,2,16
9,33,2,16
10,99,2,16
11,10,2,16
12,33,2,16
13,133,2,16
14,8,2,16
15,200,2,16
16,54,2,16
17,42,2,16
18,68,2,16
19,15,2,16
20,435,2,16
3,12,3,16
4,392,3,16
5,119,3,16
7,8,3,16
8,550,3,16
9,5,3,16
10,56,3,16
12,17,3,16
13,130,3,16
14,3,3,16
15,187,3,16
16,18,3,16
17,22,3,16
18,76,3,16
19,6,3,16
20,684,3,16
3,1,4,16
4,483,4,16
5,111,4,16
7,3,4,16
8,583,4,16
9,1,4,16
10,42,4,16
12,13,4,16
13,133,4,16
14,2,4,16
15,182,4,16
16,4,4,16
17,9,4,16
18,64,4,16
19,2,4,16
20,796,4,16
3,1,5,16
4,507,5,16
5,81,5,16
7,4,5,16
8,599,5,16
10,41,5,16
12,20,5,16
13,135,5,16
14,1,5,16
15,185,5,16
16,2,5,16
17,8,5,16
18,56,5,16
19,3,5,16
20,806,5,16
3,1,6,16
4,528,6,16
5,87,6,16
7,5,6,16
8,568,6,16
10,48,6,16
12,24,6,16
13,137,6,16
14,1,6,16
15,188,6,16
17,11,6,16
18,56,6,16
19,2,6,16
20,794,6,16
3,1,7,16
4,574,7,16
5,90,7,16
7,5,7,16
8,555,7,16
10,52,7,16
12,23,7,16
13,125,7,16
14,1,7,16
15,190,7,16
17,9,7,16
18,62,7,16
19,3,7,16
20,761,7,16
4,582,8,16
5,101,8,16
7,5,8,16
8,539,8,16
10,44,8,16
12,23,8,16
13,137,8,16
15,188,8,16
17,10,8,16
18,58,8,16
19,3,8,16
20,763,8,16
4,577,9,16
5,106,9,16
7,3,9,16
8,506,9,16
10,43,9,16
12,27,9,16
13,139,9,16
15,192,9,16
17,12,9,16
18,60,9,16
19,1,9,16
20,782,9,16
4,553,10,16
5,107,10,16
8,527,10,16
10,31,10,16
12,22,10,16
13,136,10,16
15,195,10,16
17,11,10,16
18,57,10,16
19,1,10,16
20,814,10,16
4,564,11,16
5,124,11,16
8,526,11,16
10,24,11,16
12,18,11,16
13,127,11,16
15,174,11,16
17,9,11,16
18,55,11,16
20,830,11,16
4,570,12,16
5,100,12,16
8,558,12,16
10,30,12,16
12,22,12,16
13,131,12,16
15,166,12,16
17,10,12,16
18,57,12,16
20,812,12,16
4,582,13,16
5,99,13,16
8,568,13,16
10,27,13,16
12,22,13,16
13,143,13,16
15,160,13,16
17,12,13,16
18,54,13,16
20,793,13,16
4,570,14,16
5,109,14,16
8,575,14,16
10,30,14,16
12,11,14,16
13,141,14,16
15,144,14,16
17,9,14,16
18,54,14,16
20,813,14,16
4,581,15,16
5,124,15,16
8,558,15,16
10,33,15,16
12,11,15,16
13,152,15,16
15,134,15,16
17,8,15,16
18,57,15,16
20,797,15,16
4,564,16,16
5,112,16,16
8,582,16,16
10,30,16,16
12,9,16,16
13,163,16,16
15,145,16,16
17,6,16,16
18,68,16,16
20,785,16,16
4,538,17,16
5,114,17,16
8,584,17,16
10,30,17,16
12,13,17,16
13,179,17,16
15,138,17,16
17,8,17,16
18,73,17,16
20,777,17,16
4,534,18,16
5,112,18,16
8,585,18,16
10,29,18,16
12,13,18,16
13,188,18,16
15,146,18,16
17,7,18,16
18,64,18,16
20,785,18,16
4,512,19,16
5,113,19,16
8,584,19,16
10,32,19,16
12,18,19,16
13,190,19,16
15,143,19,16
17,10,19,16
18,61,19,16
20,796,19,16
4,525,20,16
5,115,20,16
8,571,20,16
10,30,20,16
12,14,20,16
13,197,20,16
15,128,20,16
17,10,20,16
18,62,20,16
20,810,20,16
4,517,21,16
5,112,21,16
8,581,21,16
10,27,21,16
12,14,21,16
13,184,21,16
15,114,21,16
17,14,21,16
18,66,21,16
20,839,21,16
4,534,22,16
5,115,22,16
8,576,22,16
10,25,22,16
12,12,22,16
13,162,22,16
15,116,22,16
17,20,22,16
18,60,22,16
20,837,22,16
4,513,23,16
5,129,23,16
8,571,23,16
10,25,23,16
12,11,23,16
