speciesid,population,season,run
1,150,-1,5
2,150,-1,5
3,150,-1,5
4,150,-1,5
5,150,-1,5
6,150,-1,5
7,150,-1,5
8,150,-1,5
9,150,-1,5
10,150,-1,5
11,150,-1,5
12,150,-1,5
13,150,-1,5
14,150,-1,5
15,150,-1,5
16,150,-1,5
17,150,-1,5
18,150,-1,5
19,150,-1,5
20,150,-1,5
21,150,-1,5
22,150,-1,5
23,150,-1,5
24,150,-1,5
25,150,-1,5
26,150,-1,5
27,150,-1,5
28,150,-1,5
29,150,-1,5
30,150,-1,5
1,150,0,5
2,150,0,5
3,150,0,5
4,150,0,5
5,150,0,5
6,150,0,5
7,150,0,5
8,150,0,5
9,150,0,5
10,150,0,5
11,150,0,5
12,150,0,5
13,150,0,5
14,150,0,5
15,150,0,5
16,150,0,5
17,150,0,5
18,150,0,5
19,150,0,5
20,150,0,5
21,150,0,5
22,150,0,5
23,150,0,5
24,150,0,5
25,150,0,5
26,150,0,5
27,150,0,5
28,150,0,5
29,150,0,5
30,150,0,5
1,12,1,5
3,96,1,5
4,12,1,5
5,4,1,5
6,210,1,5
7,152,1,5
8,20,1,5
9,58,1,5
10,30,1,5
13,8,1,5
15,70,1,5
16,62,1,5
17,286,1,5
18,154,1,5
20,24,1,5
21,50,1,5
22,40,1,5
23,28,1,5
24,44,1,5
25,268,1,5
26,20,1,5
27,28,1,5
29,256,1,5
30,214,1,5
1,2,2,5
3,90,2,5
4,4,2,5
6,358,2,5
7,166,2,5
9,24,2,5
10,4,2,5
13,4,2,5
15,42,2,5
16,36,2,5
17,538,2,5
18,240,2,5
20,6,2,5
21,24,2,5
22,4,2,5
23,4,2,5
24,6,2,5
25,520,2,5
27,8,2,5
29,440,2,5
30,300,2,5
3,120,3,5
4,6,3,5
6,674,3,5
7,174,3,5
9,10,3,5
10,8,3,5
13,4,3,5
15,30,3,5
16,44,3,5
17,1062,3,5
18,440,3,5
21,12,3,5
22,2,3,5
23,2,3,5
24,4,3,5
25,1034,3,5
27,2,3,5
29,772,3,5
30,470,3,5
3,204,4,5
4,6,4,5
6,1340,4,5
7,210,4,5
9,2,4,5
10,10,4,5
15,30,4,5
16,76,4,5
17,2122,4,5
18,876,4,5
21,10,4,5
23,4,4,5
24,2,4,5
25,2068,4,5
29,1480,4,5
30,754,4,5
3,378,5,5
4,4,5,5
6,2674,5,5
7,214,5,5
10,14,5,5
15,50,5,5
16,150,5,5
17,4240,5,5
18,1750,5,5
21,10,5,5
23,8,5,5
25,4136,5,5
29,2836,5,5
30,1250,5,5
3,688,6,5
6,5330,6,5
7,214,6,5
10,18,6,5
15,66,6,5
16,298,6,5
17,8412,6,5
18,3496,6,5
21,16,6,5
23,4,6,5
25,8260,6,5
29,4812,6,5
30,1796,6,5
3,1078,7,5
6,10490,7,5
7,102,7,5
10,12,7,5
15,58,7,5
16,584,7,5
17,15388,7,5
18,6942,7,5
21,10,7,5
25,15498,7,5
29,5542,7,5
30,1638,7,5
3,1282,8,5
6,17850,8,5
7,22,8,5
10,6,8,5
15,32,8,5
16,984,8,5
17,22214,8,5
18,13070,8,5
21,10,8,5
25,22656,8,5
29,3584,8,5
30,868,8,5
3,1084,9,5
6,21232,9,5
7,6,9,5
10,2,9,5
15,8,9,5
16,1324,9,5
17,26400,9,5
18,20028,9,5
21,6,9,5
25,25178,9,5
29,1748,9,5
30,278,9,5
3,642,10,5
6,20416,10,5
7,2,10,5
15,2,10,5
16,1290,10,5
17,28926,10,5
18,24282,10,5
25,25096,10,5
29,794,10,5
30,88,10,5
3,306,11,5
6,19748,11,5
16,1090,11,5
17,30686,11,5
18,25344,11,5
25,24418,11,5
29,288,11,5
30,24,11,5
3,144,12,5
6,19698,12,5
16,890,12,5
17,32158,12,5
18,24912,12,5
25,22924,12,5
29,102,12,5
30,4,12,5
